Episode,Terminal State,Reward,Running Average
1,BOUNDARY,-2003,-2003.0
2,BOUNDARY,-2001,-2002.0
3,BOUNDARY,-2000,-2001.3333333333333
4,BOUNDARY,-2006,-2002.5
5,BOUNDARY,-2001,-2002.2
6,BOUNDARY,-2004,-2002.5
7,BOUNDARY,-2001,-2002.2857142857142
8,BOUNDARY,-2010,-2003.25
9,BOUNDARY,-2000,-2002.888888888889
10,BOUNDARY,-2002,-2002.8
11,BOUNDARY,-2001,-2002.6363636363637
12,BOUNDARY,-2003,-2002.6666666666667
13,BOUNDARY,-2002,-2002.6153846153845
14,BOUNDARY,-2002,-2002.5714285714287
15,BOUNDARY,-2000,-2002.4
16,BOUNDARY,-2003,-2002.4375
17,BOUNDARY,-2001,-2002.3529411764705
18,BOUNDARY,-2007,-2002.611111111111
19,BOUNDARY,-2004,-2002.6842105263158
20,BOUNDARY,-2006,-2002.85
21,BOUNDARY,-2000,-2002.7142857142858
22,BOUNDARY,-2001,-2002.6363636363637
23,BOUNDARY,-2000,-2002.5217391304348
24,BOUNDARY,-2004,-2002.5833333333333
25,BOUNDARY,-2000,-2002.48
26,BOUNDARY,-2003,-2002.5
27,BOUNDARY,-2000,-2002.4074074074074
28,BOUNDARY,-2002,-2002.392857142857
29,BOUNDARY,-2001,-2002.344827586207
30,BOUNDARY,-2000,-2002.2666666666667
31,BOUNDARY,-2017,-2002.741935483871
32,BOUNDARY,-2002,-2002.71875
33,BOUNDARY,-2001,-2002.6666666666667
34,BOUNDARY,-2001,-2002.6176470588234
35,BOUNDARY,-2001,-2002.5714285714287
36,BOUNDARY,-2000,-2002.5
37,BOUNDARY,-2002,-2002.4864864864865
38,BOUNDARY,-2004,-2002.5263157894738
39,BOUNDARY,-2003,-2002.5384615384614
40,BOUNDARY,-2005,-2002.6
41,BOUNDARY,-2002,-2002.5853658536585
42,BOUNDARY,-2001,-2002.547619047619
43,BOUNDARY,-2014,-2002.8139534883721
44,BOUNDARY,-2004,-2002.840909090909
45,BOUNDARY,-2003,-2002.8444444444444
46,BOUNDARY,-2018,-2003.1739130434783
47,BOUNDARY,-2007,-2003.2553191489362
48,BOUNDARY,-2001,-2003.2083333333333
49,BOUNDARY,-2005,-2003.2448979591836
50,BOUNDARY,-2000,-2003.18
51,BOUNDARY,-2000,-2003.1176470588234
52,BOUNDARY,-2003,-2003.1153846153845
53,BOUNDARY,-2009,-2003.2264150943397
54,BOUNDARY,-2000,-2003.1666666666667
55,GOAL,999994,16214.963636363636
56,GOAL,999986,33782.30357142857
57,BOUNDARY,-2006,33154.43859649123
58,BOUNDARY,-2003,32548.275862068964
59,GOAL,999998,48945.72881355932
60,BOUNDARY,-2006,48096.53333333333
61,GOAL,999997,63701.45901639344
62,GOAL,999997,78803.0
63,GOAL,999998,93425.14285714286
64,GOAL,999996,107590.3125
65,BOUNDARY,-2002,105904.27692307692
66,GOAL,999996,119451.12121212122
67,GOAL,999999,132593.62686567163
68,GOAL,999996,145349.54411764705
69,BOUNDARY,-2002,143214.01449275363
70,GOAL,999998,155453.7857142857
71,BOUNDARY,-2000,153236.12676056338
72,BOUNDARY,-2001,151080.05555555556
73,BOUNDARY,-2003,148983.02739726027
74,GOAL,999996,160483.2027027027
75,BOUNDARY,-2005,158316.69333333333
76,BOUNDARY,-2001,156207.25
77,BOUNDARY,-2000,154152.6103896104
78,GOAL,999996,164996.7564102564
79,BOUNDARY,-2000,162882.8734177215
80,BOUNDARY,-2001,160821.825
81,BOUNDARY,-2006,158811.6049382716
82,GOAL,999998,169069.9756097561
83,GOAL,999998,179081.156626506
84,GOAL,999997,188853.9642857143
85,BOUNDARY,-2005,186608.56470588237
86,GOAL,1000000,196066.60465116278
87,GOAL,999995,205307.16091954024
88,GOAL,999998,214337.73863636365
89,GOAL,999999,223165.39325842698
90,BOUNDARY,-2000,220663.55555555556
91,BOUNDARY,-2001,218216.6923076923
92,GOAL,999998,226714.3152173913
93,GOAL,999998,235029.1935483871
94,GOAL,999997,243167.1489361702
95,GOAL,999998,251133.7894736842
96,GOAL,999998,258934.45833333334
97,GOAL,999996,266574.26804123714
98,GOAL,999999,274058.193877551
99,GOAL,999997,281390.9090909091
100,GOAL,999997,288576.97
101,BOUNDARY,-2000,285699.9702970297
102,BOUNDARY,-2000,282879.3823529412
103,GOAL,999998,289841.6990291262
104,GOAL,999999,296670.1346153846
105,GOAL,999997,303368.4857142857
106,GOAL,999998,309940.46226415096
107,BOUNDARY,-2001,307025.1214953271
108,BOUNDARY,-2000,304163.77777777775
109,BOUNDARY,-2003,301354.9082568807
110,GOAL,999998,307706.2090909091
111,GOAL,999999,313943.08108108107
112,BOUNDARY,-2003,311122.1339285714
113,GOAL,999998,317218.38053097343
114,GOAL,999997,323207.6666666667
115,GOAL,999996,329092.7826086957
116,GOAL,999996,334876.4310344828
117,GOAL,999998,340561.23076923075
118,GOAL,999998,346149.6779661017
119,BOUNDARY,-2000,343224.0504201681
120,GOAL,999998,348697.1666666667
121,GOAL,999998,354079.8181818182
122,BOUNDARY,-2002,351161.11475409835
123,BOUNDARY,-2003,348289.8617886179
124,GOAL,1000000,353545.5887096774
125,GOAL,999996,358717.192
126,GOAL,1000000,363806.7380952381
127,GOAL,999999,368816.12598425196
128,GOAL,1000000,373747.25
129,GOAL,999998,378601.9069767442
130,BOUNDARY,-2000,375674.2
131,GOAL,1000000,380440.0458015267
132,BOUNDARY,-2003,377542.75
133,BOUNDARY,-2001,374689.037593985
134,GOAL,999997,379355.51492537314
135,BOUNDARY,-2000,376530.65925925924
136,GOAL,999998,381114.97794117645
137,GOAL,999996,385632.3576642336
138,GOAL,999998,390084.2826086957
139,GOAL,999997,394472.1438848921
140,GOAL,999999,398797.3357142857
141,BOUNDARY,-2003,395954.78014184395
142,GOAL,999997,400208.5985915493
143,GOAL,999996,404402.9160839161
144,GOAL,999999,408539.0
145,GOAL,999996,412618.01379310346
146,GOAL,999999,416641.1712328767
147,GOAL,999997,420609.57823129254
148,GOAL,999996,424524.35135135136
149,GOAL,1000000,428386.60402684566
150,GOAL,999999,432197.35333333333
151,GOAL,1000000,435957.6357615894
152,BOUNDARY,-2003,433076.3157894737
153,BOUNDARY,-2001,430232.67320261436
154,GOAL,999998,433932.44805194804
155,GOAL,999997,437584.47741935484
156,GOAL,999997,441189.6858974359
157,GOAL,999998,444748.974522293
158,BOUNDARY,-2001,441921.4430379747
159,GOAL,999998,445431.358490566
160,GOAL,999997,448897.39375
161,GOAL,999994,452320.3540372671
162,GOAL,999997,455701.0740740741
163,GOAL,999997,459040.3128834356
164,GOAL,999999,462338.84146341466
165,GOAL,999998,465597.38181818184
166,GOAL,999997,468816.656626506
167,GOAL,999998,471997.38323353295
168,GOAL,999997,475140.2380952381
169,BOUNDARY,-2001,472316.91715976334
170,GOAL,999998,475420.9235294118
171,GOAL,999998,478488.62573099416
172,GOAL,999999,481520.66279069765
173,BOUNDARY,-2001,478725.73988439306
174,GOAL,1000000,481721.5689655172
175,GOAL,999998,484683.14857142855
176,BOUNDARY,-2000,481917.9034090909
177,GOAL,999998,484844.9096045198
178,GOAL,999997,487739.0224719101
179,GOAL,1000000,490600.8156424581
180,GOAL,999999,493430.80555555556
181,GOAL,999998,496229.51933701657
182,GOAL,999997,498997.47252747254
183,GOAL,999999,501735.18579234974
184,GOAL,999999,504443.14130434784
185,GOAL,999997,507121.8108108108
186,GOAL,1000000,509771.6935483871
187,GOAL,999997,512393.2192513369
188,BOUNDARY,-2002,509657.07446808513
189,GOAL,999996,512251.4603174603
190,BOUNDARY,-2002,509544.86315789475
191,GOAL,999998,512112.68062827224
192,BOUNDARY,-2000,509435.0104166667
193,GOAL,999997,511976.7823834197
194,GOAL,999998,514492.3556701031
195,GOAL,1000000,516982.1384615385
196,GOAL,999997,519446.5
197,BOUNDARY,-2001,516799.55837563454
198,GOAL,1000000,519239.9646464646
199,GOAL,999998,521655.83417085424
200,GOAL,999998,524047.545
201,GOAL,999998,526415.4577114428
202,GOAL,999998,528759.9257425743
203,GOAL,999997,531081.2906403941
204,BOUNDARY,-2000,528468.1470588235
205,GOAL,999997,530768.2878048781
206,GOAL,999999,533046.1067961165
207,BOUNDARY,-2000,530461.3429951691
208,BOUNDARY,-2001,527901.4278846154
209,GOAL,999998,530160.2631578947
210,GOAL,999999,532397.5904761904
211,GOAL,1000000,534613.7156398104
212,GOAL,999998,536808.9245283019
213,GOAL,999999,538983.5258215963
214,GOAL,999997,541137.7943925234
215,GOAL,999999,543272.0325581395
216,GOAL,999996,545386.4953703703
217,GOAL,999996,547481.470046083
218,GOAL,1000000,549557.243119266
219,GOAL,999997,551614.0456621004
220,GOAL,1000000,553652.1636363637
221,GOAL,999998,555671.8280542986
222,GOAL,999999,557673.3018018018
223,GOAL,999998,559656.8206278026
224,GOAL,999998,561622.6294642857
225,GOAL,999997,563570.96
226,GOAL,999997,565502.0486725664
227,GOAL,999998,567416.127753304
228,GOAL,999999,569313.4210526316
229,GOAL,999997,571194.1353711791
230,GOAL,999997,573058.4956521739
231,GOAL,1000000,574906.7272727273
232,GOAL,999998,576739.0172413794
233,GOAL,1000000,578555.5879828326
234,GOAL,1000000,580356.6324786325
235,GOAL,999997,582142.3361702127
236,GOAL,999997,583912.906779661
237,GOAL,999999,585668.5443037974
238,BOUNDARY,-2002,583199.3403361344
239,GOAL,999999,584943.2719665272
240,GOAL,999998,586672.6666666666
241,GOAL,999999,588387.713692946
242,GOAL,999997,590088.5785123967
243,GOAL,999997,591775.4444444445
244,GOAL,999997,593448.4836065574
245,GOAL,999999,595107.8734693878
246,GOAL,999997,596753.7642276423
247,GOAL,999998,598386.3319838056
248,GOAL,999997,600005.7298387097
249,GOAL,999998,601612.124497992
250,GOAL,999999,603205.672
251,GOAL,999996,604786.5099601593
252,GOAL,999997,606354.8055555555
253,BOUNDARY,-2000,603950.2411067194
254,GOAL,999999,605509.4881889764
255,GOAL,999997,607056.4980392157
256,GOAL,999998,608591.42578125
257,GOAL,1000000,610114.4163424125
258,GOAL,999998,611625.5930232558
259,GOAL,999998,613125.1003861004
260,GOAL,999998,614613.073076923
261,GOAL,999997,616089.6398467433
262,GOAL,999999,617554.9427480916
263,GOAL,1000000,619009.1064638783
