ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],2.796050610268207e-26,1.0,7.789119284458412e-13,6.405153808826072e-27
[0,1],2.4719810037251757e-26,1.0,7.465148833298019e-13,5.60565252584831e-27
[0,2],2.4575297498688672e-26,1.0,7.456781503031862e-13,5.5710323943539936e-27
[0,3],2.456620556860721e-26,1.0,7.45587131530806e-13,5.568589159626544e-27
[0,4],2.4564988380882356e-26,1.0,7.455529791623727e-13,5.5681219290220356e-27
[1,0],2.0704239855426e-21,1.0,2.2114603984851877e-12,2.308578593717476e-22
[1,1],5.874026549515596e-26,1.0,7.957681822517992e-13,1.2575509794412119e-26
[1,2],2.5833113100904243e-26,1.0,7.485252652081331e-13,5.832515132531471e-27
[1,3],2.4634523696338469e-26,1.0,7.457151215972679e-13,5.582349929079191e-27
[1,4],2.4568361069400967e-26,1.0,7.455387761139132e-13,5.568673900544097e-27
[2,0],0.9999986886978149,4.083490878770135e-08,2.2775639881011944e-13,1.3642833209814853e-06
[2,1],3.010384119761511e-08,1.0,1.067563926149262e-09,1.650804493102953e-11
[2,2],2.099307174643294e-23,1.0,1.4259292531459966e-12,2.261498948908997e-24
[2,3],3.8872812841628506e-26,1.0,7.748399903466374e-13,8.388095901799037e-27
[2,4],2.5218040410144958e-26,1.0,7.472528455385041e-13,5.699165669112043e-27
[3,0],0.9999994039535522,3.536129999925919e-10,6.8105938233866195e-15,5.462586045723583e-07
[3,1],0.9999994039535522,6.080124181906399e-10,1.0340168256134027e-14,5.656001462739368e-07
[3,2],0.9999970197677612,1.987542418646626e-06,5.266188526920068e-12,9.888442491501337e-07
[3,3],4.4465624758627253e-13,1.0,1.0350573870221424e-10,6.832140223982401e-16
[3,4],1.154448335161535e-24,1.0,1.063775586715443e-12,1.6395121758123375e-25
[4,0],0.9999994039535522,3.41924516478187e-10,6.638908291791172e-15,5.443178565656126e-07
[4,1],0.9999994039535522,3.431973039091929e-10,6.65947933394819e-15,5.439400752038637e-07
[4,2],0.9999995231628418,3.660479697131791e-10,7.0386976784998345e-15,5.337817583495053e-07
[4,3],0.9999996423721313,1.0915738313244105e-09,1.826563192689444e-14,3.660401830529736e-07
[4,4],0.9989655017852783,0.001034044660627842,8.560258057954684e-10,5.249723358247138e-07
