Episode,Terminal State,Reward,Running Average
1,8 8,BOUNDARY,-2010,-2010.0
2,7 6,BOUNDARY,-2005,-2007.5
3,9 8,BOUNDARY,-2008,-2007.6666666666667
4,1 10,BOUNDARY,-2001,-2006.0
5,1 6,BOUNDARY,-2000,-2004.8
6,3 5,BOUNDARY,-2004,-2004.6666666666667
7,9 4,BOUNDARY,-2005,-2004.7142857142858
8,2 4,GOAL,999999,123245.75
9,1 10,BOUNDARY,-2013,109328.11111111111
10,5 3,GOAL,999995,198394.8
11,1 10,BOUNDARY,-2013,180175.9090909091
12,9 1,BOUNDARY,-2005,164994.16666666666
13,6 7,BOUNDARY,-2014,152147.38461538462
14,10 5,BOUNDARY,-2012,141136.0
15,9 3,BOUNDARY,-2001,131593.53333333333
16,5 4,BOUNDARY,-2018,123242.8125
17,8 5,BOUNDARY,-2012,115874.88235294117
18,10 7,BOUNDARY,-2000,109326.27777777778
19,3 8,GOAL,999994,156203.52631578947
20,5 8,STEPS,-1019,148342.4
21,10 2,BOUNDARY,-2002,141183.14285714287
22,5 10,STEPS,-1019,134719.4090909091
23,8 10,STEPS,-1019,128817.73913043478
24,6 4,BOUNDARY,-2007,123366.70833333333
25,7 7,BOUNDARY,-2017,118351.36
26,8 8,BOUNDARY,-2012,113722.0
27,1 8,BOUNDARY,-2006,109435.77777777778
28,7 9,BOUNDARY,-2011,105455.53571428571
29,3 2,GOAL,1000000,136301.89655172414
30,3 2,BOUNDARY,-2002,131691.76666666666
31,8 7,BOUNDARY,-2013,127378.70967741935
32,6 2,BOUNDARY,-2007,123335.40625
33,3 6,GOAL,999994,149900.81818181818
34,10 6,BOUNDARY,-2001,145433.11764705883
35,5 3,BOUNDARY,-2005,141220.6
36,9 4,BOUNDARY,-2006,137242.08333333334
37,5 3,BOUNDARY,-2003,133478.7027027027
38,1 9,BOUNDARY,-2008,129913.26315789473
39,8 9,STEPS,-1019,126556.02564102564
40,6 1,BOUNDARY,-2003,123342.05
41,1 3,BOUNDARY,-2004,120284.82926829268
42,6 8,BOUNDARY,-2015,117372.92857142857
43,7 5,BOUNDARY,-2010,114596.58139534884
44,3 8,BOUNDARY,-2009,111946.45454545454
45,8 7,BOUNDARY,-2007,109414.15555555555
46,3 5,GOAL,999997,128774.65217391304
47,7 1,BOUNDARY,-2011,125991.97872340426
48,1 2,BOUNDARY,-2000,123325.47916666667
49,9 8,GOAL,999986,141216.51020408163
50,3 5,BOUNDARY,-2012,138351.94
51,5 7,GOAL,999991,155246.82352941178
52,2 7,GOAL,999996,171492.0
53,2 2,GOAL,1000000,187124.22641509434
54,6 4,BOUNDARY,-2011,183621.72222222222
55,1 9,GOAL,999989,198464.76363636364
56,2 10,GOAL,999991,212777.73214285713
57,6 6,GOAL,999991,226588.49122807017
58,4 8,GOAL,999993,239923.05172413794
59,6 3,GOAL,999996,252805.64406779662
60,8 6,BOUNDARY,-2013,248558.66666666666
61,9 5,GOAL,999985,260877.131147541
62,2 2,GOAL,1000000,272798.46774193546
63,6 9,BOUNDARY,-2015,268436.34920634923
64,10 6,BOUNDARY,-2016,264210.53125
65,8 8,GOAL,999989,275530.2
66,6 3,BOUNDARY,-2008,271325.07575757575
67,4 9,GOAL,999990,282200.67164179106
68,1 5,BOUNDARY,-2004,278021.1911764706
69,8 3,GOAL,999994,288484.5652173913
70,9 7,GOAL,999987,298648.8857142857
71,3 3,GOAL,999999,308527.05633802817
72,3 6,GOAL,999996,318130.7916666667
73,4 6,BOUNDARY,-2008,313745.3287671233
74,4 2,GOAL,999997,323019.0
75,1 5,BOUNDARY,-2003,318685.37333333335
76,6 6,BOUNDARY,-2012,314465.6710526316
77,6 9,BOUNDARY,-2017,310355.5064935065
78,4 3,GOAL,999998,319197.07692307694
79,9 3,GOAL,999993,327814.746835443
80,8 7,GOAL,999990,336216.9375
81,3 1,BOUNDARY,-2002,332041.39506172837
82,2 2,GOAL,1000000,340187.23170731706
83,10 8,BOUNDARY,-2015,336064.313253012
84,1 5,GOAL,999997,343968.2738095238
85,6 8,GOAL,999991,351686.18823529413
86,6 10,GOAL,999989,359224.5930232558
87,4 1,BOUNDARY,-2007,355072.5057471264
88,9 6,GOAL,999988,362401.0909090909
89,5 3,GOAL,999997,369565.08988764044
90,7 5,GOAL,999991,376569.8222222222
91,4 9,GOAL,999990,383420.5934065934
92,3 2,GOAL,999998,390122.52173913043
93,7 10,BOUNDARY,-2013,385906.01075268816
94,4 7,BOUNDARY,-2007,381779.27659574465
95,6 9,GOAL,999988,388286.7368421053
96,7 3,GOAL,999995,394658.6979166667
97,5 8,GOAL,999988,400899.206185567
98,7 7,GOAL,999991,407012.387755102
99,6 8,GOAL,999989,413002.0505050505
100,2 6,GOAL,999997,418872.0
101,4 4,GOAL,999997,424625.71287128713
102,8 9,GOAL,999988,430266.51960784313
103,5 8,GOAL,999990,435797.8155339806
104,9 8,GOAL,999988,441222.7211538461
105,10 3,GOAL,999992,446544.3333333333
106,2 5,GOAL,999998,451765.59433962265
107,10 8,GOAL,999987,456889.15887850465
108,6 8,GOAL,999991,461917.8796296296
109,7 7,GOAL,999989,466854.31192660553
110,4 2,GOAL,999999,471701.08181818185
111,1 7,BOUNDARY,-2012,467433.3963963964
112,1 8,BOUNDARY,-2004,463241.9910714286
113,3 5,GOAL,999997,467992.0353982301
114,8 2,GOAL,999995,472658.72807017545
115,5 7,BOUNDARY,-2010,468531.17391304346
116,5 10,GOAL,999990,473112.7155172414
117,9 10,GOAL,999986,477615.905982906
118,4 1,BOUNDARY,-2003,473551.33898305084
119,6 7,GOAL,999988,477975.17647058825
120,10 9,GOAL,999984,482325.25
121,1 6,BOUNDARY,-2004,478322.52892561984
122,8 3,GOAL,999994,482598.52459016396
123,5 3,GOAL,999997,486805.0162601626
124,4 8,GOAL,999993,490943.62903225806
125,8 7,GOAL,999990,495016.0
126,8 8,GOAL,999989,499023.72222222225
127,5 1,BOUNDARY,-2006,495078.6062992126
128,1 2,BOUNDARY,-2001,491195.171875
129,2 7,GOAL,999996,495139.36434108525
130,4 6,GOAL,999995,499022.8692307692
131,9 10,GOAL,999986,502847.01526717556
132,3 2,GOAL,1000000,506613.32575757575
133,9 7,BOUNDARY,-2013,502789.06766917295
134,2 9,GOAL,999994,506499.552238806
135,2 8,GOAL,999995,510155.0740740741
136,1 9,GOAL,999993,513756.82352941175
137,10 1,BOUNDARY,-2010,509992.102189781
138,3 2,GOAL,1000000,513542.884057971
139,3 7,GOAL,999993,517042.5251798561
140,5 8,GOAL,999992,520492.1642857143
141,6 9,BOUNDARY,-2015,516786.43971631204
142,8 2,STEPS,-1019,513139.92253521126
143,1 1,BOUNDARY,-2004,509537.51748251746
144,5 10,GOAL,999986,512943.40972222225
145,9 8,STEPS,-1019,509398.84137931035
146,2 7,GOAL,999996,512759.09589041094
147,2 9,GOAL,999994,516073.61904761905
148,6 3,GOAL,999996,519343.36486486485
149,2 5,BOUNDARY,-2007,515844.36912751675
150,5 5,GOAL,999993,519072.0266666667
151,1 7,BOUNDARY,-2007,515621.1721854305
152,1 8,STEPS,-1019,512222.2236842105
153,2 1,BOUNDARY,-2001,508861.2875816993
154,9 2,GOAL,999994,512050.461038961
155,2 9,GOAL,999988,515198.44516129035
156,10 5,GOAL,999984,518306.0448717949
157,4 6,GOAL,999993,521374.11464968155
158,2 7,GOAL,999994,524403.3544303797
159,5 7,BOUNDARY,-2009,521092.58490566036
160,6 5,BOUNDARY,-2019,517823.1375
161,7 4,STEPS,-1019,514600.5155279503
162,6 1,BOUNDARY,-2010,511411.56172839506
163,9 7,GOAL,999989,514408.9693251534
164,1 2,GOAL,1000000,517369.89024390245
165,5 8,GOAL,999984,520294.8242424242
166,7 5,GOAL,999987,523184.5361445783
167,10 1,STEPS,-1019,520045.5928143713
168,10 5,GOAL,999990,522902.40476190473
169,6 8,GOAL,999989,525725.4023668639
170,10 4,GOAL,999991,528515.2
171,6 9,GOAL,999988,531272.350877193
172,9 5,GOAL,999991,533997.4593023256
173,8 7,GOAL,999988,536691.0462427746
174,4 2,GOAL,999997,539353.724137931
175,1 1,BOUNDARY,-2002,536260.2628571428
176,2 5,GOAL,999998,538895.1363636364
177,5 2,GOAL,999998,541500.2372881356
178,8 3,GOAL,999994,544076.0449438202
179,4 2,GOAL,999999,546623.1005586592
180,3 4,GOAL,999998,549141.85
181,8 9,GOAL,999988,551632.7127071823
182,10 9,GOAL,999986,554096.1923076923
183,7 9,GOAL,999987,556532.7540983607
184,7 8,GOAL,999988,558942.8369565217
185,2 6,GOAL,999997,561326.9135135135
186,6 3,GOAL,999994,563685.3387096775
187,8 8,GOAL,999989,566018.513368984
188,1 8,BOUNDARY,-2000,562997.1382978724
189,4 6,GOAL,999995,565309.2962962963
190,10 6,GOAL,999989,567597.0842105263
191,5 4,GOAL,999996,569860.9528795811
192,1 4,BOUNDARY,-2011,566882.453125
193,2 1,BOUNDARY,-2001,563934.8704663212
194,3 5,GOAL,999991,566182.5824742268
195,6 9,BOUNDARY,-2015,563268.7487179487
196,4 2,GOAL,999999,565496.9642857143
197,9 9,GOAL,999985,567702.4873096447
198,6 4,GOAL,999995,569885.7828282828
199,4 6,GOAL,999995,572047.1356783919
200,8 1,BOUNDARY,-2007,569176.865
201,10 1,BOUNDARY,-2015,566335.1144278607
202,1 8,BOUNDARY,-2009,563521.5297029703
203,7 10,BOUNDARY,-2019,560735.6157635468
204,3 6,GOAL,999996,562888.8529411765
205,6 2,GOAL,999997,565021.087804878
206,9 8,GOAL,999988,567132.5776699029
207,8 7,GOAL,999990,569223.6763285024
208,3 1,BOUNDARY,-2004,566477.3894230769
209,2 5,GOAL,999996,568551.6411483254
210,1 1,BOUNDARY,-2004,565834.7095238095
211,8 9,GOAL,999988,567892.308056872
212,1 6,GOAL,999996,569930.533018868
213,3 6,GOAL,999996,571949.6197183098
214,9 6,GOAL,999988,573949.7990654205
215,9 8,GOAL,999986,575931.3627906977
216,3 4,GOAL,999996,577894.625
217,5 8,GOAL,999988,579839.7557603687
218,8 9,GOAL,999986,581767.0321100918
219,8 8,GOAL,999989,583676.7214611872
220,5 10,GOAL,999990,585569.0545454546
221,5 9,GOAL,999989,587444.257918552
222,7 3,GOAL,999985,589302.5495495496
223,3 6,GOAL,999996,591144.2242152466
224,3 10,GOAL,999990,592969.4285714285
225,8 4,GOAL,999993,594778.4222222222
226,9 8,GOAL,999986,596571.3761061947
227,8 9,GOAL,999988,598348.5418502203
228,5 8,GOAL,999992,600110.1359649122
229,10 8,GOAL,999985,601856.3144104803
230,6 4,GOAL,999995,603587.352173913
231,9 7,GOAL,999989,605303.3766233766
232,1 6,BOUNDARY,-2017,602685.6163793104
233,6 9,GOAL,999988,604390.7768240343
234,5 10,GOAL,999990,606081.3717948718
235,9 8,GOAL,999988,607757.570212766
236,6 2,GOAL,999997,609419.6016949152
237,6 3,GOAL,999996,611067.6033755274
238,5 10,GOAL,999990,612701.7310924369
239,7 6,GOAL,999992,614322.1924686192
240,10 8,GOAL,999987,615929.1291666667
241,3 6,GOAL,999996,617522.7676348548
242,3 10,GOAL,999992,619103.2190082645
243,9 4,GOAL,999992,620670.6625514403
244,1 6,BOUNDARY,-2019,618118.655737705
245,10 6,GOAL,999989,619677.3102040816
246,8 4,GOAL,999993,621223.3089430894
247,5 1,BOUNDARY,-2010,618700.0971659919
248,10 7,GOAL,999988,620237.5483870967
249,5 7,GOAL,999993,621762.670682731
250,1 9,GOAL,999983,623275.552
251,8 3,GOAL,999994,624776.422310757
252,7 4,GOAL,999994,626265.380952381
253,6 9,GOAL,999990,627742.5533596838
254,5 9,GOAL,999991,629208.0984251968
255,7 9,GOAL,999989,630662.1411764706
256,9 3,GOAL,999987,632104.81640625
257,8 8,GOAL,999985,633536.2568093386
258,4 10,STEPS,-1019,631076.7403100776
259,5 9,GOAL,999991,632501.1196911196
260,1 1,BOUNDARY,-2000,630060.7307692308
261,1 1,BOUNDARY,-2010,627639.0038314176
262,9 9,GOAL,999987,629060.179389313
263,3 9,GOAL,999991,630470.5627376426
264,6 8,GOAL,999991,631870.2613636364
265,6 5,GOAL,999994,633259.4075471698
266,8 5,GOAL,999992,634638.1015037594
267,8 6,GOAL,999991,636006.4644194756
268,10 6,GOAL,999985,637364.5932835821
269,4 10,BOUNDARY,-2000,634987.7732342008
