ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],1.3632969875069546e-15,1.0,6.088802205483912e-12,1.5709865408553014e-08
[0,1],2.658540652663473e-19,1.0,1.3614465110833862e-08,2.659012940386951e-11
[0,2],1.8957510101658406e-19,0.9999991655349731,8.009694170141302e-07,1.0033627710149054e-13
[0,3],1.4946445602228865e-17,3.021126531166374e-07,0.9999996423721313,2.0014786026553403e-21
[0,4],2.1403329369082562e-19,2.7079996231527126e-11,1.0,2.944735791611604e-26
[0,5],1.5491640137167412e-19,1.4333769414454078e-11,1.0,1.450793320419985e-26
[0,6],1.3917586517312892e-19,8.695546019343858e-12,1.0,1.3061354897018954e-26
[0,7],1.2241298543625646e-19,4.0285999362843494e-12,1.0,1.2348941855010449e-26
[0,8],1.0425500743517649e-19,1.4862002687549003e-12,1.0,1.1674896418982049e-26
[0,9],8.881553266785791e-20,5.461473829605767e-13,1.0,1.1064032270337238e-26
[0,10],7.844703694700738e-20,2.512957019123324e-13,1.0,1.0616822092786789e-26
[0,11],7.253781374729341e-20,1.5396863471683897e-13,1.0,1.0344647361930052e-26
[1,0],1.0866463978631558e-10,0.0015988909872248769,9.339601574759326e-13,0.9984011054039001
[1,1],7.170920050961823e-17,0.9999994039535522,1.787920922424746e-07,4.870651650890068e-07
[1,2],2.251484512811263e-15,0.9997954964637756,0.00020440961816348135,1.2619284461834468e-07
[1,3],5.5211443869464943e-14,3.0178057386365253e-06,0.9999970197677612,1.2760302797037992e-12
[1,4],3.649718393314236e-17,1.4054813736452676e-11,1.0,8.980215234348054e-20
[1,5],1.3424354486177948e-18,6.570201739435066e-13,1.0,2.4550316936225878e-23
[1,6],1.8294672182243765e-19,2.044064380648039e-13,1.0,1.3063455239179105e-25
[1,7],8.72336854556695e-20,1.2459107909864459e-13,1.0,1.9122767958998814e-26
[1,8],7.149962453035693e-20,1.0312525844120152e-13,1.0,1.1676054288064614e-26
[1,9],6.795839970453207e-20,9.554897563261722e-14,1.0,1.0411236004571252e-26
[1,10],6.702154011263333e-20,9.244758821316812e-14,1.0,1.0139843971643913e-26
[1,11],6.673452782712304e-20,9.107978585741472e-14,1.0,1.007656792850706e-26
[2,0],5.533793909218154e-13,1.2554107186525296e-15,3.382892793351673e-22,1.0
[2,1],1.511252928354523e-11,0.011624970473349094,0.0005042017437517643,0.9878708720207214
[2,2],8.031528914154151e-11,6.699403911625268e-07,0.9999587535858154,4.047270704177208e-05
[2,3],7.083749385683458e-12,3.033580886491194e-10,1.0,5.1645314691484145e-09
[2,4],1.312221324303994e-14,3.918223384635766e-12,1.0,2.3015096434013914e-14
[2,5],1.0411765383596812e-16,3.236278974839968e-13,1.0,2.095080573932471e-18
[2,6],4.523956649170915e-17,6.495576646003975e-13,1.0,4.452353413806487e-19
[2,7],1.8912688958275702e-17,6.116175274573088e-13,1.0,4.72149394519469e-20
[2,8],2.5509373279686067e-18,3.180488912599838e-13,1.0,2.0614702501852734e-22
[2,9],2.7121031822656955e-19,1.4663038849522386e-13,1.0,4.613657441527679e-25
[2,10],9.65515196269099e-20,1.0237856840501075e-13,1.0,2.7690472235551516e-26
[2,11],7.254390127961392e-20,9.266313438132182e-14,1.0,1.2710065275162722e-26
[3,0],3.497103594121004e-13,1.0880968696816491e-16,6.006181828517426e-23,1.0
[3,1],5.153421634741806e-13,2.603639526199686e-09,1.6586104711890926e-10,1.0
[3,2],3.485293303961967e-11,7.118061695621236e-10,0.9999997615814209,2.5349885390824056e-07
[3,3],2.0141270595797067e-11,5.937874497652373e-11,1.0,2.539755072916705e-08
[3,4],4.1837948036582695e-12,3.941655161987523e-12,1.0,8.605467449740445e-10
[3,5],1.0660228972616485e-14,1.5274136179741952e-16,1.0,2.3981249742222955e-15
[3,6],3.202124624349578e-15,5.0631903965383135e-17,1.0,2.1773946732638272e-16
[3,7],1.191899870630047e-15,4.691753611324196e-16,1.0,5.4526051913601076e-17
[3,8],1.9811645356068936e-16,3.2794882938837547e-14,1.0,4.522142642087586e-18
[3,9],6.178964398643742e-17,3.868283731528477e-13,1.0,7.779889570063234e-19
[3,10],2.838654236943946e-17,6.217482041367961e-13,1.0,1.3488976420570005e-19
[3,11],5.641826313358247e-18,4.0934755043096904e-13,1.0,1.7749042201336194e-21
[4,0],3.8428759957173653e-13,9.981320445158918e-17,6.645017166783506e-23,1.0
[4,1],1.1139939882012784e-12,8.130930649767596e-17,6.13256671312001e-16,1.0
[4,2],1.0042895681738884e-10,1.5140837195115608e-10,0.9999996423721313,4.014839589672192e-07
[4,3],2.119367875641487e-11,6.275462094418316e-11,1.0,2.7877476327375916e-08
[4,4],1.546893863002552e-11,3.636783582616765e-11,1.0,1.4156911198881517e-08
[4,5],1.8209991349028842e-13,1.6547457780641088e-14,1.0,1.018764391423621e-12
[4,6],5.087474275270723e-15,3.3709598503728455e-17,1.0,4.692361886859443e-16
[4,7],4.159361640239346e-15,2.4049291965050342e-17,1.0,3.0509912354885124e-16
[4,8],4.071217697682169e-15,2.4658611402230378e-17,1.0,2.947717802185716e-16
[4,9],3.751268366032276e-15,2.994730314515147e-17,1.0,2.632558018336072e-16
[4,10],2.509649567222533e-15,7.814937067860498e-17,1.0,1.5126162170834586e-16
[4,11],6.59330340263629e-16,1.8744066205173297e-15,1.0,2.3812762977613253e-17
[5,0],6.606821209911851e-13,8.979338040327714e-17,1.31172056377414e-22,1.0
[5,1],6.466808200045193e-10,7.454018148832789e-18,6.532951263293896e-13,1.0
[5,2],1.7225871715709218e-06,2.369746759933733e-11,0.017681879922747612,0.9823164343833923
[5,3],2.2658746406944985e-11,6.425150689270964e-11,1.0,3.0936757156041494e-08
[5,4],2.0175491485807662e-11,5.760236732044177e-11,1.0,2.504207508025047e-08
[5,5],4.8323467623234695e-12,4.844528424252648e-12,1.0,1.163580454210944e-09
[5,6],1.2425236417556475e-14,1.5794677630499122e-16,1.0,3.1916125219576784e-15
[5,7],4.310409214074943e-15,2.5233265354299542e-17,1.0,3.285545511192865e-16
[5,8],4.1511352562556125e-15,2.364268802622745e-17,1.0,3.030391129513492e-16
[5,9],4.1455965078135166e-15,2.3603757597878255e-17,1.0,3.022079089322967e-16
[5,10],4.141692109443148e-15,2.3652159244241183e-17,1.0,3.0180125370827583e-16
[5,11],4.121156642669915e-15,2.3929959581160992e-17,1.0,2.997120204740935e-16
[6,0],6.422917319531818e-12,5.822941230789489e-17,2.215553995315701e-21,1.0
[6,1],1.6953302761635314e-08,3.8685247879731914e-18,3.6723398627591664e-11,1.0
[6,2],3.463807729531254e-08,7.557579507163203e-18,7.50934481263954e-10,1.0
[6,3],8.310812454892513e-11,8.485905728106147e-11,0.9999997615814209,2.0407316014825483e-07
[6,4],2.1174324446593396e-11,6.241537148232723e-11,1.0,2.77406293491822e-08
[6,5],1.5957235532937375e-11,3.837349882296337e-11,1.0,1.513326530755421e-08
[6,6],2.278283898343725e-13,2.438336296382241e-14,1.0,1.6481264053166966e-12
[6,7],5.205180514720022e-15,3.498443933762783e-17,1.0,4.926302328374832e-16
[6,8],4.176357779842477e-15,2.3888643563925193e-17,1.0,3.0700095074345356e-16
[6,9],4.147194011952038e-15,2.3600427368732116e-17,1.0,3.0241434674341033e-16
[6,10],4.146292345379686e-15,2.3591695650186007e-17,1.0,3.022736333950477e-16
[6,11],4.146228817908642e-15,2.3591875975559543e-17,1.0,3.022644219117463e-16
[7,0],2.3760231560032707e-09,1.8908721800057897e-17,3.4074297059129104e-18,1.0
[7,1],4.011823051541796e-08,3.2790188080056378e-18,1.0725473981176847e-10,1.0
[7,2],2.7439728711442513e-08,3.2071562515191746e-18,2.859319170323005e-10,1.0
[7,3],1.6391501276302733e-06,4.4837961468702225e-12,0.0032818729523569345,0.9967164397239685
[7,4],2.2503608351764903e-11,6.39951563963237e-11,1.0,3.0490433289287466e-08
[7,5],2.0286428786819855e-11,5.815344733539618e-11,1.0,2.5338712461575597e-08
[7,6],5.476717170049827e-12,6.017682012415815e-12,1.0,1.5224425053972368e-09
[7,7],1.380241542803598e-14,1.894938434460978e-16,1.0,3.999851360227732e-15
[7,8],4.329046480013379e-15,2.5421859225239182e-17,1.0,3.316105401138616e-16
[7,9],4.151847610964253e-15,2.3646205198192026e-17,1.0,3.03142000984661e-16
[7,10],4.146450317024349e-15,2.3592956273439537e-17,1.0,3.022967150428604e-16
[7,11],4.146276251753688e-15,2.3591334999438934e-17,1.0,3.0227133052422236e-16
[8,0],9.34932472773653e-07,6.068881879236205e-18,5.655382761350419e-15,0.9999990463256836
[8,1],4.818229371039706e-08,3.1653813558385622e-18,1.352017942046757e-10,1.0
[8,2],2.7239746458462832e-08,3.114904313318739e-18,2.7737584451514863e-10,1.0
[8,3],3.499874878798437e-08,6.715391770346932e-18,6.829620202708497e-10,1.0
[8,4],9.197389377879617e-11,8.35101432450358e-11,0.9999997615814209,2.129824565599847e-07
[8,5],2.1187737328509648e-11,6.250841511068472e-11,1.0,2.777981045198885e-08
[8,6],1.6413041065144185e-11,4.029232156255169e-11,1.0,1.6076832309863676e-08
[8,7],2.854312652119523e-13,3.603201247028183e-14,1.0,2.6743620339109153e-12
[8,8],5.3348417771868686e-15,3.6507904193881045e-17,1.0,5.193614809220857e-16
[8,9],4.179736594269075e-15,2.3922018647280482e-17,1.0,3.075330991925661e-16
[8,10],4.147304549751655e-15,2.360141667674473e-17,1.0,3.0243165797926984e-16
[8,11],4.14630801548921e-15,2.359151532481247e-17,1.0,3.022747980653502e-16
[9,0],9.62869125942234e-06,3.893625997251419e-18,1.0245688845944567e-13,0.9999903440475464
[9,1],4.9942705970806855e-08,3.142617758971409e-18,1.419848683070768e-10,1.0
[9,2],2.7240266931016777e-08,3.1110331080519906e-18,2.771743667917548e-10,1.0
[9,3],2.738973847726811e-08,3.2090409825448767e-18,2.896386186446165e-10,1.0
[9,4],1.5451679473699187e-06,1.0693534816322292e-12,0.0007097098277881742,0.9992886781692505
[9,5],2.2558314591303308e-11,6.394464124870325e-11,1.0,3.0469909262365036e-08
[9,6],2.0387126015153356e-11,5.865551100381339e-11,1.0,2.5609686815641908e-08
[9,7],6.153271035064245e-12,7.363180377917278e-12,1.0,1.9551269492268375e-09
[9,8],1.5459859006037094e-14,2.3063058086465413e-16,1.0,5.102828865022075e-15
[9,9],4.349787775792795e-15,2.5633270046195485e-17,1.0,3.3503345319327543e-16
[9,10],4.152465521499275e-15,2.365233956961472e-17,1.0,3.032403097461017e-16
