Episode,Terminal State,Reward,Running Average
1,1 1,BOUNDARY,-2000,-2000.0
2,3 3,BOUNDARY,-2003,-2001.5
3,3 1,GOAL,999999,331998.6666666667
4,2 1,BOUNDARY,-2003,248498.25
5,3 2,BOUNDARY,-2000,198398.6
6,3 1,BOUNDARY,-2002,164998.5
7,2 3,BOUNDARY,-2001,141141.42857142858
8,3 1,BOUNDARY,-2000,123248.75
9,1 2,BOUNDARY,-2002,109332.0
10,3 2,BOUNDARY,-2002,98198.6
11,3 3,BOUNDARY,-2001,89089.54545454546
12,1 3,BOUNDARY,-2002,81498.58333333333
13,3 1,BOUNDARY,-2001,75075.53846153847
14,2 2,GOAL,1000000,141141.57142857142
15,1 3,BOUNDARY,-2000,131598.8
16,3 2,BOUNDARY,-2003,123248.6875
17,2 3,BOUNDARY,-2000,115881.11764705883
18,2 3,GOAL,1000000,164998.83333333334
19,2 3,GOAL,1000000,208946.26315789475
20,1 1,GOAL,999999,248498.9
21,2 1,BOUNDARY,-2005,236570.14285714287
22,1 3,BOUNDARY,-2000,225726.04545454544
23,3 3,BOUNDARY,-2001,215824.86956521738
24,3 3,GOAL,999999,248498.79166666666
25,1 3,BOUNDARY,-2001,238478.8
26,2 1,BOUNDARY,-2003,229229.5
27,2 2,GOAL,1000000,257776.55555555556
28,3 3,BOUNDARY,-2002,248498.75
29,1 2,BOUNDARY,-2001,239860.8275862069
30,3 3,GOAL,999995,265198.63333333336
31,3 3,BOUNDARY,-2000,256579.32258064515
32,3 1,BOUNDARY,-2002,248498.65625
33,1 1,BOUNDARY,-2006,240907.60606060605
34,1 3,BOUNDARY,-2002,233763.20588235295
35,3 3,BOUNDARY,-2007,227026.91428571427
36,3 2,GOAL,999998,248498.33333333334
37,1 1,BOUNDARY,-2000,241728.1081081081
38,2 3,GOAL,1000000,261682.63157894736
39,2 1,BOUNDARY,-2001,254921.5128205128
40,1 1,BOUNDARY,-2003,248498.4
41,3 3,BOUNDARY,-2002,242388.63414634147
42,3 1,BOUNDARY,-2000,236569.85714285713
43,3 1,GOAL,999995,254323.93023255814
44,2 2,GOAL,1000000,271271.11363636365
45,2 1,GOAL,1000000,287465.0888888889
46,3 1,BOUNDARY,-2001,281172.347826087
47,3 3,GOAL,999999,296466.5319148936
48,2 1,BOUNDARY,-2001,290248.4583333333
49,1 2,BOUNDARY,-2000,284284.20408163266
50,1 1,BOUNDARY,-2000,278558.52
51,1 1,BOUNDARY,-2000,273057.3725490196
52,1 2,BOUNDARY,-2003,267767.75
53,1 1,BOUNDARY,-2000,262677.7924528302
54,3 3,GOAL,999999,276331.8888888889
55,3 2,GOAL,1000000,289489.4909090909
56,2 1,GOAL,1000000,302177.1785714286
57,1 3,BOUNDARY,-2000,296840.7368421053
58,3 1,BOUNDARY,-2001,291688.2931034483
59,2 2,GOAL,1000000,303693.57627118647
60,2 1,BOUNDARY,-2000,298598.68333333335
61,3 1,BOUNDARY,-2000,293670.8360655738
62,3 3,BOUNDARY,-2000,288901.9516129032
63,2 2,GOAL,1000000,300189.22222222225
64,3 1,BOUNDARY,-2000,295467.515625
65,2 3,BOUNDARY,-2001,290891.07692307694
66,1 1,BOUNDARY,-2000,286453.3333333333
67,2 3,GOAL,1000000,297103.2835820895
68,2 2,GOAL,1000000,307440.0
69,3 2,GOAL,1000000,317477.1014492754
70,3 2,GOAL,1000000,327227.4285714286
71,1 2,BOUNDARY,-2000,322590.42253521126
72,1 3,BOUNDARY,-2002,318082.19444444444
73,3 2,GOAL,1000000,327423.5342465753
74,2 3,BOUNDARY,-2003,322971.8243243243
75,2 3,GOAL,1000000,331998.86666666664
76,1 1,BOUNDARY,-2000,327604.1447368421
77,1 2,BOUNDARY,-2001,323323.55844155845
78,3 3,BOUNDARY,-2000,319152.74358974356
79,2 3,BOUNDARY,-2001,315087.5063291139
80,1 3,BOUNDARY,-2000,311123.9125
81,3 1,BOUNDARY,-2004,307258.13580246916
82,1 3,BOUNDARY,-2002,303486.6707317073
83,2 3,GOAL,1000000,311878.3975903614
84,3 2,BOUNDARY,-2000,308141.75
85,3 3,BOUNDARY,-2000,304493.02352941176
86,2 1,GOAL,1000000,312580.31395348837
87,1 3,BOUNDARY,-2000,308964.4482758621
88,1 1,BOUNDARY,-2001,305430.75
89,3 2,GOAL,1000000,313234.8988764045
90,1 3,BOUNDARY,-2000,309732.2888888889
91,2 2,GOAL,1000000,317317.64835164836
92,3 1,BOUNDARY,-2004,313846.76086956525
93,2 1,GOAL,999998,321224.7311827957
94,1 1,BOUNDARY,-2004,317786.12765957444
95,2 1,BOUNDARY,-2001,314419.94736842107
96,2 1,BOUNDARY,-2005,311123.8541666667
97,1 3,GOAL,999997,318225.6391752577
98,3 2,GOAL,999996,325182.47959183675
99,1 3,GOAL,999997,331998.7878787879
100,1 2,BOUNDARY,-2000,328658.8
101,2 1,BOUNDARY,-2006,325384.8910891089
102,2 2,GOAL,1000000,331998.76470588235
103,1 3,BOUNDARY,-2002,328756.03883495147
104,2 3,GOAL,1000000,335210.3076923077
105,1 2,BOUNDARY,-2000,331998.78095238097
106,2 3,BOUNDARY,-2001,328847.8396226415
107,1 2,GOAL,999998,335120.27102803736
108,2 1,GOAL,999998,341276.5462962963
109,1 3,BOUNDARY,-2003,338127.19266055047
110,1 3,GOAL,999999,344144.2090909091
111,3 1,BOUNDARY,-2000,341025.7927927928
112,1 3,BOUNDARY,-2002,337963.04464285716
113,2 1,GOAL,1000000,343821.77876106196
114,2 2,GOAL,1000000,349577.72807017545
115,3 1,BOUNDARY,-2002,346520.51304347825
116,3 2,BOUNDARY,-2000,343516.025862069
117,3 3,BOUNDARY,-2000,340562.89743589744
118,2 3,BOUNDARY,-2003,337659.7966101695
119,2 3,BOUNDARY,-2001,334805.50420168065
120,1 1,BOUNDARY,-2000,331998.7916666667
121,2 3,BOUNDARY,-2002,329238.45454545453
122,1 2,BOUNDARY,-2003,326523.3606557377
123,2 1,GOAL,999998,331998.76422764227
124,3 2,BOUNDARY,-2002,329305.20967741933
125,2 2,GOAL,1000000,334670.768
126,1 3,GOAL,999997,339951.1349206349
127,1 3,GOAL,999999,345148.3622047244
128,2 3,BOUNDARY,-2003,342436.2421875
