Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,6 6,30,BOUNDARY,-100,-100.0
2,4 1,30,BOUNDARY,-100,-100.0
3,5 3,30,GOAL,94,-35.333333333333336
4,2 2,30,BOUNDARY,-100,-51.5
5,5 4,30,BOUNDARY,-104,-62.0
6,1 6,30,BOUNDARY,-100,-68.33333333333333
7,2 2,30,BOUNDARY,-102,-73.14285714285714
8,1 5,30,BOUNDARY,-100,-76.5
9,5 1,30,BOUNDARY,-100,-79.11111111111111
10,6 2,30,BOUNDARY,-101,-81.3
11,1 3,30,BOUNDARY,-100,-83.0
12,6 2,30,BOUNDARY,-100,-84.41666666666667
13,6 5,30,BOUNDARY,-100,-85.61538461538461
14,3 4,30,GOAL,100,-72.35714285714286
15,3 1,30,BOUNDARY,-100,-74.2
16,5 4,30,GOAL,88,-64.0625
17,5 4,30,BOUNDARY,-117,-67.17647058823529
18,2 2,30,BOUNDARY,-102,-69.11111111111111
19,2 6,30,STEPS,-20,-66.52631578947368
20,6 1,30,BOUNDARY,-111,-68.75
21,6 4,30,BOUNDARY,-102,-70.33333333333333
22,6 6,30,BOUNDARY,-100,-71.68181818181819
23,1 5,30,BOUNDARY,-109,-73.30434782608695
24,1 5,30,BOUNDARY,-101,-74.45833333333333
25,6 2,30,BOUNDARY,-103,-75.6
26,6 2,30,BOUNDARY,-106,-76.76923076923077
27,3 2,30,GOAL,99,-70.25925925925925
28,4 6,30,GOAL,98,-64.25
29,2 6,30,BOUNDARY,-105,-65.65517241379311
30,6 3,30,BOUNDARY,-112,-67.2
31,2 4,30,BOUNDARY,-114,-68.70967741935483
32,4 1,30,GOAL,99,-63.46875
33,2 5,30,GOAL,100,-58.515151515151516
34,2 3,30,BOUNDARY,-102,-59.794117647058826
35,2 5,30,BOUNDARY,-114,-61.34285714285714
36,1 2,30,BOUNDARY,-100,-62.416666666666664
37,1 3,30,BOUNDARY,-104,-63.54054054054054
38,5 2,30,GOAL,94,-59.39473684210526
39,2 5,30,GOAL,95,-55.43589743589744
40,2 2,30,BOUNDARY,-106,-56.7
41,6 4,30,BOUNDARY,-103,-57.829268292682926
42,4 4,30,GOAL,100,-54.07142857142857
43,1 6,30,BOUNDARY,-102,-55.18604651162791
44,6 3,30,BOUNDARY,-114,-56.52272727272727
45,3 1,30,BOUNDARY,-101,-57.51111111111111
46,4 4,30,STEPS,-18,-56.65217391304348
47,1 3,30,BOUNDARY,-100,-57.57446808510638
48,3 4,30,GOAL,100,-54.291666666666664
49,1 5,30,BOUNDARY,-100,-55.224489795918366
50,4 3,30,BOUNDARY,-108,-56.28
51,1 4,30,BOUNDARY,-103,-57.19607843137255
52,6 1,30,STEPS,-20,-56.48076923076923
53,4 4,30,BOUNDARY,-118,-57.64150943396226
54,2 1,30,BOUNDARY,-103,-58.48148148148148
55,3 4,30,GOAL,100,-55.6
56,4 4,30,BOUNDARY,-115,-56.660714285714285
57,5 3,30,BOUNDARY,-102,-57.45614035087719
58,3 2,30,BOUNDARY,-119,-58.51724137931034
59,6 6,30,BOUNDARY,-100,-59.220338983050844
60,5 2,30,STEPS,-25,-58.65
61,2 4,30,STEPS,-22,-58.049180327868854
62,1 6,30,BOUNDARY,-106,-58.82258064516129
63,2 3,30,GOAL,100,-56.301587301587304
64,3 1,30,GOAL,100,-53.859375
65,1 4,30,STEPS,-26,-53.43076923076923
66,2 1,30,GOAL,84,-51.34848484848485
67,4 4,30,GOAL,88,-49.26865671641791
68,5 1,30,STEPS,-21,-48.85294117647059
69,1 3,30,STEPS,-24,-48.492753623188406
70,1 2,30,BOUNDARY,-106,-49.31428571428572
71,4 3,30,BOUNDARY,-120,-50.309859154929576
72,2 1,30,GOAL,99,-48.236111111111114
73,2 5,30,GOAL,94,-46.28767123287671
74,1 2,30,BOUNDARY,-109,-47.13513513513514
75,4 2,30,BOUNDARY,-102,-47.86666666666667
76,6 6,30,BOUNDARY,-100,-48.55263157894737
77,3 4,30,GOAL,100,-46.62337662337662
78,4 4,30,GOAL,99,-44.756410256410255
79,3 2,30,GOAL,99,-42.936708860759495
80,2 6,30,GOAL,92,-41.25
81,2 6,30,STEPS,-25,-41.04938271604938
82,6 1,30,BOUNDARY,-116,-41.96341463414634
83,4 2,30,STEPS,-21,-41.71084337349398
84,6 1,30,BOUNDARY,-104,-42.45238095238095
85,6 3,30,BOUNDARY,-102,-43.15294117647059
86,6 6,30,BOUNDARY,-100,-43.81395348837209
87,4 3,30,BOUNDARY,-108,-44.55172413793103
88,5 4,30,BOUNDARY,-107,-45.26136363636363
89,1 5,30,STEPS,-19,-44.96629213483146
90,1 5,30,BOUNDARY,-102,-45.6
91,5 2,30,STEPS,-26,-45.38461538461539
92,4 6,30,STEPS,-24,-45.15217391304348
93,6 4,30,BOUNDARY,-107,-45.81720430107527
94,5 6,30,BOUNDARY,-123,-46.638297872340424
95,4 1,30,STEPS,-25,-46.410526315789475
96,2 5,30,STEPS,-26,-46.197916666666664
97,5 5,30,STEPS,-27,-46.0
98,5 3,30,STEPS,-27,-45.80612244897959
99,2 6,30,GOAL,78,-44.55555555555556
100,4 2,30,STEPS,-26,-44.37
