Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,6 5,3,GOAL,100,100.0
2,3 2,3,STEPS,-27,36.5
3,2 3,3,STEPS,-27,15.333333333333334
4,1 4,3,STEPS,-25,5.25
5,5 3,3,STEPS,-24,-0.6
6,5 3,3,STEPS,-24,-4.5
7,6 6,3,GOAL,100,10.428571428571429
8,5 3,3,STEPS,-25,6.0
9,2 6,3,STEPS,-24,2.6666666666666665
10,4 2,3,STEPS,-26,-0.2
11,1 2,3,STEPS,-26,-2.5454545454545454
12,2 3,3,STEPS,-27,-4.583333333333333
13,6 3,3,STEPS,-24,-6.076923076923077
14,2 3,3,STEPS,-27,-7.571428571428571
15,4 5,3,GOAL,100,-0.4
16,4 6,3,GOAL,100,5.875
17,5 5,3,GOAL,100,11.411764705882353
18,6 5,3,GOAL,100,16.333333333333332
19,3 2,3,STEPS,-27,14.052631578947368
20,6 3,3,STEPS,-25,12.1
21,6 3,3,STEPS,-25,10.333333333333334
22,4 6,3,GOAL,100,14.409090909090908
23,6 3,3,STEPS,-26,12.652173913043478
24,5 6,3,GOAL,100,16.291666666666668
25,1 1,3,STEPS,-24,14.68
26,3 6,3,STEPS,-26,13.115384615384615
27,3 3,3,STEPS,-27,11.62962962962963
28,2 6,3,STEPS,-24,10.357142857142858
29,5 2,3,STEPS,-25,9.137931034482758
30,3 6,3,STEPS,-24,8.033333333333333
31,3 5,3,STEPS,-27,6.903225806451613
32,3 6,3,STEPS,-24,5.9375
33,2 2,3,GOAL,100,8.787878787878787
34,3 5,3,STEPS,-26,7.764705882352941
35,4 2,3,STEPS,-27,6.771428571428571
36,2 4,3,GOAL,87,9.0
37,5 2,3,GOAL,99,11.432432432432432
38,5 5,3,GOAL,100,13.763157894736842
39,4 5,3,GOAL,100,15.974358974358974
40,3 2,3,GOAL,100,18.075
41,2 3,3,GOAL,100,20.073170731707318
42,4 3,3,GOAL,100,21.976190476190474
43,3 6,3,GOAL,100,23.790697674418606
44,6 4,3,STEPS,-26,22.65909090909091
45,4 6,3,BOUNDARY,-119,19.511111111111113
46,3 4,3,GOAL,100,21.26086956521739
47,2 3,3,GOAL,100,22.93617021276596
48,6 2,3,BOUNDARY,-115,20.0625
49,1 3,3,GOAL,100,21.693877551020407
50,5 1,3,BOUNDARY,-100,19.26
51,4 3,3,GOAL,100,20.84313725490196
52,5 6,3,BOUNDARY,-112,18.28846153846154
53,6 2,3,BOUNDARY,-104,15.981132075471699
54,3 1,3,GOAL,100,17.537037037037038
55,4 4,3,GOAL,100,19.036363636363635
56,1 2,3,GOAL,100,20.482142857142858
57,6 3,3,STEPS,-25,19.68421052631579
58,5 3,3,STEPS,-26,18.896551724137932
59,3 4,3,GOAL,100,20.271186440677965
60,4 5,3,GOAL,100,21.6
61,4 4,3,GOAL,100,22.885245901639344
62,4 2,3,GOAL,100,24.129032258064516
63,1 6,3,GOAL,100,25.333333333333332
64,2 6,3,GOAL,100,26.5
65,5 6,3,STEPS,-25,25.70769230769231
66,4 1,3,GOAL,100,26.833333333333332
67,1 2,3,GOAL,100,27.925373134328357
68,4 6,3,STEPS,-25,27.147058823529413
69,4 6,3,BOUNDARY,-120,25.014492753623188
70,1 6,3,BOUNDARY,-107,23.12857142857143
71,2 4,3,GOAL,100,24.211267605633804
72,4 1,3,GOAL,100,25.26388888888889
73,4 5,3,STEPS,-25,24.575342465753426
74,3 3,3,GOAL,100,25.594594594594593
75,2 4,3,GOAL,100,26.586666666666666
76,5 2,3,STEPS,-24,25.92105263157895
77,6 3,3,BOUNDARY,-100,24.285714285714285
78,6 2,3,STEPS,-24,23.666666666666668
79,5 5,3,STEPS,-26,23.037974683544302
80,5 4,3,STEPS,-27,22.4125
81,4 6,3,STEPS,-24,21.839506172839506
82,6 3,3,STEPS,-25,21.26829268292683
83,5 4,3,STEPS,-26,20.698795180722893
84,4 4,3,GOAL,100,21.642857142857142
85,5 6,3,BOUNDARY,-110,20.094117647058823
86,3 2,3,GOAL,100,21.023255813953487
87,3 1,3,GOAL,100,21.93103448275862
88,5 3,3,BOUNDARY,-107,20.46590909090909
89,4 5,3,BOUNDARY,-113,18.96629213483146
90,5 2,3,BOUNDARY,-102,17.622222222222224
91,2 6,3,STEPS,-24,17.164835164835164
92,2 5,3,STEPS,-24,16.717391304347824
93,4 4,3,GOAL,100,17.612903225806452
94,1 4,3,GOAL,100,18.48936170212766
95,2 6,3,STEPS,-25,18.03157894736842
96,4 3,3,GOAL,100,18.885416666666668
97,5 6,3,GOAL,95,19.670103092783506
98,1 3,3,GOAL,100,20.489795918367346
99,3 6,3,GOAL,100,21.292929292929294
100,2 2,3,GOAL,100,22.08
101,2 6,3,GOAL,100,22.85148514851485
102,3 5,3,GOAL,100,23.607843137254903
103,4 6,3,GOAL,100,24.349514563106798
104,6 2,3,GOAL,100,25.076923076923077
105,2 3,3,GOAL,97,25.761904761904763
106,6 4,3,GOAL,100,26.462264150943398
107,5 3,3,GOAL,83,26.990654205607477
108,1 3,3,STEPS,-25,26.50925925925926
109,2 2,3,STEPS,-26,26.027522935779817
110,6 1,3,STEPS,-25,25.563636363636363
111,6 5,3,GOAL,100,26.234234234234233
112,4 1,3,STEPS,-27,25.758928571428573
113,4 5,3,GOAL,100,26.41592920353982
114,4 6,3,GOAL,100,27.06140350877193
115,1 6,3,STEPS,-23,26.62608695652174
116,2 4,3,STEPS,-26,26.17241379310345
117,1 2,3,STEPS,-26,25.726495726495727
118,5 2,3,STEPS,-25,25.296610169491526
119,6 5,3,STEPS,-22,24.899159663865547
120,2 4,3,STEPS,-26,24.475
121,4 6,3,GOAL,100,25.09917355371901
122,2 3,3,STEPS,-26,24.68032786885246
123,2 6,3,STEPS,-23,24.29268292682927
124,2 2,3,STEPS,-26,23.887096774193548
125,1 3,3,STEPS,-24,23.504
126,3 4,3,STEPS,-26,23.11111111111111
127,2 3,3,STEPS,-25,22.73228346456693
128,4 2,3,STEPS,-25,22.359375
129,6 5,3,STEPS,-20,22.031007751937985
130,6 1,3,STEPS,-23,21.684615384615384
131,3 4,3,STEPS,-26,21.3206106870229
132,1 6,3,STEPS,-22,20.992424242424242
133,6 1,3,STEPS,-23,20.661654135338345
134,1 5,3,STEPS,-23,20.33582089552239
135,3 3,3,STEPS,-27,19.985185185185184
136,1 5,3,STEPS,-24,19.66176470588235
137,2 4,3,STEPS,-24,19.343065693430656
138,2 3,3,STEPS,-25,19.02173913043478
139,4 5,3,GOAL,100,19.60431654676259
140,1 1,3,STEPS,-25,19.285714285714285
141,6 4,3,STEPS,-23,18.98581560283688
142,3 5,3,STEPS,-24,18.683098591549296
143,6 2,3,STEPS,-23,18.39160839160839
144,6 2,3,STEPS,-21,18.118055555555557
145,1 5,3,STEPS,-23,17.83448275862069
146,4 3,3,STEPS,-25,17.541095890410958
147,4 1,3,STEPS,-24,17.258503401360546
148,2 5,3,STEPS,-24,16.97972972972973
149,3 6,3,STEPS,-23,16.711409395973153
150,3 5,3,STEPS,-24,16.44
151,3 5,3,STEPS,-24,16.172185430463575
152,1 4,3,STEPS,-24,15.907894736842104
153,6 5,3,STEPS,-21,15.666666666666666
154,2 1,3,STEPS,-25,15.402597402597403
155,1 2,3,STEPS,-26,15.135483870967741
156,1 6,3,STEPS,-22,14.897435897435898
157,2 3,3,STEPS,-27,14.630573248407643
158,3 4,3,STEPS,-24,14.386075949367088
159,6 1,3,STEPS,-23,14.150943396226415
160,3 5,3,STEPS,-25,13.90625
161,4 5,3,GOAL,100,14.440993788819876
162,1 1,3,STEPS,-26,14.191358024691358
163,5 5,3,STEPS,-23,13.963190184049079
164,2 4,3,STEPS,-26,13.71951219512195
165,6 6,3,GOAL,100,14.242424242424242
166,4 5,3,GOAL,100,14.759036144578314
167,2 6,3,STEPS,-24,14.52694610778443
168,4 5,3,GOAL,100,15.035714285714286
169,1 4,3,STEPS,-24,14.804733727810651
170,4 4,3,GOAL,100,15.305882352941177
171,3 3,3,STEPS,-24,15.076023391812866
172,2 2,3,STEPS,-27,14.831395348837209
173,3 3,3,STEPS,-26,14.595375722543352
174,1 3,3,STEPS,-25,14.367816091954023
175,4 6,3,GOAL,100,14.857142857142858
176,4 6,3,GOAL,100,15.340909090909092
177,2 1,3,STEPS,-28,15.096045197740112
178,6 6,3,GOAL,100,15.573033707865168
179,5 5,3,GOAL,100,16.044692737430168
180,6 4,3,GOAL,100,16.511111111111113
181,3 5,3,STEPS,-24,16.287292817679557
182,2 1,3,STEPS,-27,16.04945054945055
183,4 4,3,GOAL,100,16.508196721311474
184,3 1,3,STEPS,-26,16.277173913043477
185,4 5,3,GOAL,100,16.72972972972973
186,2 3,3,STEPS,-26,16.5
187,2 3,3,STEPS,-26,16.272727272727273
188,4 1,3,STEPS,-24,16.05851063829787
189,5 3,3,GOAL,100,16.502645502645503
190,2 1,3,STEPS,-26,16.278947368421054
191,5 3,3,STEPS,-24,16.06806282722513
192,2 4,3,STEPS,-27,15.84375
193,4 4,3,GOAL,100,16.27979274611399
194,1 4,3,STEPS,-24,16.072164948453608
195,2 6,3,STEPS,-24,15.866666666666667
196,6 2,3,STEPS,-25,15.658163265306122
197,5 2,3,STEPS,-25,15.451776649746193
198,5 6,3,GOAL,100,15.878787878787879
199,4 5,3,GOAL,100,16.301507537688444
200,4 6,3,GOAL,100,16.72
201,2 5,3,STEPS,-24,16.51741293532338
202,2 1,3,STEPS,-26,16.306930693069308
203,3 2,3,STEPS,-27,16.0935960591133
204,2 3,3,STEPS,-28,15.877450980392156
205,4 3,3,STEPS,-26,15.673170731707318
206,1 1,3,STEPS,-25,15.475728155339805
207,4 1,3,STEPS,-24,15.285024154589372
208,2 4,3,STEPS,-26,15.086538461538462
209,4 2,3,STEPS,-27,14.885167464114833
210,3 6,3,STEPS,-24,14.7
211,2 4,3,STEPS,-26,14.507109004739336
212,3 1,3,STEPS,-24,14.325471698113208
