ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],5.796803466927292e-13,0.014450947754085064,5.226497945369502e-13,0.9855490326881409
[0,1],4.06976707765938e-18,1.0,2.3880834809641982e-11,1.5089455018824083e-08
[0,2],9.878506237716792e-19,1.0,2.6660210497575498e-11,1.8212042984799837e-09
[0,3],1.0739800812707273e-18,1.0,3.5047260232845545e-11,1.5895403882026926e-09
[0,4],1.5480600377917126e-18,1.0,6.476259806209583e-11,1.5666976604933325e-09
[0,5],4.125947944093063e-18,1.0,2.5195601160987735e-10,2.0772759068421465e-09
[0,6],3.103472139585858e-17,1.0,3.296743544822789e-09,4.7839421313256025e-09
[0,7],4.823873810436922e-16,0.9999998807907104,1.0326708377306204e-07,1.5750668325154038e-08
[1,0],2.1413957846522225e-13,6.283547463681316e-06,6.588232851655789e-16,0.9999936819076538
[1,1],3.127285756743259e-13,0.010757294483482838,3.554625127230593e-13,0.9892427325248718
[1,2],1.2916683345366644e-17,1.0,6.409422298458978e-11,4.078366799831201e-08
[1,3],1.4630770319421478e-17,1.0,3.733091058499838e-10,1.3751452421217891e-08
[1,4],1.9877274527613383e-16,0.9999998807907104,6.619333525748061e-09,6.829314003198306e-08
[1,5],3.2067682707246628e-15,0.9999995231628418,1.3866829817743564e-07,3.798462557824678e-07
[1,6],1.9653698698877953e-14,0.9999978542327881,1.0370382597102434e-06,1.1180650290043559e-06
[1,7],4.559190413980056e-14,0.9999955892562866,2.781505372695392e-06,1.7181276916744537e-06
[2,0],6.34311353442385e-12,6.0917622057843346e-09,8.217774026173823e-17,1.0
[2,1],3.038982639754634e-13,4.82408722746186e-06,9.340846408259929e-15,0.999995231628418
[2,2],3.2126532337195535e-12,0.000190308055607602,5.532026225996134e-12,0.9998096823692322
[2,3],4.611780995609181e-14,0.9999918937683105,3.737782776624954e-07,7.768890100123826e-06
[2,4],3.592434780642223e-14,0.9999963045120239,1.656698032093118e-06,1.973763346541091e-06
[2,5],6.074981284080044e-14,0.9999943971633911,3.0345770483108936e-06,2.638385240061325e-06
[2,6],7.677464621078794e-14,0.999993085861206,3.920615199604072e-06,2.9684924811590463e-06
[2,7],8.69683014839695e-14,0.9999923706054688,4.503023319557542e-06,3.070092589041451e-06
[3,0],2.6179662881986587e-09,1.3840311275520323e-12,1.9486347646631842e-16,1.0
[3,1],6.618188202328623e-12,5.420988991033937e-09,3.425676354997659e-14,1.0
[3,2],3.2964739878765803e-12,1.0537556960343863e-07,2.677182748492962e-13,0.9999998807907104
[3,3],1.7003863594933222e-11,1.311712185270153e-05,3.841341827959255e-11,0.9999868869781494
[3,4],4.495120909612377e-13,0.9999626874923706,3.5445764297037385e-06,3.379326153662987e-05
[3,5],9.414226397139874e-14,0.9999920129776001,4.610260930348886e-06,3.345420509504038e-06
[3,6],1.008699214107879e-13,0.9999916553497314,5.1521633395168465e-06,3.2064517654362135e-06
[3,7],1.155545656991025e-13,0.9999908208847046,5.927661732130218e-06,3.1944571219355566e-06
[4,0],6.784250672353664e-08,4.235756642895043e-14,3.457476258826543e-16,0.9999998807907104
[4,1],8.772061549366938e-11,1.2598653023609963e-11,5.6624258403068384e-15,1.0
[4,2],5.221336817767819e-12,3.110099555669876e-08,2.3012649186422707e-13,1.0
[4,3],4.5301674737874276e-12,8.617236346708523e-08,4.1853567595180607e-13,0.9999998807907104
[4,4],2.4273571000432703e-11,1.314364362769993e-05,5.4507617169852196e-11,0.9999868869781494
[4,5],8.002831795687892e-13,0.9999508857727051,4.991563855583081e-06,4.4113814510637894e-05
[4,6],1.5632503971851897e-13,0.9999889135360718,7.70142833061982e-06,3.3707162856444484e-06
[4,7],2.019198203822084e-13,0.9999864101409912,1.0480939636181574e-05,3.151051259919768e-06
[5,0],1.7113804062773852e-07,2.234207962950943e-14,3.8766826582411487e-16,0.9999998807907104
[5,1],2.182970471054091e-09,4.0823879107927674e-13,1.5678347978407788e-15,1.0
[5,2],1.7168762939112625e-11,8.529953965386028e-10,5.885883550297774e-14,1.0
[5,3],6.475737047290098e-12,6.450959233461617e-08,5.033418343583507e-13,0.9999998807907104
[5,4],7.924862155395118e-12,8.873208656723364e-08,7.608479818399516e-13,0.9999998807907104
[5,5],5.744247438821404e-11,1.599399183760397e-05,1.3533171805413247e-10,0.9999840259552002
[5,6],2.9168926388850602e-12,0.99992835521698,1.377301032334799e-05,5.7798821217147633e-05
[5,7],6.704678045393875e-13,0.9999629259109497,3.389539415366016e-05,3.243833589294809e-06
[6,0],3.023444037353329e-07,1.9207978103571478e-14,5.991578079049531e-16,0.9999996423721313
[6,1],6.633872118300133e-08,5.359688387551742e-14,1.0686076606518423e-15,0.9999998807907104
[6,2],1.364200419295969e-10,8.502785281416791e-12,1.3455502073059667e-14,1.0
[6,3],1.8750325944671964e-11,1.917122283146e-08,6.528690890857114e-13,1.0
[6,4],2.1379994996628682e-11,7.797789436381208e-08,1.9673711444678776e-12,0.9999998807907104
[6,5],4.116254906372241e-11,9.329581018846511e-08,4.189528064746373e-12,0.9999998807907104
[6,6],5.336480701778612e-10,2.1633926735376008e-05,1.4351885235797113e-09,0.9999784231185913
[6,7],5.075798462095271e-11,0.9997450709342957,0.000177766676642932,7.711260695941746e-05
[7,0],8.086592515610391e-07,1.7089038788654226e-14,1.7641820113328908e-15,0.9999991655349731
[7,1],7.027201718301512e-07,2.282691620632011e-14,2.529581946537321e-15,0.9999992847442627
[7,2],3.5457785596548774e-09,8.405548392736995e-13,1.9735140916756454e-14,1.0
[7,3],2.603931237299406e-10,2.7568855531789893e-10,5.12777212184623e-13,1.0
[7,4],1.587203701802764e-10,5.849773643262779e-08,1.3244211283236496e-11,1.0
[7,5],3.8491607123880556e-10,8.535446482937914e-08,4.043304580036988e-11,0.9999998807907104
[7,6],1.156603701701897e-09,1.0183705256849862e-07,1.317920217402957e-10,0.9999998807907104
[7,7],2.182955682883403e-08,3.203036976628937e-05,7.339180285725888e-08,0.9999679327011108
