ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],7.551670933025889e-08,0.1352415680885315,2.915839569794798e-09,0.8647584319114685
[0,1],7.955179050223027e-12,0.9999996423721313,2.2601656102239076e-09,3.8885445974301547e-07
[0,2],2.7576768993342604e-12,1.0,3.0050817390048223e-09,2.257001341376963e-08
[0,3],1.1092896566589072e-11,1.0,1.2689955752875903e-08,9.742390894018627e-09
[0,4],7.267676044309113e-11,0.9999998807907104,9.868729478057503e-08,5.616319409540438e-09
[0,5],1.7555050746409506e-09,0.9999960660934448,3.93608115700772e-06,4.31852775761854e-09
[0,6],1.5719672319391975e-07,0.9993353486061096,0.0006644744426012039,4.236643924571126e-09
[0,7],1.886598693090491e-05,0.8791285753250122,0.12085258215665817,5.511064937735455e-09
[0,8],0.00014303583884611726,0.06350135058164597,0.9363556504249573,8.301532794519062e-10
[0,9],0.00017982324061449617,0.0021531826350837946,0.9976670742034912,5.869753294529545e-11
[1,0],1.5819921372894896e-08,5.513918040378485e-06,5.639442905713832e-13,0.9999945163726807
[1,1],2.2709288671762806e-08,0.9358976483345032,5.114989320986751e-09,0.06410238146781921
[1,2],6.8665641748955064e-12,0.9999998807907104,3.2470559574449e-09,6.269237928790972e-08
[1,3],2.0302261607985095e-11,1.0,1.699279827960254e-08,1.0665448080260376e-08
[1,4],2.421322864432085e-10,0.9999997615814209,2.522335478261084e-07,6.419766052090381e-09
[1,5],2.1646400227837148e-08,0.999961256980896,3.8748137740185484e-05,5.820795845323801e-09
[1,6],9.500309715804178e-06,0.9706724882125854,0.029317962005734444,7.873948604242287e-09
[1,7],0.0002488816389814019,0.07903116941452026,0.9207199811935425,1.3278400601279827e-09
[1,8],0.00028987412224523723,0.0018849872285500169,0.9978251457214355,6.25671667253691e-11
[1,9],0.00031636536004953086,0.00030895782401785254,0.9993746876716614,1.4978232196205532e-11
[2,0],1.593056708770746e-08,1.4051693142391741e-06,2.1593543739120008e-13,0.9999985694885254
[2,1],2.2385208353625785e-08,1.6351517842849717e-05,1.3897779411672917e-12,0.9999836683273315
[2,2],2.0761112828893147e-09,0.9997120499610901,8.414660968014687e-09,0.00028791086515411735
[2,3],5.760742230465077e-11,1.0,3.808067106092494e-08,1.7092853354938597e-08
[2,4],2.0233623665433242e-09,0.9999979734420776,2.0858246898569632e-06,8.680527407989302e-09
[2,5],1.452516698918771e-06,0.9974428415298462,0.0025557614862918854,1.1032263103061268e-08
[2,6],0.00031053685233928263,0.17408961057662964,0.8255998492240906,3.6030716188406586e-09
[2,7],0.0003361823037266731,0.002112045418471098,0.9975517392158508,7.877588859006579e-11
[2,8],0.00033941102446988225,0.0003000511205755174,0.9993605017662048,1.533760098093584e-11
[2,9],0.00034524660441093147,0.00015023397281765938,0.999504566192627,8.72325735951085e-12
[3,0],2.2168222812979366e-08,7.53943140807678e-07,1.8742352234004528e-13,0.9999991655349731
[3,1],2.0514629994750067e-08,2.0471986772463424e-06,3.6235616829131956e-13,0.9999979734420776
[3,2],1.8262191758822155e-07,0.00010915638995356858,3.054752978348674e-11,0.9998906850814819
[3,3],9.340055839857087e-09,0.9999971389770508,4.1871984990393685e-07,2.4123439743561903e-06
[3,4],1.4659410396689054e-07,0.9998725652694702,0.00012732147297356278,2.0520197097084747e-08
[3,5],0.00022258562967181206,0.6382491588592529,0.36152827739715576,1.7764122617336398e-08
[3,6],0.00041172184864990413,0.004333300981670618,0.9952549934387207,1.8295638615217769e-10
[3,7],0.00036209545214660466,0.00035307995858602226,0.9992848038673401,1.887058391492058e-11
[3,8],0.00035208009649068117,0.00015445977624040097,0.9994934797286987,9.106569665018327e-12
[3,9],0.0003507364890538156,0.0001197770907310769,0.9995294809341431,7.320236430907734e-12
[4,0],3.6497123545586874e-08,4.051154292028514e-07,1.9664390287551375e-13,0.9999995231628418
[4,1],4.503387529553038e-08,1.1143848723804695e-06,5.488336022631268e-13,0.9999988079071045
[4,2],4.340313921602501e-07,2.0441852939256933e-06,7.718544553503293e-12,0.9999974966049194
[4,3],0.000722823548130691,0.002159555209800601,6.306677278189454e-07,0.9971170425415039
[4,4],0.00013643986312672496,0.9704986810684204,0.02936450205743313,4.6051547997194575e-07
[4,5],0.0006096696597523987,0.028270749375224113,0.9711196422576904,1.554340767206952e-09
[4,6],0.00041061092633754015,0.0006374114309437573,0.9989519119262695,3.6213147064367845e-11
[4,7],0.00036427334998734295,0.0001782813051249832,0.9994574189186096,1.06881265990455e-11
[4,8],0.0003539007739163935,0.00012365722795948386,0.9995224475860596,7.59431406649469e-12
[4,9],0.0003516628057695925,0.00011156083201058209,0.9995367527008057,6.914470732088951e-12
[5,0],9.042244641932484e-08,2.3375264390779193e-07,3.4990903946020835e-13,0.9999996423721313
[5,1],3.456840431681485e-07,3.8049478234825074e-07,2.2926729958960834e-12,0.9999992847442627
[5,2],1.0258096153847873e-05,6.141752351140894e-07,1.102725966095619e-10,0.9999891519546509
[5,3],0.0054664998315274715,1.365506932415883e-06,9.192482508524336e-08,0.9945319890975952
[5,4],0.9694133400917053,0.0012245343532413244,0.02267204411327839,0.006690106354653835
[5,5],0.0010626743314787745,0.002511777449399233,0.9964255690574646,5.16538201100758e-10
[5,6],0.0004008991818409413,0.000273432262474671,0.9993256330490112,1.7461906920424042e-11
[5,7],0.0003610231797210872,0.00013701652642339468,0.9995019435882568,8.485690448922778e-12
[5,8],0.00035336590372025967,0.00011422651732573286,0.9995324611663818,7.093237889416182e-12
[5,9],0.00035164161818102,0.00010891157580772415,0.9995394945144653,6.775864157954059e-12
[6,0],6.923587534402031e-07,1.1215772843797822e-07,1.9403591147021393e-12,0.9999991655349731
[6,1],1.0171751455345657e-05,8.737969636740672e-08,3.195771078323695e-11,0.9999897480010986
[6,2],0.00031628573196940124,1.9331604050876194e-07,2.101558038702933e-09,0.9996834993362427
[6,3],0.07325799763202667,4.6544673182324914e-07,9.247108323506836e-07,0.9267406463623047
[6,4],0.9778799414634705,6.4827027301817e-08,5.4592310334555805e-05,0.022065410390496254
[6,5],0.4380210041999817,5.2144496294204146e-05,0.5619258880615234,9.339577218270279e-07
[6,6],0.0005394360632635653,0.0001645523589104414,0.9992959499359131,1.8740484858392747e-11
[6,7],0.00036082626320421696,0.00012204644735902548,0.9995170831680298,7.729315451565633e-12
[6,8],0.0003527084772940725,0.00011063470446970314,0.9995366334915161,6.892374691813696e-12
[6,9],0.0003514882700983435,0.00010792067041620612,0.9995405673980713,6.720961460982e-12
[7,0],1.5934507246129215e-05,4.1589213850556916e-08,3.0562618408280784e-11,0.9999840259552002
[7,1],0.00019675663497764617,2.8618146075132245e-08,3.7307196221192385e-10,0.9998032450675964
[7,2],0.0035408372059464455,7.523907896711535e-08,1.5173590384165436e-08,0.9964590668678284
[7,3],0.37921077013015747,2.3300557927541377e-07,5.181722826819168e-06,0.6207838654518127
[7,4],0.991752564907074,6.853020817487732e-09,3.4189364669146016e-05,0.008213343098759651
[7,5],0.9995827078819275,2.526014952763944e-09,0.00030830418108962476,0.00010901344649028033
[7,6],0.046831827610731125,2.4889775886549614e-05,0.9531432390213013,5.259349844521921e-09
[7,7],0.00043005042243748903,0.0001078599234460853,0.9994620680809021,9.233487238691218e-12
[7,8],0.00035379029577597976,0.00010885007213801146,0.9995373487472534,6.837203980064599e-12
[7,9],0.0003514025011099875,0.00010749025386758149,0.999541163444519,6.69709990588907e-12
[8,0],0.0001832803973229602,2.0000076261794675e-08,2.7161944915476965e-10,0.9998167157173157
[8,1],0.0010224769357591867,1.7497384874332056e-08,1.6491686904984704e-09,0.998977541923523
[8,2],0.021473318338394165,3.7662804430738106e-08,6.89500652129027e-08,0.9785265922546387
[8,3],0.7804742455482483,6.009142339280515e-08,1.07201603896101e-05,0.21951498091220856
[8,4],0.9969568252563477,2.238001561849501e-09,3.744032437680289e-05,0.0030057751573622227
[8,5],0.9996891021728516,3.2033728447622423e-10,6.731080793542787e-05,0.0002436082431813702
[8,6],0.9975475668907166,6.392466556093268e-09,0.002444616286084056,7.903363439254463e-06
[8,7],0.008533521555364132,3.1475912692258134e-05,0.9914349913597107,3.6663588831586935e-10
[8,8],0.00039167769136838615,0.0001036366811604239,0.9995046854019165,7.700158219381414e-12
[8,9],0.0003522176411934197,0.00010717431723605841,0.9995406866073608,6.7056737766690855e-12
[9,0],0.0006023667519912124,1.4754312438469697e-08,8.29139312763516e-10,0.9993976354598999
[9,1],0.0029807521495968103,1.489605772064806e-08,5.031652428044708e-09,0.9970192909240723
[9,2],0.0994051918387413,2.4423323807809538e-08,3.0721906796316034e-07,0.9005944728851318
[9,3],0.9449352622032166,9.082170571161896e-09,1.0689065675251186e-05,0.055054016411304474
[9,4],0.9985924363136292,9.264256028984619e-10,3.8560014218091965e-05,0.0013689439510926604
[9,5],0.9997273087501526,2.152735906202352e-10,6.038980791345239e-05,0.00021228607511147857
[9,6],0.9998101592063904,2.0708403047908774e-10,0.00010043101065093651,8.936276572057977e-05
[9,7],0.9724069833755493,6.565608146047452e-08,0.0275920107960701,9.488009595770563e-07
[9,8],0.0027474218513816595,4.538553548627533e-05,0.9972072243690491,8.041389776280994e-11
[9,9],0.0003737131191883236,0.00010441356425872073,0.9995218515396118,7.194880542044091e-12
