Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,6 6,4,GOAL,1000,1000.0
2,1 3,4,BOUNDARY,-100,450.0
3,5 4,4,GOAL,1000,633.3333333333334
4,5 8,4,GOAL,1000,725.0
5,4 7,4,BOUNDARY,-104,559.2
6,1 4,4,BOUNDARY,-104,448.6666666666667
7,5 4,4,BOUNDARY,-136,365.14285714285717
8,6 8,4,GOAL,1000,444.5
9,8 5,4,BOUNDARY,-116,382.22222222222223
10,5 1,4,BOUNDARY,-124,331.6
11,7 8,4,BOUNDARY,-104,292.0
12,1 8,4,BOUNDARY,-100,259.3333333333333
13,8 2,4,BOUNDARY,-104,231.3846153846154
14,1 3,4,BOUNDARY,-100,207.71428571428572
15,5 2,4,BOUNDARY,-100,187.2
16,8 2,4,BOUNDARY,-104,169.0
17,1 7,4,BOUNDARY,-100,153.1764705882353
18,5 8,4,BOUNDARY,-104,138.88888888888889
19,3 7,4,BOUNDARY,-108,125.89473684210526
20,5 6,4,BOUNDARY,-108,114.2
21,5 6,4,BOUNDARY,-106,103.71428571428571
22,4 6,4,BOUNDARY,-100,94.45454545454545
23,3 6,4,BOUNDARY,-100,86.0
24,4 4,4,BOUNDARY,-100,78.25
25,5 1,4,BOUNDARY,-100,71.12
26,4 8,4,BOUNDARY,-104,64.38461538461539
27,5 4,4,BOUNDARY,-112,57.851851851851855
28,7 2,4,BOUNDARY,-100,52.214285714285715
29,4 4,4,BOUNDARY,-106,46.758620689655174
30,4 4,4,BOUNDARY,-104,41.733333333333334
31,2 7,4,BOUNDARY,-100,37.16129032258065
32,3 6,4,BOUNDARY,-104,32.75
33,4 5,4,BOUNDARY,-100,28.727272727272727
34,8 4,4,BOUNDARY,-104,24.823529411764707
35,7 5,4,BOUNDARY,-104,21.142857142857142
36,7 2,4,BOUNDARY,-100,17.77777777777778
37,2 1,4,BOUNDARY,-100,14.594594594594595
38,5 7,4,BOUNDARY,-100,11.578947368421053
39,8 1,4,BOUNDARY,-100,8.717948717948717
40,3 8,4,BOUNDARY,-100,6.0
41,3 1,4,BOUNDARY,-100,3.4146341463414633
42,2 2,4,BOUNDARY,-100,0.9523809523809523
43,6 8,4,GOAL,1000,24.186046511627907
44,5 7,4,BOUNDARY,-100,21.363636363636363
45,2 7,4,BOUNDARY,-100,18.666666666666668
46,8 4,4,BOUNDARY,-100,16.08695652173913
47,2 2,4,BOUNDARY,-100,13.617021276595745
48,3 2,4,BOUNDARY,-100,11.25
49,4 6,4,BOUNDARY,-100,8.979591836734693
50,7 2,4,BOUNDARY,-100,6.8
51,6 4,4,BOUNDARY,-100,4.705882352941177
52,1 2,4,BOUNDARY,-100,2.6923076923076925
53,2 2,4,BOUNDARY,-100,0.7547169811320755
54,2 6,4,BOUNDARY,-102,-1.1481481481481481
55,6 4,4,BOUNDARY,-100,-2.9454545454545453
