ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],0.9996204376220703,1.8860253803154592e-08,2.3570191842736676e-06,0.0003771185874938965
[0,1],1.0812391780523622e-11,1.5495234038098715e-05,0.9999845027923584,1.1519371394264066e-11
[0,2],1.2382631378593523e-11,3.150861857648124e-06,0.9999969005584717,1.4258730914734619e-12
[0,3],1.5018292165436264e-11,1.2130902860008064e-06,0.9999988079071045,4.3168753619503286e-13
[0,4],1.639391226937459e-11,6.992426051510847e-07,0.9999992847442627,2.1439825555105013e-13
[0,5],1.7066952018307546e-11,5.24632469023345e-07,0.9999995231628418,1.48769627801755e-13
[0,6],1.7383530379055934e-11,4.560972683975706e-07,0.9999995231628418,1.2463451494817979e-13
[0,7],1.7530466661641597e-11,4.269362250397535e-07,0.9999995231628418,1.1477227317407274e-13
[0,8],1.759928140721012e-11,4.139196221331076e-07,0.9999996423721313,1.1052753357736547e-13
[0,9],1.7632378196408283e-11,4.0789120703266235e-07,0.9999996423721313,1.0865551622503411e-13
[1,0],1.0,2.027850435671458e-18,8.498427249469323e-15,7.108633681696119e-10
[1,1],5.027781302402445e-09,1.196717221318977e-06,0.9999988079071045,1.1624687323852356e-11
[1,2],1.736076560288069e-11,5.092055062050349e-07,0.9999995231628418,1.482546588748787e-13
[1,3],1.740449624698659e-11,4.47172340045654e-07,0.9999995231628418,1.2369669362150698e-13
[1,4],1.7559512871523353e-11,4.2119876297874725e-07,0.9999995231628418,1.1440814387444348e-13
[1,5],1.7626526974123813e-11,4.0973529280563525e-07,0.9999996423721313,1.1039227258008433e-13
[1,6],1.765580043278092e-11,4.0460079731019505e-07,0.9999996423721313,1.0861655948572399e-13
[1,7],1.76687709602108e-11,4.022811594950326e-07,0.9999996423721313,1.0782249659085918e-13
[1,8],1.767466902002912e-11,4.012278793652513e-07,0.9999996423721313,1.0746647847873284e-13
[1,9],1.7677331820564746e-11,4.007433744845912e-07,0.9999996423721313,1.0730569129655324e-13
[2,0],1.0,1.7836209912675664e-19,1.607840058060481e-15,1.1094213742124381e-10
[2,1],0.9999996423721313,6.282151448350204e-12,3.615673733747826e-07,3.470830023388771e-08
[2,2],2.4855060717920985e-11,4.27449151629844e-07,0.9999995231628418,1.41176350124117e-13
[2,3],1.7674804328460247e-11,4.042031775952637e-07,0.9999996423721313,1.0861863302237887e-13
[2,4],1.7669308724488353e-11,4.020379833491461e-07,0.9999996423721313,1.0778404129505384e-13
[2,5],1.7675409746953363e-11,4.0108250232151477e-07,0.9999996423721313,1.0744905670507371e-13
[2,6],1.7677973668250857e-11,4.0064631434688636e-07,0.9999996423721313,1.0729770885805831e-13
[2,7],1.7679186239960565e-11,4.004484424058319e-07,0.9999996423721313,1.0722958030404475e-13
[2,8],1.767969277921555e-11,4.003579476830055e-07,0.9999996423721313,1.0719870087091965e-13
[2,9],1.7679928701608283e-11,4.0031670778262196e-07,0.9999996423721313,1.0718459269015018e-13
[3,0],1.0,1.4732067322523816e-19,1.4408021962466176e-15,9.33271862568752e-11
[3,1],1.0,5.652853561501768e-19,6.479237075519579e-15,1.4250252367009608e-10
[3,2],5.5494866479932625e-09,7.922080271782761e-07,0.9999991655349731,6.290757411514525e-12
[3,3],1.8038402369024986e-11,4.0185321381613903e-07,0.9999996423721313,1.0890199603642153e-13
[3,4],1.768040054639375e-11,4.004354536846222e-07,0.9999996423721313,1.0723162673564532e-13
[3,5],1.7679725738961594e-11,4.003495348570141e-07,0.9999996423721313,1.0719727107930468e-13
[3,6],1.7679928701608283e-11,4.0031173398347164e-07,0.9999996423721313,1.0718398282642816e-13
[3,7],1.768002931556989e-11,4.0029416936704365e-07,0.9999996423721313,1.0717805359579738e-13
[3,8],1.7680096969785453e-11,4.002869218311389e-07,0.9999996423721313,1.0717539730047479e-13
[3,9],1.7680131664254972e-11,4.0028388070822984e-07,0.9999996423721313,1.0717437408467451e-13
[4,0],1.0,1.4508813860135168e-19,1.4292626428896987e-15,9.19149895084459e-11
[4,1],1.0,1.5637640100222436e-19,1.5556932158165989e-15,9.395659944511081e-11
[4,2],0.9999995231628418,1.0158035003426935e-11,5.31465502717765e-07,3.9609624025160883e-08
[4,3],2.535843583728603e-11,4.221043354846188e-07,0.9999995231628418,1.3932389584473542e-13
[4,4],1.770213142737731e-11,4.0038008819465176e-07,0.9999996423721313,1.0727888439783853e-13
[4,5],1.7680131664254972e-11,4.002861544449843e-07,0.9999996423721313,1.0717560058838213e-13
[4,6],1.7680131664254972e-11,4.0028388070822984e-07,0.9999996423721313,1.0717437408467451e-13
[4,7],1.7680131664254972e-11,4.00281976453698e-07,0.9999996423721313,1.0717355415678156e-13
[4,8],1.7680131664254972e-11,4.00281578549766e-07,0.9999996423721313,1.0717355415678156e-13
[4,9],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[5,0],1.0,1.4489345388936908e-19,1.4282597558801496e-15,9.17842954417658e-11
[5,1],1.0,1.4549884670018133e-19,1.43509742934686e-15,9.188554084271772e-11
[5,2],1.0,5.934725177998986e-19,6.732793000148365e-15,1.4464339448405639e-10
[5,3],6.19875661911351e-09,8.757577916185255e-07,0.9999991655349731,7.041901783910731e-12
[5,4],1.8072633667376437e-11,4.017693129299005e-07,0.9999996423721313,1.0893814740261035e-13
[5,5],1.768158189308089e-11,4.0028808712122554e-07,0.9999996423721313,1.0718009325113437e-13
[5,6],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[5,7],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[5,8],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[5,9],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[6,0],1.0,1.4487466137982765e-19,1.4281562061023477e-15,9.177116705449961e-11
[6,1],1.0,1.449089376764603e-19,1.4285430884010061e-15,9.177589244124817e-11
[6,2],1.0,1.5664686321313505e-19,1.5575577470917424e-15,9.399065553639119e-11
[6,3],0.9999991655349731,1.9051978744633047e-11,8.818372521091078e-07,4.996028835080324e-08
[6,4],2.6065623617843592e-11,4.2645970665944333e-07,0.9999995231628418,1.424541365944998e-13
[6,5],1.7704867086298925e-11,4.003850619938021e-07,0.9999996423721313,1.0728686006006988e-13
[6,6],1.7680199318470535e-11,4.0028081116361136e-07,0.9999996423721313,1.0717355415678156e-13
[6,7],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[6,8],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[6,9],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[7,0],1.0,1.4487245125662848e-19,1.428139900718113e-15,9.176976539793102e-11
[7,1],1.0,1.4487410561785359e-19,1.4281617118165049e-15,9.176976539793102e-11
[7,2],1.0,1.4550439139522485e-19,1.4351193463243701e-15,9.188448613084432e-11
[7,3],1.0,6.409384160948758e-19,7.19441325090775e-15,1.4887324706336358e-10
[7,4],7.688139014305762e-09,9.87093812909734e-07,0.9999990463256836,8.527025439908353e-12
[7,5],1.8118227404495535e-11,4.0207748952525435e-07,0.9999996423721313,1.0915195884728807e-13
[7,6],1.768175016125806e-11,4.0028808712122554e-07,0.9999996423721313,1.0718070989111997e-13
[7,7],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[7,8],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[7,9],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[8,0],1.0,1.4487245125662848e-19,1.4281453005531518e-15,9.176959192558343e-11
[8,1],1.0,1.4487245125662848e-19,1.4281453005531518e-15,9.176959192558343e-11
[8,2],1.0,1.4490838191448625e-19,1.4285430884010061e-15,9.177589244124817e-11
[8,3],1.0,1.5718679243328197e-19,1.5619488717694271e-15,9.41158678768872e-11
[8,4],0.9999982118606567,3.9044767419227355e-11,1.6275683947242214e-06,6.488833292905838e-08
[8,5],2.7139240507678686e-11,4.320755238040874e-07,0.9999995231628418,1.4706053215463033e-13
[8,6],1.7708412861083822e-11,4.0040720250544837e-07,0.9999996423721313,1.0730323151287441e-13
[8,7],1.7680265237962622e-11,4.00281578549766e-07,0.9999996423721313,1.071737574446889e-13
[8,8],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[8,9],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[9,0],1.0,1.4487245125662848e-19,1.4281453005531518e-15,9.176959192558343e-11
[9,1],1.0,1.4487245125662848e-19,1.4281453005531518e-15,9.176959192558343e-11
[9,2],1.0,1.4487466137982765e-19,1.4281617118165049e-15,9.176993887027862e-11
[9,3],1.0,1.4552437297689684e-19,1.4352616478595088e-15,9.188939192883439e-11
[9,4],1.0,7.086426839432466e-19,7.8914561449611e-15,1.5442207235150107e-10
[9,5],1.0572127173702484e-08,1.1328627351758769e-06,0.9999988079071045,1.113031108251894e-11
[9,6],1.8180399893874544e-11,4.0246993648906937e-07,0.9999996423721313,1.0944068188582096e-13
[9,7],1.7682019043396835e-11,4.0028959347182536e-07,0.9999996423721313,1.0718193639482759e-13
[9,8],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
[9,9],1.7680131664254972e-11,4.0028081116361136e-07,0.9999996423721313,1.0717314758096688e-13
