Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,7 5,12,BOUNDARY,-100,-100.0
2,5 5,12,BOUNDARY,-108,-104.0
3,4 3,12,BOUNDARY,-104,-104.0
4,6 1,12,BOUNDARY,-100,-103.0
5,5 1,12,BOUNDARY,-100,-102.4
6,6 5,12,GOAL,100,-68.66666666666667
7,5 3,12,GOAL,98,-44.857142857142854
8,2 1,12,BOUNDARY,-100,-51.75
9,5 2,12,BOUNDARY,-100,-57.111111111111114
10,5 7,12,BOUNDARY,-100,-61.4
11,5 8,12,BOUNDARY,-100,-64.9090909090909
12,6 5,12,GOAL,100,-51.166666666666664
13,5 7,12,BOUNDARY,-100,-54.92307692307692
14,4 3,12,BOUNDARY,-118,-59.42857142857143
15,5 3,12,GOAL,96,-49.06666666666667
16,2 8,12,BOUNDARY,-100,-52.25
17,6 1,12,GOAL,100,-43.294117647058826
18,6 3,12,GOAL,100,-35.333333333333336
19,8 3,12,BOUNDARY,-100,-38.73684210526316
20,1 2,12,BOUNDARY,-100,-41.8
21,8 3,12,BOUNDARY,-100,-44.57142857142857
22,1 4,12,BOUNDARY,-102,-47.18181818181818
23,2 8,12,BOUNDARY,-100,-49.47826086956522
24,5 1,12,BOUNDARY,-104,-51.75
25,1 1,12,BOUNDARY,-100,-53.68
26,7 4,12,BOUNDARY,-100,-55.46153846153846
27,4 6,12,BOUNDARY,-100,-57.111111111111114
28,1 1,12,BOUNDARY,-100,-58.642857142857146
29,4 3,12,BOUNDARY,-100,-60.06896551724138
30,1 6,12,BOUNDARY,-100,-61.4
31,6 2,12,GOAL,100,-56.193548387096776
32,4 3,12,BOUNDARY,-100,-57.5625
33,7 7,12,BOUNDARY,-100,-58.84848484848485
34,4 8,12,BOUNDARY,-100,-60.05882352941177
35,3 5,12,BOUNDARY,-104,-61.31428571428572
36,4 7,12,BOUNDARY,-100,-62.388888888888886
37,8 3,12,BOUNDARY,-100,-63.4054054054054
38,8 1,12,BOUNDARY,-100,-64.36842105263158
39,4 7,12,BOUNDARY,-100,-65.28205128205128
40,6 2,12,GOAL,100,-61.15
41,8 6,12,BOUNDARY,-100,-62.09756097560975
42,1 3,12,BOUNDARY,-100,-63.0
43,5 5,12,GOAL,100,-59.2093023255814
44,3 1,12,BOUNDARY,-100,-60.13636363636363
45,2 2,12,GOAL,100,-56.577777777777776
46,7 5,12,BOUNDARY,-100,-57.52173913043478
47,6 7,12,BOUNDARY,-100,-58.42553191489362
48,8 4,12,BOUNDARY,-100,-59.291666666666664
49,5 4,12,GOAL,100,-56.04081632653061
50,4 2,12,GOAL,100,-52.92
51,2 3,12,BOUNDARY,-102,-53.88235294117647
52,4 2,12,GOAL,100,-50.92307692307692
53,7 3,12,BOUNDARY,-100,-51.84905660377358
54,5 4,12,BOUNDARY,-100,-52.74074074074074
55,3 5,12,BOUNDARY,-100,-53.6
56,8 8,12,BOUNDARY,-102,-54.464285714285715
57,5 6,12,BOUNDARY,-100,-55.26315789473684
58,6 3,12,BOUNDARY,-100,-56.03448275862069
59,6 6,12,GOAL,100,-53.389830508474574
60,7 8,12,BOUNDARY,-100,-54.166666666666664
61,2 2,12,GOAL,100,-51.63934426229508
62,2 8,12,BOUNDARY,-100,-52.41935483870968
63,1 4,12,BOUNDARY,-100,-53.17460317460318
64,6 5,12,BOUNDARY,-100,-53.90625
65,4 7,12,BOUNDARY,-100,-54.61538461538461
66,2 7,12,BOUNDARY,-100,-55.303030303030305
67,2 5,12,GOAL,100,-52.985074626865675
68,1 5,12,BOUNDARY,-100,-53.6764705882353
69,5 8,12,BOUNDARY,-100,-54.34782608695652
70,4 4,12,BOUNDARY,-100,-55.0
71,4 4,12,BOUNDARY,-100,-55.63380281690141
72,5 4,12,GOAL,100,-53.47222222222222
73,5 5,12,GOAL,100,-51.36986301369863
74,4 2,12,GOAL,100,-49.32432432432432
75,5 8,12,BOUNDARY,-100,-50.0
76,8 4,12,BOUNDARY,-100,-50.6578947368421
77,5 1,12,BOUNDARY,-104,-51.35064935064935
78,8 8,12,BOUNDARY,-100,-51.97435897435897
79,7 4,12,BOUNDARY,-100,-52.58227848101266
80,8 2,12,BOUNDARY,-100,-53.175
81,7 5,12,BOUNDARY,-100,-53.75308641975309
82,7 4,12,BOUNDARY,-100,-54.31707317073171
83,3 5,12,BOUNDARY,-100,-54.86746987951807
84,8 4,12,BOUNDARY,-100,-55.404761904761905
85,1 3,12,BOUNDARY,-100,-55.92941176470588
86,4 3,12,BOUNDARY,-102,-56.46511627906977
87,7 2,12,BOUNDARY,-100,-56.96551724137931
88,6 8,12,BOUNDARY,-100,-57.45454545454545
89,3 3,12,BOUNDARY,-100,-57.93258426966292
90,2 6,12,BOUNDARY,-102,-58.422222222222224
91,4 7,12,BOUNDARY,-100,-58.879120879120876
92,7 2,12,BOUNDARY,-100,-59.32608695652174
93,5 4,12,BOUNDARY,-100,-59.763440860215056
94,2 7,12,BOUNDARY,-106,-60.255319148936174
95,6 2,12,BOUNDARY,-100,-60.67368421052632
96,5 1,12,BOUNDARY,-100,-61.083333333333336
97,7 2,12,BOUNDARY,-100,-61.48453608247423
98,4 3,12,BOUNDARY,-100,-61.87755102040816
99,6 7,12,BOUNDARY,-100,-62.26262626262626
100,1 5,12,BOUNDARY,-102,-62.66
101,3 7,12,BOUNDARY,-100,-63.02970297029703
102,1 4,12,BOUNDARY,-102,-63.411764705882355
103,2 8,12,BOUNDARY,-100,-63.76699029126213
104,8 8,12,BOUNDARY,-100,-64.11538461538461
105,8 5,12,BOUNDARY,-102,-64.47619047619048
106,5 2,12,BOUNDARY,-100,-64.81132075471699
107,8 2,12,BOUNDARY,-100,-65.14018691588785
108,2 4,12,BOUNDARY,-100,-65.46296296296296
109,5 1,12,GOAL,100,-63.944954128440365
110,8 7,12,BOUNDARY,-100,-64.27272727272727
111,8 6,12,BOUNDARY,-100,-64.5945945945946
112,5 8,12,BOUNDARY,-100,-64.91071428571429
113,4 1,12,GOAL,100,-63.45132743362832
114,7 1,12,BOUNDARY,-100,-63.771929824561404
115,7 2,12,BOUNDARY,-100,-64.08695652173913
116,1 6,12,BOUNDARY,-100,-64.39655172413794
117,6 2,12,GOAL,100,-62.99145299145299
118,6 8,12,BOUNDARY,-100,-63.30508474576271
119,4 2,12,GOAL,98,-61.94957983193277
120,4 2,12,GOAL,100,-60.6
121,8 6,12,BOUNDARY,-100,-60.925619834710744
122,4 1,12,BOUNDARY,-100,-61.24590163934426
123,5 1,12,GOAL,100,-59.9349593495935
124,3 2,12,BOUNDARY,-100,-60.25806451612903
125,8 2,12,BOUNDARY,-100,-60.576
126,2 3,12,BOUNDARY,-100,-60.888888888888886
127,1 2,12,GOAL,100,-59.62204724409449
128,6 3,12,BOUNDARY,-102,-59.953125
129,1 1,12,GOAL,100,-58.713178294573645
130,1 7,12,BOUNDARY,-100,-59.03076923076923
131,2 4,12,GOAL,100,-57.81679389312977
132,5 5,12,GOAL,100,-56.621212121212125
133,6 6,12,GOAL,100,-55.443609022556394
134,7 6,12,GOAL,100,-54.28358208955224
135,4 2,12,GOAL,100,-53.14074074074074
136,1 1,12,GOAL,100,-52.01470588235294
137,2 6,12,GOAL,100,-50.90510948905109
138,2 4,12,GOAL,100,-49.81159420289855
139,4 5,12,BOUNDARY,-100,-50.172661870503596
140,5 5,12,GOAL,100,-49.1
141,8 2,12,BOUNDARY,-100,-49.46099290780142
142,1 5,12,GOAL,100,-48.40845070422535
143,3 4,12,BOUNDARY,-100,-48.76923076923077
