Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,3 1,1,BOUNDARY,-100,-100.0
2,2 2,1,GOAL,100,0.0
3,1 3,1,BOUNDARY,-100,-33.333333333333336
4,3 3,1,BOUNDARY,-100,-50.0
5,3 2,1,GOAL,100,-20.0
6,1 3,1,BOUNDARY,-100,-33.333333333333336
7,1 1,1,GOAL,100,-14.285714285714286
8,3 1,1,GOAL,100,0.0
9,1 2,1,GOAL,100,11.11111111111111
10,2 2,1,GOAL,100,20.0
11,2 2,1,GOAL,100,27.272727272727273
12,1 1,1,GOAL,100,33.333333333333336
13,1 3,1,BOUNDARY,-100,23.076923076923077
14,2 1,1,BOUNDARY,-100,14.285714285714286
15,1 2,1,GOAL,100,20.0
16,1 1,1,GOAL,100,25.0
17,1 3,1,BOUNDARY,-100,17.647058823529413
18,1 2,1,GOAL,100,22.22222222222222
19,1 3,1,GOAL,100,26.31578947368421
20,3 3,1,GOAL,100,30.0
21,1 2,1,BOUNDARY,-100,23.80952380952381
22,1 2,1,GOAL,100,27.272727272727273
23,2 1,1,GOAL,100,30.434782608695652
24,3 1,1,BOUNDARY,-100,25.0
25,1 3,1,BOUNDARY,-120,19.2
26,1 2,1,BOUNDARY,-100,14.615384615384615
27,3 2,1,GOAL,100,17.77777777777778
28,3 1,1,BOUNDARY,-100,13.571428571428571
29,3 2,1,BOUNDARY,-100,9.655172413793103
30,1 1,1,BOUNDARY,-100,6.0
31,2 1,1,GOAL,100,9.03225806451613
32,1 1,1,GOAL,100,11.875
33,3 3,1,BOUNDARY,-100,8.484848484848484
34,1 3,1,BOUNDARY,-100,5.294117647058823
35,2 2,1,GOAL,100,8.0
36,1 2,1,GOAL,100,10.555555555555555
37,3 2,1,BOUNDARY,-110,7.297297297297297
38,1 2,1,GOAL,100,9.736842105263158
39,1 3,1,GOAL,100,12.051282051282051
40,1 2,1,GOAL,100,14.25
41,1 1,1,BOUNDARY,-100,11.463414634146341
42,2 3,1,BOUNDARY,-100,8.80952380952381
43,1 2,1,GOAL,100,10.930232558139535
44,3 3,1,BOUNDARY,-100,8.409090909090908
45,3 1,1,BOUNDARY,-100,6.0
46,1 1,1,BOUNDARY,-100,3.6956521739130435
47,2 1,1,BOUNDARY,-100,1.4893617021276595
48,2 3,1,BOUNDARY,-100,-0.625
