Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,2 2,1,GOAL,100,100.0
2,2 1,1,GOAL,100,100.0
3,2 3,1,GOAL,100,100.0
4,2 3,1,GOAL,100,100.0
5,2 1,1,BOUNDARY,-100,60.0
6,2 3,1,BOUNDARY,-100,33.333333333333336
7,3 2,1,BOUNDARY,-100,14.285714285714286
8,3 2,1,GOAL,100,25.0
9,3 2,1,BOUNDARY,-100,11.11111111111111
10,1 2,1,BOUNDARY,-100,0.0
11,1 1,1,BOUNDARY,-100,-9.090909090909092
12,2 1,1,BOUNDARY,-100,-16.666666666666668
13,3 1,1,GOAL,100,-7.6923076923076925
14,2 1,1,GOAL,100,0.0
15,2 1,1,GOAL,100,6.666666666666667
16,3 3,1,BOUNDARY,-100,0.0
17,2 3,1,BOUNDARY,-100,-5.882352941176471
18,3 1,1,BOUNDARY,-100,-11.11111111111111
19,1 1,1,BOUNDARY,-100,-15.789473684210526
20,3 1,1,BOUNDARY,-100,-20.0
21,3 3,1,BOUNDARY,-100,-23.80952380952381
22,3 3,1,BOUNDARY,-100,-27.272727272727273
23,2 1,1,BOUNDARY,-100,-30.434782608695652
24,3 3,1,BOUNDARY,-100,-33.333333333333336
25,2 1,1,GOAL,100,-28.0
26,1 1,1,BOUNDARY,-100,-30.76923076923077
27,3 3,1,BOUNDARY,-100,-33.333333333333336
28,3 1,1,GOAL,100,-28.571428571428573
29,2 2,1,GOAL,100,-24.137931034482758
30,1 1,1,BOUNDARY,-100,-26.666666666666668
31,2 1,1,GOAL,100,-22.580645161290324
32,1 2,1,GOAL,100,-18.75
33,1 3,1,BOUNDARY,-100,-21.21212121212121
34,1 3,1,BOUNDARY,-100,-23.529411764705884
35,1 2,1,BOUNDARY,-100,-25.714285714285715
36,2 1,1,GOAL,100,-22.22222222222222
37,1 3,1,BOUNDARY,-100,-24.324324324324323
38,1 3,1,BOUNDARY,-100,-26.31578947368421
39,1 3,1,GOAL,100,-23.076923076923077
40,1 2,1,GOAL,100,-20.0
41,1 1,1,GOAL,100,-17.073170731707318
42,3 1,1,BOUNDARY,-100,-19.047619047619047
43,1 3,1,BOUNDARY,-100,-20.930232558139537
44,2 1,1,GOAL,100,-18.181818181818183
45,1 1,1,BOUNDARY,-100,-20.0
46,3 3,1,BOUNDARY,-100,-21.73913043478261
47,3 2,1,GOAL,100,-19.148936170212767
48,3 2,1,BOUNDARY,-100,-20.833333333333332
49,3 2,1,BOUNDARY,-100,-22.448979591836736
50,1 1,1,BOUNDARY,-100,-24.0
51,1 3,1,BOUNDARY,-100,-25.49019607843137
52,2 3,1,GOAL,100,-23.076923076923077
53,1 3,1,GOAL,100,-20.754716981132077
54,3 2,1,BOUNDARY,-100,-22.22222222222222
55,1 1,1,BOUNDARY,-100,-23.636363636363637
56,3 3,1,BOUNDARY,-100,-25.0
57,3 1,1,BOUNDARY,-100,-26.31578947368421
58,3 1,1,BOUNDARY,-100,-27.586206896551722
59,3 3,1,BOUNDARY,-100,-28.8135593220339
60,1 2,1,BOUNDARY,-100,-30.0
61,3 2,1,BOUNDARY,-100,-31.147540983606557
62,3 2,1,BOUNDARY,-100,-32.25806451612903
63,3 1,1,BOUNDARY,-100,-33.333333333333336
64,3 3,1,BOUNDARY,-100,-34.375
65,1 3,1,BOUNDARY,-100,-35.38461538461539
66,3 2,1,BOUNDARY,-100,-36.36363636363637
67,1 1,1,BOUNDARY,-100,-37.3134328358209
68,3 1,1,BOUNDARY,-100,-38.23529411764706
69,2 2,1,GOAL,100,-36.231884057971016
70,2 1,1,GOAL,100,-34.285714285714285
71,2 2,1,GOAL,100,-32.394366197183096
72,1 2,1,BOUNDARY,-100,-33.333333333333336
73,1 3,1,BOUNDARY,-100,-34.24657534246575
74,3 1,1,BOUNDARY,-100,-35.13513513513514
75,2 2,1,GOAL,100,-33.333333333333336
76,2 2,1,GOAL,100,-31.57894736842105
77,2 3,1,BOUNDARY,-100,-32.467532467532465
78,1 3,1,GOAL,100,-30.76923076923077
79,1 2,1,BOUNDARY,-100,-31.645569620253166
80,1 3,1,GOAL,100,-30.0
81,3 3,1,BOUNDARY,-100,-30.864197530864196
82,3 2,1,BOUNDARY,-100,-31.70731707317073
83,3 2,1,BOUNDARY,-100,-32.53012048192771
84,3 2,1,BOUNDARY,-100,-33.333333333333336
85,3 1,1,BOUNDARY,-100,-34.11764705882353
86,3 2,1,BOUNDARY,-100,-34.883720930232556
87,2 1,1,GOAL,100,-33.333333333333336
88,2 1,1,GOAL,100,-31.818181818181817
89,3 1,1,GOAL,100,-30.337078651685392
90,2 1,1,GOAL,100,-28.88888888888889
91,1 3,1,GOAL,100,-27.47252747252747
92,1 1,1,GOAL,100,-26.08695652173913
93,1 1,1,BOUNDARY,-100,-26.881720430107528
94,3 3,1,GOAL,100,-25.53191489361702
95,2 1,1,GOAL,100,-24.210526315789473
96,2 3,1,GOAL,100,-22.916666666666668
97,2 2,1,GOAL,100,-21.649484536082475
98,3 2,1,GOAL,100,-20.408163265306122
99,1 1,1,BOUNDARY,-100,-21.21212121212121
100,2 2,1,GOAL,100,-20.0
101,3 3,1,GOAL,100,-18.81188118811881
102,1 2,1,BOUNDARY,-100,-19.607843137254903
103,1 2,1,GOAL,100,-18.446601941747574
104,1 3,1,GOAL,100,-17.307692307692307
105,2 1,1,GOAL,100,-16.19047619047619
106,1 2,1,BOUNDARY,-100,-16.9811320754717
107,2 3,1,BOUNDARY,-100,-17.757009345794394
108,2 2,1,GOAL,100,-16.666666666666668
109,3 2,1,GOAL,100,-15.596330275229358
110,1 1,1,BOUNDARY,-100,-16.363636363636363
111,2 3,1,BOUNDARY,-100,-17.117117117117118
112,2 3,1,BOUNDARY,-100,-17.857142857142858
113,2 2,1,GOAL,100,-16.8141592920354
114,2 2,1,GOAL,100,-15.789473684210526
115,1 3,1,GOAL,100,-14.782608695652174
116,2 1,1,BOUNDARY,-100,-15.517241379310345
117,3 1,1,GOAL,100,-14.52991452991453
118,2 1,1,BOUNDARY,-100,-15.254237288135593
119,2 2,1,GOAL,100,-14.285714285714286
120,2 1,1,BOUNDARY,-100,-15.0
121,3 2,1,GOAL,100,-14.049586776859504
122,1 2,1,BOUNDARY,-100,-14.754098360655737
123,3 3,1,BOUNDARY,-100,-15.447154471544716
124,2 3,1,BOUNDARY,-100,-16.129032258064516
125,3 3,1,BOUNDARY,-100,-16.8
126,3 3,1,BOUNDARY,-100,-17.46031746031746
127,1 2,1,GOAL,100,-16.53543307086614
128,2 3,1,BOUNDARY,-100,-17.1875
129,2 1,1,BOUNDARY,-100,-17.829457364341085
130,2 3,1,GOAL,100,-16.923076923076923
131,3 1,1,BOUNDARY,-100,-17.557251908396946
132,1 1,1,BOUNDARY,-100,-18.181818181818183
133,2 3,1,GOAL,100,-17.293233082706767
134,2 2,1,GOAL,100,-16.417910447761194
135,2 3,1,BOUNDARY,-100,-17.037037037037038
136,1 2,1,BOUNDARY,-100,-17.647058823529413
137,2 3,1,GOAL,100,-16.78832116788321
138,2 1,1,BOUNDARY,-100,-17.391304347826086
139,2 1,1,BOUNDARY,-100,-17.985611510791365
140,1 3,1,BOUNDARY,-100,-18.571428571428573
141,1 2,1,BOUNDARY,-100,-19.148936170212767
142,1 3,1,BOUNDARY,-100,-19.718309859154928
143,2 3,1,BOUNDARY,-100,-20.27972027972028
144,2 1,1,BOUNDARY,-100,-20.833333333333332
145,3 3,1,BOUNDARY,-100,-21.379310344827587
146,1 2,1,BOUNDARY,-100,-21.91780821917808
147,3 2,1,GOAL,100,-21.08843537414966
148,1 1,1,BOUNDARY,-100,-21.62162162162162
149,3 1,1,BOUNDARY,-100,-22.14765100671141
150,1 3,1,BOUNDARY,-100,-22.666666666666668
151,2 3,1,BOUNDARY,-100,-23.178807947019866
152,2 3,1,BOUNDARY,-100,-23.68421052631579
153,1 2,1,BOUNDARY,-100,-24.18300653594771
154,3 2,1,GOAL,100,-23.376623376623378
155,1 2,1,BOUNDARY,-100,-23.870967741935484
156,3 2,1,GOAL,100,-23.076923076923077
157,2 1,1,BOUNDARY,-100,-23.56687898089172
158,3 2,1,GOAL,100,-22.78481012658228
159,3 1,1,BOUNDARY,-100,-23.270440251572328
160,2 2,1,GOAL,100,-22.5
161,3 1,1,BOUNDARY,-100,-22.981366459627328
162,3 2,1,GOAL,100,-22.22222222222222
163,3 3,1,BOUNDARY,-100,-22.699386503067483
164,2 1,1,BOUNDARY,-100,-23.170731707317074
165,1 3,1,BOUNDARY,-100,-23.636363636363637
166,2 2,1,GOAL,100,-22.89156626506024
167,1 2,1,BOUNDARY,-100,-23.353293413173652
168,2 2,1,GOAL,100,-22.61904761904762
169,3 2,1,GOAL,100,-21.893491124260354
170,1 2,1,BOUNDARY,-100,-22.352941176470587
171,3 1,1,BOUNDARY,-100,-22.80701754385965
172,3 2,1,GOAL,100,-22.093023255813954
173,2 1,1,BOUNDARY,-100,-22.54335260115607
174,2 3,1,BOUNDARY,-100,-22.988505747126435
175,1 1,1,BOUNDARY,-100,-23.428571428571427
176,3 2,1,GOAL,100,-22.727272727272727
177,2 3,1,BOUNDARY,-100,-23.163841807909606
178,2 3,1,BOUNDARY,-100,-23.59550561797753
179,3 3,1,BOUNDARY,-100,-24.022346368715084
180,3 3,1,BOUNDARY,-100,-24.444444444444443
181,1 2,1,BOUNDARY,-100,-24.861878453038674
182,1 1,1,BOUNDARY,-100,-25.274725274725274
183,1 2,1,BOUNDARY,-100,-25.683060109289617
184,3 1,1,BOUNDARY,-100,-26.08695652173913
185,2 3,1,BOUNDARY,-100,-26.486486486486488
186,1 1,1,BOUNDARY,-100,-26.881720430107528
187,3 1,1,BOUNDARY,-100,-27.272727272727273
188,1 2,1,BOUNDARY,-100,-27.659574468085108
189,3 1,1,BOUNDARY,-100,-28.04232804232804
190,3 3,1,BOUNDARY,-100,-28.42105263157895
191,1 3,1,BOUNDARY,-100,-28.79581151832461
192,3 1,1,BOUNDARY,-100,-29.166666666666668
193,2 2,1,GOAL,100,-28.497409326424872
194,1 2,1,GOAL,100,-27.835051546391753
195,1 2,1,BOUNDARY,-100,-28.205128205128204
196,3 3,1,BOUNDARY,-100,-28.571428571428573
197,3 3,1,GOAL,100,-27.918781725888326
198,1 3,1,BOUNDARY,-100,-28.282828282828284
199,1 1,1,BOUNDARY,-100,-28.64321608040201
200,1 1,1,BOUNDARY,-100,-29.0
201,1 1,1,BOUNDARY,-100,-29.35323383084577
202,3 1,1,BOUNDARY,-100,-29.702970297029704
203,3 2,1,BOUNDARY,-100,-30.049261083743843
204,1 2,1,BOUNDARY,-100,-30.392156862745097
205,2 3,1,GOAL,100,-29.75609756097561
206,1 1,1,BOUNDARY,-100,-30.097087378640776
207,1 1,1,BOUNDARY,-100,-30.434782608695652
208,2 2,1,GOAL,100,-29.807692307692307
209,2 3,1,GOAL,100,-29.1866028708134
210,3 2,1,BOUNDARY,-100,-29.523809523809526
211,1 2,1,GOAL,100,-28.90995260663507
212,1 1,1,BOUNDARY,-100,-29.245283018867923
213,1 2,1,GOAL,100,-28.63849765258216
214,2 3,1,GOAL,100,-28.037383177570092
215,2 1,1,BOUNDARY,-100,-28.372093023255815
216,2 1,1,BOUNDARY,-100,-28.703703703703702
217,3 3,1,BOUNDARY,-100,-29.032258064516128
218,3 3,1,BOUNDARY,-100,-29.357798165137616
219,1 3,1,BOUNDARY,-100,-29.680365296803654
220,1 3,1,GOAL,100,-29.09090909090909
221,3 1,1,GOAL,100,-28.506787330316744
222,1 2,1,BOUNDARY,-100,-28.82882882882883
223,3 1,1,GOAL,100,-28.251121076233183
224,1 1,1,BOUNDARY,-100,-28.571428571428573
225,2 2,1,GOAL,100,-28.0
226,3 3,1,BOUNDARY,-100,-28.31858407079646
227,1 1,1,BOUNDARY,-100,-28.634361233480178
228,3 1,1,BOUNDARY,-100,-28.94736842105263
229,2 1,1,BOUNDARY,-100,-29.25764192139738
230,3 3,1,BOUNDARY,-100,-29.565217391304348
231,3 2,1,BOUNDARY,-100,-29.87012987012987
232,1 2,1,BOUNDARY,-100,-30.17241379310345
233,1 1,1,GOAL,100,-29.613733905579398
234,2 1,1,GOAL,100,-29.05982905982906
