ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],3.109735757789167e-07,0.7361886501312256,5.272576345305424e-06,0.2638057768344879
[0,1],2.797176934521417e-09,0.9997895359992981,3.931023820769042e-05,0.00017114554066210985
[0,2],3.26156790464438e-09,0.9996355772018433,0.00035521856625564396,9.177794709103182e-06
[0,3],1.0839725206324147e-07,0.993000864982605,0.006992385722696781,6.5998292484437115e-06
[0,4],1.1383478522475343e-05,0.7350473999977112,0.2649363577365875,4.819902642339002e-06
[1,0],8.26638461148832e-06,0.004548645578324795,3.007075974892359e-07,0.9954427480697632
[1,1],7.939213901408948e-06,0.8433123826980591,0.00012686858826782554,0.15655282139778137
[1,2],1.159246608040121e-06,0.9899349808692932,0.010000534355640411,6.325983122223988e-05
[1,3],2.343397864024155e-05,0.6458727121353149,0.35409727692604065,6.6503807829576544e-06
[1,4],8.942619024310261e-05,0.12956784665584564,0.8703416585922241,9.991446177082253e-07
[2,0],0.0005850941524840891,6.267815479077399e-05,3.5409067322689225e-07,0.9993519186973572
[2,1],0.012942153960466385,0.0012192967114970088,4.4003485527355224e-05,0.9857945442199707
[2,2],0.14590120315551758,0.31057727336883545,0.5114402770996094,0.03208126500248909
[2,3],0.0008240887545980513,0.03990906476974487,0.9592635035514832,3.330467507112189e-06
[2,4],0.00024746902636252344,0.026908257976174355,0.9728437662124634,4.22204720962327e-07
[3,0],0.08915354311466217,1.2207181498524733e-05,6.144405688246479e-06,0.910828173160553
[3,1],0.9089699983596802,2.4190421754610725e-06,4.0277100197272375e-05,0.09098723530769348
[3,2],0.996150016784668,2.660118525454891e-06,0.00037699571112170815,0.0034703274723142385
[3,3],0.43257197737693787,0.0008095409139059484,0.5665416121482849,7.687474135309458e-05
[3,4],0.0034070247784256935,0.0025161278899759054,0.994076132774353,6.943853350094287e-07
[4,0],0.9512535929679871,4.5612787857862713e-07,1.69564791576704e-05,0.04872896522283554
[4,1],0.9974178075790405,2.6874756642314424e-08,1.0401987310615368e-05,0.0025718810502439737
[4,2],0.9992635846138,1.5507565009897917e-08,1.4382911103894003e-05,0.0007220328552648425
[4,3],0.9993857145309448,1.9847112753268448e-07,0.0005164339090697467,9.752978075994179e-05
[4,4],0.5687742233276367,6.60011064610444e-05,0.43114975094795227,1.0019985893450212e-05
