Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,6 1,2,BOUNDARY,-100,-100.0
2,4 2,2,GOAL,96,-2.0
3,3 2,2,GOAL,100,32.0
4,4 6,2,BOUNDARY,-100,-1.0
5,5 1,2,GOAL,99,19.0
6,3 2,2,BOUNDARY,-102,-1.1666666666666667
7,1 4,2,BOUNDARY,-100,-15.285714285714286
8,1 5,2,BOUNDARY,-100,-25.875
9,4 4,2,BOUNDARY,-100,-34.111111111111114
10,4 5,2,BOUNDARY,-100,-40.7
11,5 1,2,BOUNDARY,-100,-46.09090909090909
12,2 3,2,BOUNDARY,-100,-50.583333333333336
13,1 2,2,GOAL,98,-39.15384615384615
14,6 2,2,GOAL,96,-29.5
15,4 2,2,BOUNDARY,-110,-34.86666666666667
16,2 6,2,BOUNDARY,-100,-38.9375
17,1 3,2,BOUNDARY,-100,-42.529411764705884
18,1 6,2,BOUNDARY,-100,-45.72222222222222
19,3 5,2,BOUNDARY,-102,-48.68421052631579
20,2 4,2,BOUNDARY,-100,-51.25
21,4 2,2,GOAL,99,-44.095238095238095
22,6 1,2,GOAL,100,-37.54545454545455
23,3 5,2,BOUNDARY,-100,-40.26086956521739
24,2 3,2,GOAL,100,-34.416666666666664
25,3 6,2,BOUNDARY,-101,-37.08
26,6 4,2,BOUNDARY,-105,-39.69230769230769
27,5 3,2,BOUNDARY,-100,-41.925925925925924
28,3 2,2,GOAL,97,-36.964285714285715
29,2 4,2,BOUNDARY,-100,-39.13793103448276
30,4 3,2,GOAL,100,-34.5
31,1 6,2,BOUNDARY,-103,-36.70967741935484
32,5 5,2,GOAL,93,-32.65625
33,3 2,2,GOAL,96,-28.757575757575758
34,6 4,2,BOUNDARY,-102,-30.91176470588235
35,5 2,2,GOAL,97,-27.257142857142856
36,4 4,2,GOAL,90,-24.0
37,1 3,2,GOAL,99,-20.675675675675677
38,2 2,2,BOUNDARY,-100,-22.763157894736842
39,4 6,2,GOAL,100,-19.615384615384617
40,6 3,2,BOUNDARY,-104,-21.725
41,2 1,2,BOUNDARY,-100,-23.634146341463413
42,6 1,2,BOUNDARY,-106,-25.595238095238095
43,6 5,2,GOAL,100,-22.674418604651162
44,4 3,2,BOUNDARY,-110,-24.65909090909091
45,2 1,2,BOUNDARY,-103,-26.4
46,3 5,2,GOAL,99,-23.67391304347826
