ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],1.1042966411627676e-23,1.0,4.973204660246671e-16,2.2339339267318792e-08
[0,1],3.9257173854562415e-24,1.0,1.174348077413517e-15,1.8118218036988765e-09
[0,2],3.3870024936106104e-20,1.0,5.600106316172582e-12,3.8588438542631887e-13
[0,3],2.548261450385786e-19,1.0,4.2258779808790337e-11,5.770732741487705e-13
[0,4],7.275324802644796e-17,1.0,2.0336980099955326e-08,5.613388226466398e-12
[0,5],1.7880374264533927e-11,0.9042943716049194,0.09570568054914474,2.236080764994597e-11
[0,6],1.236475227761602e-10,2.8962624583073193e-06,0.9999971389770508,1.7448894595306348e-15
[0,7],2.9275963875363686e-09,5.602448713282193e-11,1.0,4.610067391708604e-18
[1,0],2.8355232590637595e-16,0.030968086794018745,1.1053601290656308e-17,0.9690319299697876
[1,1],3.271600458401806e-20,0.9999333620071411,3.97488540292059e-14,6.661830411758274e-05
[1,2],2.004449894843388e-15,0.9999998807907104,3.658605418621619e-09,9.421567881418014e-08
[1,3],2.391900154503912e-13,0.9999995231628418,2.89262686692382e-07,1.7909671612414968e-07
[1,4],7.215515962499808e-10,0.9985368251800537,0.001462193438783288,9.130654916589265e-07
[1,5],2.0850376358794165e-07,1.8708790605614922e-07,0.9999996423721313,8.547302622619046e-12
[1,6],1.3186530622988357e-06,1.2999537969508868e-13,0.9999986886978149,5.463281512264656e-16
[1,7],3.5553471207094844e-06,3.33031882575178e-15,0.9999964237213135,6.879317709213199e-17
[2,0],9.255551249262605e-16,0.00018634974549058825,4.2602522970696225e-18,0.9998136162757874
[2,1],2.0067220607243976e-15,9.163832874037325e-05,2.1369329350774488e-17,0.9999083280563354
[2,2],8.661849042928063e-14,0.9999539852142334,1.2560495754598833e-08,4.596496728481725e-05
[2,3],1.1833718449594244e-09,0.9997780919075012,0.00021661435312125832,5.375550699682208e-06
[2,4],2.544020208006259e-05,2.8133645173511468e-05,0.9999464750289917,3.5058207004112774e-08
[2,5],7.091250608937116e-06,2.9333604772627253e-13,0.9999929666519165,4.813126656402159e-15
[2,6],4.762895059684524e-06,3.009526484561132e-15,0.999995231628418,8.463373214463677e-17
[2,7],4.737535164167639e-06,1.6391749831529698e-15,0.999995231628418,5.1715239252586684e-17
[3,0],2.3550641485244918e-15,1.844238067860715e-05,6.1826196270525525e-18,0.9999815225601196
[3,1],1.416134563943499e-14,6.076300905988319e-06,1.6776653845035118e-17,0.9999939203262329
[3,2],1.4700275663415141e-08,1.0543911230342928e-05,2.3898476513711797e-12,0.99998939037323
[3,3],0.005486111622303724,0.0011793029261752963,0.9932635426521301,7.108126010280102e-05
[3,4],0.0001480904611526057,2.5130778014137434e-10,0.9998519420623779,1.924000195274722e-11
[3,5],8.91908803168917e-06,1.2283507476690096e-14,0.9999910593032837,4.774474848953051e-16
[3,6],5.0750368245644495e-06,1.878505836465567e-15,0.9999948740005493,6.15740277792469e-17
[3,7],4.803859610547079e-06,1.5344911341138765e-15,0.999995231628418,4.9678313611619754e-17
[4,0],1.1214874786214662e-13,1.4929744338587625e-06,4.582150790497491e-17,0.9999984502792358
[4,1],2.3704904705823537e-10,1.2379075542412465e-08,2.812658451685577e-15,1.0
[4,2],4.425549832376419e-06,1.1824333734367087e-09,5.248482204400773e-12,0.9999955892562866
[4,3],0.9999704360961914,1.6707463537657397e-11,1.7344849538858398e-06,2.7822990887216292e-05
[4,4],0.0009583684732206166,6.0893516791449276e-12,0.9990416169166565,4.832810367172424e-12
[4,5],7.3759961196628865e-06,4.772918849428945e-15,0.9999926090240479,1.8783785432954623e-16
[4,6],4.976810942025622e-06,1.681121960525134e-15,0.9999949932098389,5.53476837986051e-17
[4,7],4.797615019924706e-06,1.5157289308157201e-15,0.999995231628418,4.9136268773658655e-17
[5,0],3.643369161920873e-09,2.0708277315151236e-09,1.0358610704494595e-14,1.0
[5,1],1.481108711232082e-07,2.3428553541648967e-10,1.2607485042927247e-13,0.9999998807907104
[5,2],3.5863246012013406e-05,4.872555831036962e-11,2.6795825974756937e-11,0.9999641180038452
[5,3],0.999993085861206,5.653241546763055e-13,1.0010950290961773e-06,5.970920028630644e-06
[5,4],0.9999270439147949,8.085710340040547e-16,7.297831325558946e-05,5.099424216226112e-10
[5,5],0.00010457099415361881,4.897442010037747e-15,0.999895453453064,1.727209658459951e-15
[5,6],5.004195827496005e-06,1.6068202303919869e-15,0.9999949932098389,5.351808932381336e-17
[5,7],4.791423634742387e-06,1.5085299977970058e-15,0.999995231628418,4.888835281790916e-17
[6,0],1.1541015254579179e-07,2.484840111449671e-10,8.135984561844639e-14,0.9999998807907104
[6,1],2.7806108846561983e-06,4.98998377340687e-11,1.8661281287607467e-12,0.9999972581863403
[6,2],0.00017015753837767988,1.1935555842279566e-11,1.4001674819574816e-10,0.9998297691345215
[6,3],0.9999830722808838,4.369875772000653e-13,2.009930312851793e-06,1.4957411622162908e-05
[6,4],0.9999374151229858,1.3614180566717078e-16,6.254333129618317e-05,1.236462598974697e-10
[6,5],0.9995715022087097,3.2465436144387446e-17,0.0004284893802832812,9.228178117492991e-12
[6,6],0.00011948413157369941,2.7469443650881675e-15,0.9998805522918701,1.1685106439783956e-15
[6,7],4.906470621790504e-06,1.5113003249301194e-15,0.9999951124191284,4.993575537930341e-17
[7,0],8.131562481139554e-07,8.998251449510164e-11,5.219776434001178e-13,0.9999991655349731
[7,1],3.980704423156567e-05,1.3194668448124336e-11,2.742833737912065e-11,0.99996018409729
[7,2],0.00037459362647496164,7.771012999757687e-12,3.595907738240811e-10,0.9996254444122314
[7,3],0.9995980858802795,1.481542319381468e-12,5.293019057717174e-06,0.0003966315125580877
[7,4],0.9998990297317505,6.308132952633082e-17,0.00010095043398905545,4.692974134301586e-11
[7,5],0.9997730851173401,1.6519020171449352e-17,0.0002268724056193605,7.979420943438065e-12
[7,6],0.9995473027229309,2.366716926363657e-17,0.0004526771081145853,6.749178473042239e-12
[7,7],0.0001784509076969698,2.8501286481732654e-15,0.9998216032981873,1.6798625284116853e-15
