Episode,Terminal State,Reward,Running Average
1,5 2,BOUNDARY,-2000,-2000.0
2,3 4,BOUNDARY,-2003,-2001.5
3,4 4,BOUNDARY,-2004,-2002.3333333333333
4,5 2,BOUNDARY,-2002,-2002.25
5,4 2,BOUNDARY,-2001,-2002.0
6,5 5,BOUNDARY,-2000,-2001.6666666666667
7,1 2,GOAL,1000000,141141.42857142858
8,1 1,BOUNDARY,-2002,123248.5
9,3 2,GOAL,1000000,220665.33333333334
10,5 1,BOUNDARY,-2002,198398.6
11,2 5,GOAL,999998,271271.2727272727
12,1 1,BOUNDARY,-2000,248498.66666666666
13,4 1,BOUNDARY,-2002,229229.38461538462
14,3 2,BOUNDARY,-2005,212712.64285714287
15,4 1,BOUNDARY,-2001,198398.4
16,5 1,BOUNDARY,-2000,185873.5
17,5 1,BOUNDARY,-2000,174822.11764705883
18,3 3,GOAL,999999,220665.27777777778
19,4 4,BOUNDARY,-2001,208946.0
20,3 2,GOAL,999994,248498.4
21,2 1,BOUNDARY,-2001,236569.85714285713
22,3 4,BOUNDARY,-2004,225725.5909090909
23,5 4,BOUNDARY,-2007,215824.1739130435
24,2 3,BOUNDARY,-2011,206747.70833333334
25,3 2,GOAL,999996,238477.64
26,4 1,GOAL,999996,267766.8076923077
27,1 2,BOUNDARY,-2000,257775.44444444444
28,3 2,GOAL,1000000,284283.46428571426
29,2 4,BOUNDARY,-2012,274411.2068965517
30,5 2,BOUNDARY,-2005,265197.3333333333
31,5 4,BOUNDARY,-2004,256577.93548387097
32,4 3,BOUNDARY,-2015,248496.90625
33,1 2,BOUNDARY,-2000,240906.0909090909
34,2 2,GOAL,1000000,263232.3823529412
35,5 5,BOUNDARY,-2006,255654.14285714287
36,5 2,BOUNDARY,-2017,248496.61111111112
37,1 2,BOUNDARY,-2000,241726.43243243243
38,4 3,BOUNDARY,-2010,235312.31578947368
39,4 5,BOUNDARY,-2005,229227.2564102564
40,2 5,BOUNDARY,-2014,223446.225
41,3 4,BOUNDARY,-2015,217947.17073170733
42,5 4,BOUNDARY,-2008,212710.14285714287
43,5 1,BOUNDARY,-2003,207716.81395348837
44,1 5,STEPS,-1019,202972.81818181818
45,1 2,STEPS,-1019,198439.66666666666
46,1 2,BOUNDARY,-2000,194082.28260869565
47,4 1,BOUNDARY,-2004,189910.2340425532
48,5 5,BOUNDARY,-2017,185911.75
49,1 2,BOUNDARY,-2000,182076.81632653062
50,3 2,STEPS,-1019,178414.9
51,4 1,GOAL,999996,194524.33333333334
52,4 2,STEPS,-1019,190763.88461538462
53,4 4,STEPS,-1019,187145.3396226415
54,1 1,BOUNDARY,-2000,183642.64814814815
55,4 2,GOAL,999999,198485.4909090909
56,4 5,BOUNDARY,-2001,194905.375
57,5 2,STEPS,-1019,191468.1052631579
58,3 1,GOAL,999999,205408.2931034483
59,2 4,BOUNDARY,-2010,201892.7288135593
60,2 1,BOUNDARY,-2001,198494.5
61,2 1,GOAL,999996,211633.868852459
62,4 4,BOUNDARY,-2001,208188.14516129033
63,5 1,GOAL,999989,220756.4126984127
64,2 1,BOUNDARY,-2001,217275.828125
65,4 3,STEPS,-1019,213917.44615384616
66,1 5,BOUNDARY,-2004,210645.9090909091
67,3 2,BOUNDARY,-2010,207471.94029850746
68,2 3,BOUNDARY,-2017,204391.2205882353
69,4 1,BOUNDARY,-2007,201399.9420289855
70,2 1,BOUNDARY,-2001,198494.2142857143
71,5 4,BOUNDARY,-2000,195670.35211267605
72,3 2,GOAL,1000000,206841.59722222222
73,5 4,BOUNDARY,-2002,203980.72602739726
74,3 5,BOUNDARY,-2004,201197.14864864864
75,2 3,STEPS,-1019,198500.93333333332
76,5 4,BOUNDARY,-2015,195862.56578947368
77,3 2,GOAL,1000000,206305.9090909091
78,4 1,BOUNDARY,-2003,203635.28205128206
79,3 4,BOUNDARY,-2004,201032.25316455695
80,3 4,STEPS,-1019,198506.6125
81,5 5,STEPS,-1019,196043.33333333334
82,5 3,BOUNDARY,-2012,193628.0243902439
83,1 2,GOAL,1000000,203343.34939759035
84,4 3,STEPS,-1019,200910.4642857143
85,1 3,STEPS,-1019,198534.82352941178
86,3 4,STEPS,-1019,196214.43023255814
87,5 3,BOUNDARY,-2007,193936.02298850575
88,5 2,GOAL,999998,203095.81818181818
89,5 4,STEPS,-1019,200802.39325842698
90,3 3,STEPS,-1019,198559.93333333332
91,2 4,STEPS,-1019,196366.75824175825
92,4 1,BOUNDARY,-2005,194210.54347826086
93,3 1,BOUNDARY,-2002,192100.7311827957
94,2 2,GOAL,1000000,200695.40425531915
95,4 1,GOAL,999994,209109.07368421054
96,2 2,GOAL,1000000,217347.52083333334
97,1 3,STEPS,-1019,215096.31958762885
98,3 5,BOUNDARY,-2012,212880.92857142858
99,4 1,BOUNDARY,-2003,210710.38383838383
100,4 5,STEPS,-1019,208593.09
101,1 5,BOUNDARY,-2015,206507.86138613863
102,1 2,BOUNDARY,-2000,204463.66666666666
103,4 4,STEPS,-1019,202468.68932038834
104,1 3,STEPS,-1019,200512.07692307694
105,4 4,STEPS,-1019,198592.73333333334
106,2 4,STEPS,-1019,196709.6037735849
107,5 2,BOUNDARY,-2011,194852.40186915887
108,2 2,GOAL,1000000,202307.47222222222
109,5 3,STEPS,-1019,200442.09174311926
110,4 4,STEPS,-1019,198610.62727272726
111,2 1,BOUNDARY,-2001,196803.31531531533
112,3 5,BOUNDARY,-2004,195028.25
113,5 2,GOAL,999998,202151.8761061947
114,4 3,STEPS,-1019,200369.6754385965
115,3 5,BOUNDARY,-2007,198609.87826086956
116,1 3,STEPS,-1019,196888.9396551724
117,3 5,BOUNDARY,-2013,195188.92307692306
118,3 5,BOUNDARY,-2001,193517.8220338983
119,2 4,STEPS,-1019,191883.0588235294
120,4 5,STEPS,-1019,190275.54166666666
121,5 1,BOUNDARY,-2012,188686.38842975206
122,5 3,STEPS,-1019,187131.4262295082
123,1 5,STEPS,-1019,185601.74796747966
124,5 2,GOAL,999998,192169.45967741936
125,3 4,BOUNDARY,-2002,190616.088
126,2 3,STEPS,-1019,189095.17460317462
127,3 1,BOUNDARY,-2008,187590.42519685038
128,4 1,BOUNDARY,-2005,186109.2109375
129,2 3,STEPS,-1019,184658.60465116278
130,2 4,STEPS,-1019,183230.3153846154
131,1 1,BOUNDARY,-2010,181816.26717557252
132,5 2,GOAL,999998,188014.61363636365
133,5 1,GOAL,999985,194119.65413533835
134,5 3,STEPS,-1019,192663.39552238805
135,2 5,BOUNDARY,-2003,191221.42222222223
136,1 3,STEPS,-1019,189807.88970588235
137,3 1,BOUNDARY,-2006,188407.78832116787
138,3 1,STEPS,-1019,187035.13043478262
139,5 2,GOAL,999996,192883.76978417265
140,4 1,STEPS,-1019,191498.75
141,2 1,BOUNDARY,-2007,190126.36879432623
142,2 3,STEPS,-1019,188780.27464788733
143,3 4,STEPS,-1019,187453.006993007
144,1 3,STEPS,-1019,186144.17361111112
145,2 5,BOUNDARY,-2003,184846.60689655173
146,3 1,STEPS,-1019,183573.55479452055
147,3 2,GOAL,999998,189127.46258503402
148,2 4,BOUNDARY,-2017,187835.94594594595
149,5 1,STEPS,-1019,186568.46308724832
150,3 2,GOAL,999998,191991.32666666666
151,2 3,STEPS,-1019,190713.11258278147
152,2 4,STEPS,-1019,189451.71710526315
153,5 3,GOAL,999983,194749.30718954248
154,4 4,STEPS,-1019,193478.08441558442
155,2 2,GOAL,1000000,198681.4516129032
156,5 2,GOAL,999998,203818.09615384616
157,1 5,STEPS,-1019,202513.40127388536
158,1 3,GOAL,999997,207560.7658227848
159,2 1,BOUNDARY,-2001,206242.76729559747
160,3 2,GOAL,1000000,211203.75
161,5 3,STEPS,-1019,209885.5962732919
162,4 2,GOAL,999999,214762.83950617284
163,5 1,BOUNDARY,-2006,213432.96932515336
164,1 1,BOUNDARY,-2002,212119.34146341463
165,1 2,BOUNDARY,-2000,210821.6484848485
166,1 2,GOAL,1000000,215575.73493975904
167,2 5,STEPS,-1019,214278.76047904193
168,5 5,STEPS,-1019,212997.22619047618
169,2 2,GOAL,1000000,217654.0473372781
170,2 5,STEPS,-1019,216367.73529411765
171,3 2,GOAL,1000000,220950.38011695907
172,1 2,GOAL,1000000,225479.73837209304
173,4 1,BOUNDARY,-2003,224164.80924855493
174,3 4,STEPS,-1019,222870.64942528735
175,5 3,STEPS,-1019,221591.28
176,4 5,STEPS,-1019,220326.44886363635
177,4 4,STEPS,-1019,219075.90960451978
178,2 5,BOUNDARY,-2001,217833.90449438203
179,5 1,BOUNDARY,-2003,216605.76536312848
180,1 1,BOUNDARY,-2000,215391.2888888889
181,3 1,GOAL,999999,219726.13812154697
182,1 3,STEPS,-1019,218513.25274725276
183,3 5,STEPS,-1019,217313.62295081967
184,5 3,BOUNDARY,-2010,216121.64673913043
185,5 1,BOUNDARY,-2004,214942.5891891892
186,4 4,STEPS,-1019,213781.50537634408
187,3 4,STEPS,-1019,212632.83957219252
188,5 1,BOUNDARY,-2014,211491.1010638298
189,1 3,BOUNDARY,-2002,210361.50793650793
190,4 2,GOAL,999999,214517.4947368421
191,1 1,BOUNDARY,-2010,213383.84293193716
192,1 4,STEPS,-1019,212267.16145833334
193,2 1,GOAL,999994,216348.6476683938
194,5 5,STEPS,-1019,215228.19587628866
195,5 4,BOUNDARY,-2007,214114.16923076924
196,1 1,STEPS,-1019,213016.55102040817
197,4 2,GOAL,999997,217011.37563451775
198,2 5,STEPS,-1019,215910.21212121213
199,5 2,GOAL,999998,219850.35175879396
200,2 5,STEPS,-1019,218746.005
201,4 2,GOAL,999999,222632.83582089553
202,5 3,STEPS,-1019,221525.6485148515
203,4 3,STEPS,-1019,220429.3694581281
204,1 3,STEPS,-1019,219343.83823529413
205,3 3,STEPS,-1019,218268.8975609756
206,5 4,STEPS,-1019,217204.3932038835
207,1 2,GOAL,1000000,220986.01449275363
208,5 5,BOUNDARY,-2004,219913.94711538462
209,1 5,BOUNDARY,-2010,218852.1100478469
210,3 3,STEPS,-1019,217805.10476190477
211,2 5,STEPS,-1019,216768.02369668247
212,5 5,STEPS,-1019,215740.72641509434
213,2 3,STEPS,-1019,214723.0751173709
214,5 1,STEPS,-1019,213714.93457943926
215,4 5,STEPS,-1019,212716.17209302326
216,5 1,GOAL,999989,216360.9537037037
217,5 2,GOAL,999998,219972.18433179724
218,3 3,STEPS,-1019,218958.4633027523
219,1 4,STEPS,-1019,217954.0
220,5 3,STEPS,-1019,216958.66818181818
221,4 5,STEPS,-1019,215972.3438914027
222,4 3,GOAL,999998,219503.99099099098
223,4 2,GOAL,999997,223003.9596412556
224,4 2,GOAL,999999,226472.6875
225,2 4,STEPS,-1019,225461.61333333334
226,5 1,STEPS,-1019,224459.4867256637
227,4 4,STEPS,-1019,223466.18942731278
228,5 5,STEPS,-1019,222481.6052631579
229,3 5,STEPS,-1019,221505.62008733625
230,1 2,GOAL,1000000,224890.37826086956
231,4 1,GOAL,999998,228245.8225108225
232,4 2,GOAL,999999,231572.3448275862
233,5 1,STEPS,-1019,230574.09871244634
