ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],1.7659143612577207e-22,1.0,5.096597033293904e-10,4.840451373055998e-10
[0,1],1.07988545089123e-22,1.0,5.696704774571515e-10,2.1594637189537025e-10
[0,2],4.1458187287994044e-22,1.0,2.4221098460230905e-09,1.509070507443866e-10
[0,3],3.459349302782806e-14,0.044377490878105164,0.9556224942207336,1.9482552303753432e-14
[0,4],2.5204493643549673e-14,0.0001809904642868787,0.9998189806938171,1.940855726572164e-17
[0,5],2.5529295203437913e-14,0.00016728976333979517,0.9998326301574707,1.7701350780002022e-17
[0,6],2.5991543105611213e-14,0.00016715042875148356,0.9998328685760498,1.782019016424629e-17
[1,0],1.734941912356902e-10,0.0012948260409757495,1.3405646037689678e-10,0.9987051486968994
[1,1],2.9518302050472785e-20,1.0,1.6026460158968803e-09,1.7510684457988646e-08
[1,2],1.484599444300165e-17,0.9998823404312134,0.00011762070062104613,1.2009625932618562e-11
[1,3],3.209791034851882e-14,0.00028703981661237776,0.9997128844261169,3.6807538790249803e-17
[1,4],3.086372574612889e-14,0.00017462742107454687,0.9998254179954529,1.9679010584440753e-17
[1,5],3.101271884155092e-14,0.0001729563664412126,0.9998270869255066,1.9543187527859546e-17
[1,6],3.124680825498591e-14,0.00017176009714603424,0.9998282194137573,1.953858840365375e-17
[2,0],0.00039190315874293447,7.998269269116065e-10,4.1056552515208913e-16,0.9996080994606018
[2,1],0.004278937820345163,4.531592523449035e-08,3.9790043547364984e-13,0.9957210421562195
[2,2],0.03499394282698631,4.3987460230709985e-05,0.9649618268013,2.1028924379606906e-07
[2,3],4.75773934138779e-13,0.0001305113109992817,0.9998694658279419,1.0511003896046024e-16
[2,4],3.7628364643995174e-14,0.00017150971689261496,0.9998284578323364,2.1362893885608826e-17
[2,5],3.264896626707994e-14,0.00017166940961033106,0.9998283386230469,1.9899647777949472e-17
[2,6],3.269835167603666e-14,0.00016887432138901204,0.9998310804367065,1.975011502989581e-17
[3,0],0.0004553924663923681,3.389185598834388e-10,2.709362730828356e-16,0.9995445609092712
[3,1],0.9999996423721313,1.189901719907474e-13,4.3042852268526666e-12,4.057259843648353e-07
[3,2],1.0,2.619952315196356e-18,1.1999772703275013e-11,3.937437669746663e-13
[3,3],1.0,9.245167419422656e-17,3.7082670267807316e-10,1.477523073507847e-12
[3,4],0.002569233998656273,1.267499101231806e-05,0.9974180459976196,4.3919683861970427e-11
[3,5],5.46957769874401e-13,0.00014802267833147198,0.9998519420623779,6.571809676901916e-17
[3,6],4.189381927846049e-14,0.00015977807925082743,0.9998401403427124,2.116796711989948e-17
[4,0],0.09308625757694244,3.6442701634165076e-10,5.348056592306867e-14,0.906913697719574
[4,1],1.0,5.987849612069285e-18,8.700008595485809e-12,1.3917928224846388e-12
[4,2],1.0,1.622526248653763e-18,9.537209563759141e-12,2.6462453105516315e-13
[4,3],1.0,1.5740107615590325e-18,9.569132812525805e-12,2.571284656548156e-13
[4,4],1.0,1.9615351591679285e-18,1.1926823244301499e-11,2.788772359742231e-13
[4,5],1.0,3.4055099934191034e-16,1.0318685905730263e-09,1.0658125857571088e-12
[4,6],0.0003945407224819064,4.0783554140944034e-05,0.9995647072792053,8.237512776933242e-13
[5,0],1.0,2.988591906451064e-16,1.1257997572372558e-12,4.1636070591266616e-08
[5,1],1.0,1.7320791863536282e-18,9.371868732455102e-12,2.953062870191675e-13
[5,2],1.0,1.5133419233143667e-18,9.341743524571289e-12,2.5220757014950135e-13
[5,3],1.0,1.4150090702383238e-18,9.107623509529983e-12,2.431431792015992e-13
[5,4],1.0,1.268033447650794e-18,8.735042203444898e-12,2.293438876310727e-13
[5,5],1.0,1.0756569831675254e-18,8.277178421833842e-12,2.0954574609776538e-13
[5,6],1.0,1.2150027951824427e-18,1.0573797046276034e-11,1.9921069730876456e-13
[6,0],1.0,4.779320849348565e-19,9.852118036321467e-13,7.008506275330006e-11
[6,1],1.0,1.4649359342532229e-18,9.14864278084293e-12,2.542501528323554e-13
[6,2],1.0,1.3402710271474732e-18,8.918222063614145e-12,2.362380310903106e-13
[6,3],1.0,1.1571589855247986e-18,8.427239808761477e-12,2.184494718362323e-13
[6,4],1.0,9.081571484261766e-19,7.675460961253933e-12,1.9200778662332996e-13
[6,5],1.0,6.132440472950825e-19,6.597379760553412e-12,1.5577702973043617e-13
[6,6],1.0,3.309541359018538e-19,5.204930236812899e-12,1.1213972187906068e-13
