Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,3 2,1,BOUNDARY,-104,-104.0
2,6 1,1,BOUNDARY,-100,-102.0
3,5 5,1,BOUNDARY,-101,-101.66666666666667
4,5 4,1,BOUNDARY,-101,-101.5
5,6 4,1,BOUNDARY,-101,-101.4
6,4 3,1,BOUNDARY,-106,-102.16666666666667
7,2 4,1,BOUNDARY,-100,-101.85714285714286
8,4 1,1,BOUNDARY,-100,-101.625
9,5 4,1,GOAL,98,-79.44444444444444
10,2 4,1,GOAL,95,-62.0
11,6 2,1,BOUNDARY,-106,-66.0
12,4 4,1,GOAL,100,-52.166666666666664
13,1 2,1,BOUNDARY,-100,-55.84615384615385
14,5 4,1,GOAL,100,-44.714285714285715
15,4 6,1,BOUNDARY,-100,-48.4
16,5 5,1,BOUNDARY,-100,-51.625
17,4 5,1,BOUNDARY,-100,-54.470588235294116
18,4 1,1,GOAL,99,-45.94444444444444
19,2 4,1,BOUNDARY,-100,-48.78947368421053
20,6 2,1,BOUNDARY,-100,-51.35
21,6 4,1,BOUNDARY,-100,-53.666666666666664
22,1 3,1,BOUNDARY,-103,-55.90909090909091
23,3 6,1,BOUNDARY,-101,-57.869565217391305
24,6 3,1,BOUNDARY,-102,-59.708333333333336
25,1 3,1,BOUNDARY,-100,-61.32
26,5 6,1,BOUNDARY,-100,-62.80769230769231
27,2 5,1,BOUNDARY,-100,-64.18518518518519
28,6 4,1,BOUNDARY,-100,-65.46428571428571
29,2 1,1,GOAL,85,-60.275862068965516
30,6 5,1,BOUNDARY,-100,-61.6
31,6 3,1,BOUNDARY,-100,-62.83870967741935
32,6 4,1,BOUNDARY,-100,-64.0
33,2 1,1,BOUNDARY,-103,-65.18181818181819
34,5 3,1,BOUNDARY,-100,-66.20588235294117
35,5 3,1,BOUNDARY,-101,-67.2
36,1 4,1,BOUNDARY,-100,-68.11111111111111
37,3 1,1,BOUNDARY,-102,-69.02702702702703
38,5 4,1,BOUNDARY,-102,-69.89473684210526
39,5 1,1,BOUNDARY,-100,-70.66666666666667
40,3 1,1,GOAL,100,-66.4
41,3 4,1,GOAL,100,-62.34146341463415
42,1 2,1,GOAL,100,-58.476190476190474
43,4 3,1,GOAL,100,-54.7906976744186
44,3 1,1,GOAL,100,-51.27272727272727
45,2 5,1,BOUNDARY,-100,-52.355555555555554
46,3 6,1,BOUNDARY,-103,-53.45652173913044
47,2 6,1,BOUNDARY,-103,-54.51063829787234
48,5 1,1,GOAL,100,-51.291666666666664
49,2 6,1,BOUNDARY,-100,-52.285714285714285
50,6 3,1,BOUNDARY,-100,-53.24
51,5 4,1,BOUNDARY,-101,-54.1764705882353
52,1 2,1,GOAL,100,-51.21153846153846
53,3 2,1,BOUNDARY,-101,-52.15094339622642
54,3 1,1,GOAL,100,-49.333333333333336
55,2 3,1,GOAL,100,-46.61818181818182
56,5 4,1,BOUNDARY,-101,-47.589285714285715
57,4 1,1,GOAL,94,-45.10526315789474
58,6 2,1,BOUNDARY,-100,-46.05172413793103
59,1 6,1,BOUNDARY,-101,-46.983050847457626
60,5 4,1,BOUNDARY,-100,-47.86666666666667
61,5 5,1,BOUNDARY,-102,-48.75409836065574
62,6 1,1,BOUNDARY,-100,-49.58064516129032
63,6 5,1,BOUNDARY,-100,-50.38095238095238
64,1 1,1,BOUNDARY,-100,-51.15625
65,3 5,1,GOAL,98,-48.86153846153846
66,1 5,1,GOAL,100,-46.60606060606061
67,2 4,1,GOAL,98,-44.44776119402985
68,6 1,1,BOUNDARY,-100,-45.26470588235294
69,5 3,1,GOAL,100,-43.15942028985507
70,6 1,1,BOUNDARY,-101,-43.98571428571429
71,2 1,1,BOUNDARY,-104,-44.83098591549296
72,6 5,1,BOUNDARY,-100,-45.59722222222222
73,6 1,1,BOUNDARY,-100,-46.342465753424655
74,2 3,1,GOAL,100,-44.36486486486486
75,6 4,1,BOUNDARY,-100,-45.10666666666667
76,1 6,1,BOUNDARY,-104,-45.88157894736842
77,3 6,1,BOUNDARY,-100,-46.58441558441559
78,4 4,1,GOAL,100,-44.705128205128204
79,4 4,1,GOAL,100,-42.87341772151899
80,4 2,1,GOAL,100,-41.0875
81,1 2,1,GOAL,99,-39.358024691358025
82,2 5,1,BOUNDARY,-100,-40.09756097560975
83,1 6,1,GOAL,100,-38.40963855421687
84,5 5,1,BOUNDARY,-100,-39.142857142857146
85,1 3,1,BOUNDARY,-100,-39.858823529411765
86,2 4,1,GOAL,99,-38.24418604651163
87,2 4,1,GOAL,100,-36.6551724137931
88,3 3,1,GOAL,97,-35.13636363636363
89,4 3,1,GOAL,100,-33.61797752808989
90,4 3,1,GOAL,100,-32.13333333333333
91,6 4,1,BOUNDARY,-100,-32.879120879120876
92,6 2,1,BOUNDARY,-100,-33.608695652173914
93,6 1,1,BOUNDARY,-100,-34.32258064516129
94,1 5,1,GOAL,100,-32.8936170212766
95,5 2,1,BOUNDARY,-103,-33.63157894736842
96,1 5,1,GOAL,100,-32.239583333333336
97,3 2,1,GOAL,100,-30.876288659793815
98,5 1,1,BOUNDARY,-103,-31.612244897959183
99,2 5,1,BOUNDARY,-100,-32.303030303030305
100,3 4,1,GOAL,100,-30.98
101,3 1,1,GOAL,100,-29.683168316831683
102,3 4,1,GOAL,100,-28.41176470588235
103,2 4,1,GOAL,100,-27.16504854368932
104,4 4,1,GOAL,100,-25.942307692307693
105,6 2,1,BOUNDARY,-104,-26.685714285714287
106,6 2,1,BOUNDARY,-100,-27.37735849056604
107,3 4,1,GOAL,99,-26.19626168224299
108,5 5,1,BOUNDARY,-100,-26.87962962962963
109,3 6,1,BOUNDARY,-100,-27.55045871559633
110,5 6,1,BOUNDARY,-100,-28.20909090909091
111,4 3,1,GOAL,100,-27.054054054054053
112,3 6,1,BOUNDARY,-100,-27.705357142857142
113,2 2,1,BOUNDARY,-100,-28.345132743362832
114,5 3,1,GOAL,100,-27.219298245614034
115,4 5,1,BOUNDARY,-102,-27.869565217391305
116,6 4,1,BOUNDARY,-100,-28.49137931034483
117,4 4,1,GOAL,100,-27.39316239316239
118,4 1,1,GOAL,100,-26.3135593220339
119,2 6,1,BOUNDARY,-100,-26.932773109243698
120,2 3,1,GOAL,98,-25.891666666666666
121,5 1,1,BOUNDARY,-100,-26.50413223140496
122,3 4,1,GOAL,100,-25.4672131147541
123,2 5,1,GOAL,100,-24.447154471544714
124,2 6,1,BOUNDARY,-107,-25.112903225806452
125,4 6,1,BOUNDARY,-102,-25.728
126,5 6,1,BOUNDARY,-102,-26.333333333333332
127,4 6,1,BOUNDARY,-100,-26.913385826771652
128,3 6,1,BOUNDARY,-102,-27.5
129,1 5,1,BOUNDARY,-106,-28.108527131782946
130,3 4,1,GOAL,100,-27.123076923076923
131,6 3,1,BOUNDARY,-103,-27.702290076335878
132,2 2,1,GOAL,100,-26.734848484848484
133,6 2,1,BOUNDARY,-105,-27.32330827067669
134,1 6,1,BOUNDARY,-100,-27.865671641791046
135,5 1,1,BOUNDARY,-102,-28.414814814814815
136,3 5,1,GOAL,100,-27.470588235294116
137,3 5,1,GOAL,100,-26.54014598540146
138,6 3,1,BOUNDARY,-102,-27.08695652173913
139,6 4,1,BOUNDARY,-101,-27.618705035971225
140,2 6,1,BOUNDARY,-102,-28.15
141,2 6,1,GOAL,99,-27.24822695035461
142,6 4,1,BOUNDARY,-102,-27.774647887323944
143,4 3,1,GOAL,100,-26.88111888111888
144,5 3,1,BOUNDARY,-113,-27.479166666666668
145,3 2,1,GOAL,99,-26.606896551724137
146,2 1,1,BOUNDARY,-100,-27.10958904109589
147,2 1,1,GOAL,98,-26.258503401360546
148,6 6,1,BOUNDARY,-100,-26.756756756756758
149,2 2,1,GOAL,100,-25.906040268456376
150,4 1,1,GOAL,100,-25.066666666666666
151,4 6,1,GOAL,98,-24.251655629139073
152,4 1,1,GOAL,100,-23.43421052631579
153,6 5,1,BOUNDARY,-105,-23.96732026143791
154,5 3,1,GOAL,93,-23.207792207792206
155,3 3,1,GOAL,88,-22.490322580645163
156,1 5,1,BOUNDARY,-101,-22.993589743589745
157,1 4,1,GOAL,100,-22.21019108280255
158,3 6,1,BOUNDARY,-100,-22.70253164556962
159,3 1,1,GOAL,88,-22.0062893081761
