ROW,COL,UP,DOWN,LEFT,RIGHT
[0,0],0.0004997474607080221,0.6750163435935974,0.00031330788624472916,0.3241705596446991
[0,1],9.327772568212822e-05,0.9703845977783203,0.0005381986848078668,0.02898396924138069
[0,2],0.0001013583387248218,0.9887517094612122,0.006970540154725313,0.004176402930170298
[0,3],0.000123004472698085,0.973563551902771,0.02453266642987728,0.001780829974450171
[0,4],0.0001524849358247593,0.9592795372009277,0.03919682279229164,0.0013712106738239527
[0,5],0.0001986602583201602,0.939844012260437,0.05885714292526245,0.0011002500541508198
[0,6],0.00026510562747716904,0.9091964960098267,0.08967552334070206,0.0008628637879155576
[0,7],0.0003449182549957186,0.8670174479484558,0.131964311003685,0.0006733736954629421
[1,0],0.004428517539054155,0.00973444152623415,0.00016084191156551242,0.9856761693954468
[1,1],0.0011889563174918294,0.6298468708992004,0.0009286910644732416,0.3680354356765747
[1,2],0.0001220990961883217,0.9879064559936523,0.002727036364376545,0.0092444634065032
[1,3],8.878634980646893e-05,0.9816485643386841,0.016858356073498726,0.0014043072005733848
[1,4],9.994228457799181e-05,0.9655049443244934,0.03354816883802414,0.0008470056927762926
[1,5],0.000126575498143211,0.9467599987983704,0.05245928838849068,0.0006540429312735796
[1,6],0.00016351428348571062,0.9213175177574158,0.07799677550792694,0.0005221074679866433
[1,7],0.00020309750107116997,0.8916987776756287,0.10766831785440445,0.00042980408761650324
[2,0],0.023028789088129997,0.0018911068327724934,0.00020390878489706665,0.9748762249946594
[2,1],0.016115637496113777,0.006565245799720287,0.000497685163281858,0.9768213629722595
[2,2],0.010881535708904266,0.6239891648292542,0.012820216827094555,0.35230910778045654
[2,3],0.0004818870802409947,0.9638321399688721,0.032758742570877075,0.002927210181951523
[2,4],0.0002159157593268901,0.9365096092224121,0.06257927417755127,0.0006951584364287555
[2,5],0.0001901061914395541,0.9159271121025085,0.08339957147836685,0.0004832316772080958
[2,6],0.00019811236415989697,0.8944804668426514,0.10492417216300964,0.0003971877449657768
[2,7],0.0002141902077710256,0.8732470870018005,0.12619325518608093,0.000345391861628741
[3,0],0.048115313053131104,0.0016888972604647279,0.0003192387812305242,0.949876606464386
[3,1],0.05537528917193413,0.0017287577502429485,0.0005515773082152009,0.9423443675041199
[3,2],0.1065298318862915,0.006588784046471119,0.004335642326623201,0.8825457692146301
[3,3],0.10835884511470795,0.4465862512588501,0.2965034544467926,0.14855141937732697
[3,4],0.0023458697833120823,0.7456343173980713,0.2508261501789093,0.001193676027469337
[3,5],0.0006303568370640278,0.7989318370819092,0.20004229247570038,0.00039539599674753845
[3,6],0.00038370327092707157,0.8197439312934875,0.17955411970615387,0.00031816595583222806
[3,7],0.0003022351593244821,0.8285407423973083,0.17086192965507507,0.00029514156631194055
[4,0],0.07842186838388443,0.0018969376105815172,0.0005234139389358461,0.9191578030586243
[4,1],0.10288096219301224,0.0016620985697954893,0.000863660650793463,0.8945932388305664
[4,2],0.19241707026958466,0.0019950950518250465,0.0028738549444824457,0.8027140498161316
[4,3],0.5428727269172668,0.006203408353030682,0.05469714105129242,0.3962267339229584
[4,4],0.1441342532634735,0.05832777917385101,0.7843194603919983,0.01321849413216114
[4,5],0.006388618145138025,0.3632383346557617,0.6298491954803467,0.0005238971207290888
[4,6],0.0014655196573585272,0.5974785685539246,0.4008021354675293,0.00025380877195857465
[4,7],0.0007051326101645827,0.7030755281448364,0.2959810197353363,0.00023834621242713183
[5,0],0.1301364004611969,0.002209847792983055,0.0009429348865523934,0.8667108416557312
[5,1],0.16980625689029694,0.0018614411819726229,0.001471104915253818,0.8268612027168274
[5,2],0.2562863528728485,0.0017587386537343264,0.0030747249256819487,0.7388800978660583
[5,3],0.5343359112739563,0.0020830954890698195,0.016395671293139458,0.4471852779388428
[5,4],0.6889742016792297,0.0024703661911189556,0.2542321979999542,0.054323289543390274
[5,5],0.13590581715106964,0.010150834918022156,0.8511900901794434,0.0027532910462468863
[5,6],0.011763302609324455,0.1594427078962326,0.8284983038902283,0.0002956884854938835
[5,7],0.002840894041582942,0.4172579348087311,0.5797175765037537,0.00018364163406658918
[6,0],0.21334190666675568,0.002507854253053665,0.001716724829748273,0.7824335098266602
[6,1],0.25915631651878357,0.0020376688335090876,0.0024018653202801943,0.7364041805267334
[6,2],0.3192219138145447,0.0017568878829479218,0.0036574723199009895,0.6753637194633484
[6,3],0.48591306805610657,0.0017353390576317906,0.009146321564912796,0.5032053589820862
[6,4],0.7912703156471252,0.0015547288348898292,0.07470569759607315,0.1324693262577057
[6,5],0.4997652769088745,0.0009335263748653233,0.4897571802139282,0.009544024243950844
[6,6],0.15561434626579285,0.0036388332955539227,0.8391470909118652,0.001599763287231326
[6,7],0.018931660801172256,0.0798540934920311,0.9009866118431091,0.00022760668070986867
[7,0],0.3184836804866791,0.0026737870648503304,0.0028334420640021563,0.6760090589523315
[7,1],0.3522675335407257,0.0021189807448536158,0.003462857799604535,0.6421506404876709
[7,2],0.3761976659297943,0.0017658377764746547,0.004289224278181791,0.6177473068237305
[7,3],0.4589107036590576,0.0016577707137912512,0.006870705168694258,0.5325608849525452
[7,4],0.7054303884506226,0.0015672455774620175,0.026503965258598328,0.2664983868598938
[7,5],0.7129905819892883,0.0009237871854566038,0.25984734296798706,0.026238227263092995
[7,6],0.3990526497364044,0.0005260640173219144,0.5963886976242065,0.0040325685404241085
[7,7],0.1861778199672699,0.0019172150641679764,0.8104614019393921,0.0014435433549806476
