Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,1 3,5,BOUNDARY,-101,-101.0
2,3 1,5,BOUNDARY,-100,-100.5
3,4 4,5,BOUNDARY,-100,-100.33333333333333
4,4 2,5,BOUNDARY,-100,-100.25
5,3 1,5,GOAL,100,-60.2
6,4 1,5,BOUNDARY,-100,-66.83333333333333
7,4 5,5,BOUNDARY,-100,-71.57142857142857
8,1 2,5,GOAL,100,-50.125
9,4 3,5,GOAL,100,-33.44444444444444
10,6 3,5,BOUNDARY,-102,-40.3
11,6 6,5,BOUNDARY,-106,-46.27272727272727
12,3 3,5,GOAL,100,-34.083333333333336
13,4 2,5,BOUNDARY,-100,-39.15384615384615
14,1 3,5,BOUNDARY,-102,-43.642857142857146
15,3 1,5,BOUNDARY,-100,-47.4
16,5 5,5,BOUNDARY,-102,-50.8125
17,5 3,5,BOUNDARY,-100,-53.705882352941174
18,1 1,5,BOUNDARY,-100,-56.27777777777778
19,6 5,5,BOUNDARY,-104,-58.78947368421053
20,1 1,5,BOUNDARY,-100,-60.85
21,5 6,5,BOUNDARY,-101,-62.76190476190476
22,4 1,5,BOUNDARY,-100,-64.45454545454545
23,6 5,5,BOUNDARY,-100,-66.0
24,5 5,5,BOUNDARY,-100,-67.41666666666667
25,1 1,5,BOUNDARY,-100,-68.72
26,2 5,5,GOAL,100,-62.23076923076923
27,1 2,5,BOUNDARY,-100,-63.629629629629626
28,1 6,5,BOUNDARY,-100,-64.92857142857143
29,2 2,5,GOAL,100,-59.241379310344826
30,6 1,5,BOUNDARY,-100,-60.6
31,1 3,5,BOUNDARY,-102,-61.935483870967744
32,4 6,5,BOUNDARY,-100,-63.125
33,6 1,5,BOUNDARY,-100,-64.24242424242425
34,3 6,5,BOUNDARY,-100,-65.29411764705883
35,1 5,5,BOUNDARY,-102,-66.34285714285714
36,5 2,5,BOUNDARY,-100,-67.27777777777777
37,5 6,5,BOUNDARY,-100,-68.16216216216216
38,6 1,5,BOUNDARY,-100,-69.0
39,2 5,5,GOAL,100,-64.66666666666667
40,4 4,5,BOUNDARY,-100,-65.55
41,6 5,5,BOUNDARY,-100,-66.39024390243902
42,6 1,5,BOUNDARY,-100,-67.19047619047619
43,3 4,5,BOUNDARY,-100,-67.95348837209302
44,1 4,5,BOUNDARY,-100,-68.68181818181819
45,3 6,5,BOUNDARY,-102,-69.42222222222222
46,1 2,5,BOUNDARY,-100,-70.08695652173913
47,3 6,5,BOUNDARY,-100,-70.72340425531915
48,3 3,5,BOUNDARY,-100,-71.33333333333333
49,5 5,5,BOUNDARY,-100,-71.91836734693878
50,1 4,5,BOUNDARY,-100,-72.48
51,5 5,5,BOUNDARY,-102,-73.05882352941177
52,4 4,5,BOUNDARY,-100,-73.57692307692308
53,1 1,5,BOUNDARY,-100,-74.0754716981132
54,3 3,5,BOUNDARY,-100,-74.55555555555556
55,5 6,5,BOUNDARY,-100,-75.01818181818182
56,4 2,5,BOUNDARY,-100,-75.46428571428571
57,6 5,5,BOUNDARY,-100,-75.89473684210526
58,6 5,5,BOUNDARY,-100,-76.3103448275862
59,2 4,5,GOAL,100,-73.32203389830508
60,3 4,5,BOUNDARY,-100,-73.76666666666667
