Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,3 2,2,BOUNDARY,-100,-100.0
2,4 2,2,BOUNDARY,-101,-100.5
3,6 1,2,GOAL,100,-33.666666666666664
4,6 5,2,BOUNDARY,-100,-50.25
5,2 5,2,BOUNDARY,-100,-60.2
6,3 6,2,BOUNDARY,-100,-66.83333333333333
7,3 4,2,BOUNDARY,-100,-71.57142857142857
8,4 3,2,BOUNDARY,-102,-75.375
9,3 5,2,BOUNDARY,-100,-78.11111111111111
10,5 5,2,BOUNDARY,-102,-80.5
11,6 2,2,GOAL,100,-64.0909090909091
12,5 3,2,BOUNDARY,-101,-67.16666666666667
13,2 3,2,BOUNDARY,-101,-69.76923076923077
14,1 5,2,BOUNDARY,-100,-71.92857142857143
15,1 2,2,BOUNDARY,-100,-73.8
16,1 6,2,BOUNDARY,-100,-75.4375
17,1 2,2,BOUNDARY,-100,-76.88235294117646
18,6 3,2,BOUNDARY,-100,-78.16666666666667
19,4 3,2,BOUNDARY,-104,-79.52631578947368
20,2 6,2,BOUNDARY,-102,-80.65
21,1 4,2,BOUNDARY,-100,-81.57142857142857
22,2 2,2,BOUNDARY,-100,-82.4090909090909
23,4 2,2,BOUNDARY,-100,-83.17391304347827
24,2 2,2,BOUNDARY,-109,-84.25
25,6 3,2,BOUNDARY,-104,-85.04
26,3 4,2,BOUNDARY,-106,-85.84615384615384
27,3 5,2,BOUNDARY,-104,-86.51851851851852
28,3 5,2,BOUNDARY,-101,-87.03571428571429
29,1 6,2,BOUNDARY,-101,-87.51724137931035
30,6 3,2,GOAL,100,-81.26666666666667
31,1 3,2,BOUNDARY,-101,-81.90322580645162
32,5 1,2,BOUNDARY,-101,-82.5
33,2 4,2,GOAL,100,-76.96969696969697
34,6 6,2,BOUNDARY,-100,-77.6470588235294
35,1 1,2,BOUNDARY,-106,-78.45714285714286
36,3 2,2,BOUNDARY,-106,-79.22222222222223
37,3 1,2,BOUNDARY,-101,-79.8108108108108
38,5 6,2,BOUNDARY,-100,-80.34210526315789
39,3 6,2,BOUNDARY,-101,-80.87179487179488
40,2 1,2,GOAL,98,-76.4
41,2 5,2,BOUNDARY,-100,-76.97560975609755
42,6 1,2,GOAL,100,-72.76190476190476
43,2 5,2,BOUNDARY,-101,-73.4186046511628
44,3 3,2,GOAL,94,-69.61363636363636
45,5 5,2,BOUNDARY,-100,-70.28888888888889
46,2 6,2,GOAL,100,-66.58695652173913
47,3 2,2,GOAL,100,-63.04255319148936
48,1 1,2,BOUNDARY,-100,-63.8125
49,3 1,2,BOUNDARY,-101,-64.57142857142857
50,1 6,2,BOUNDARY,-101,-65.3
51,4 2,2,GOAL,100,-62.05882352941177
52,5 5,2,BOUNDARY,-101,-62.80769230769231
53,5 2,2,GOAL,100,-59.735849056603776
54,2 1,2,BOUNDARY,-100,-60.48148148148148
55,1 1,2,BOUNDARY,-100,-61.2
56,4 5,2,BOUNDARY,-100,-61.892857142857146
57,2 5,2,BOUNDARY,-100,-62.56140350877193
58,6 4,2,BOUNDARY,-100,-63.206896551724135
59,4 6,2,BOUNDARY,-100,-63.83050847457627
60,4 5,2,BOUNDARY,-100,-64.43333333333334
61,5 4,2,BOUNDARY,-100,-65.01639344262296
62,6 4,2,BOUNDARY,-100,-65.58064516129032
63,3 4,2,BOUNDARY,-100,-66.12698412698413
64,6 1,2,BOUNDARY,-100,-66.65625
65,4 2,2,GOAL,100,-64.0923076923077
66,3 5,2,BOUNDARY,-100,-64.63636363636364
67,1 2,2,BOUNDARY,-101,-65.17910447761194
68,6 2,2,GOAL,100,-62.75
69,1 2,2,BOUNDARY,-101,-63.30434782608695
70,4 1,2,GOAL,100,-60.97142857142857
71,4 2,2,GOAL,100,-58.70422535211268
72,2 4,2,GOAL,93,-56.59722222222222
73,4 2,2,GOAL,100,-54.45205479452055
74,2 1,2,BOUNDARY,-101,-55.08108108108108
75,6 1,2,GOAL,100,-53.013333333333335
76,1 4,2,BOUNDARY,-100,-53.63157894736842
77,1 1,2,BOUNDARY,-100,-54.23376623376623
78,3 5,2,BOUNDARY,-101,-54.833333333333336
79,3 4,2,BOUNDARY,-100,-55.40506329113924
80,1 6,2,BOUNDARY,-100,-55.9625
81,4 6,2,BOUNDARY,-100,-56.50617283950617
82,1 3,2,BOUNDARY,-101,-57.048780487804876
83,2 1,2,GOAL,100,-55.1566265060241
84,1 1,2,BOUNDARY,-103,-55.726190476190474
85,1 6,2,GOAL,100,-53.89411764705882
86,4 1,2,BOUNDARY,-100,-54.43023255813954
87,4 3,2,GOAL,94,-52.724137931034484
88,5 3,2,BOUNDARY,-100,-53.26136363636363
89,5 5,2,BOUNDARY,-100,-53.78651685393258
90,1 6,2,BOUNDARY,-100,-54.3
91,2 2,2,BOUNDARY,-103,-54.83516483516483
92,2 3,2,BOUNDARY,-100,-55.32608695652174
93,4 4,2,BOUNDARY,-100,-55.806451612903224
94,3 2,2,GOAL,95,-54.202127659574465
95,2 1,2,BOUNDARY,-100,-54.68421052631579
96,4 4,2,BOUNDARY,-100,-55.15625
97,1 4,2,GOAL,95,-53.608247422680414
98,4 4,2,BOUNDARY,-100,-54.08163265306123
99,5 6,2,BOUNDARY,-100,-54.54545454545455
100,6 4,2,BOUNDARY,-100,-55.0
101,2 3,2,BOUNDARY,-102,-55.46534653465346
102,2 4,2,BOUNDARY,-101,-55.911764705882355
103,1 3,2,BOUNDARY,-106,-56.398058252427184
104,1 6,2,BOUNDARY,-100,-56.81730769230769
105,4 6,2,BOUNDARY,-103,-57.25714285714286
106,5 4,2,GOAL,100,-55.77358490566038
107,3 4,2,BOUNDARY,-102,-56.205607476635514
108,2 6,2,BOUNDARY,-108,-56.68518518518518
109,2 4,2,BOUNDARY,-105,-57.12844036697248
110,6 6,2,BOUNDARY,-100,-57.518181818181816
111,4 5,2,BOUNDARY,-111,-58.0
112,6 2,2,GOAL,100,-56.589285714285715
113,2 2,2,BOUNDARY,-101,-56.982300884955755
114,2 5,2,STEPS,-21,-56.666666666666664
115,2 6,2,BOUNDARY,-102,-57.06086956521739
116,6 6,2,BOUNDARY,-102,-57.44827586206897
117,6 1,2,GOAL,100,-56.1025641025641
118,3 2,2,GOAL,95,-54.82203389830509
119,6 6,2,BOUNDARY,-100,-55.20168067226891
120,5 4,2,GOAL,89,-54.0
121,6 5,2,GOAL,100,-52.72727272727273
122,6 5,2,BOUNDARY,-100,-53.114754098360656
123,3 3,2,BOUNDARY,-100,-53.49593495934959
124,6 2,2,GOAL,100,-52.25806451612903
125,1 4,2,BOUNDARY,-100,-52.64
126,5 3,2,BOUNDARY,-106,-53.06349206349206
127,6 5,2,GOAL,100,-51.85826771653543
128,2 2,2,BOUNDARY,-100,-52.234375
129,6 6,2,GOAL,100,-51.054263565891475
130,6 1,2,GOAL,100,-49.89230769230769
131,4 3,2,BOUNDARY,-106,-50.3206106870229
132,1 6,2,BOUNDARY,-100,-50.696969696969695
133,1 3,2,STEPS,-21,-50.473684210526315
134,1 4,2,STEPS,-22,-50.26119402985075
135,2 6,2,BOUNDARY,-102,-50.644444444444446
136,4 5,2,BOUNDARY,-104,-51.036764705882355
137,3 5,2,BOUNDARY,-106,-51.43795620437956
138,1 5,2,BOUNDARY,-102,-51.80434782608695
139,5 4,2,STEPS,-17,-51.55395683453237
140,3 2,2,BOUNDARY,-111,-51.97857142857143
141,5 2,2,STEPS,-25,-51.787234042553195
142,1 6,2,BOUNDARY,-109,-52.190140845070424
143,3 4,2,BOUNDARY,-104,-52.55244755244755
144,6 4,2,BOUNDARY,-100,-52.88194444444444
145,4 1,2,STEPS,-21,-52.66206896551724
146,1 5,2,BOUNDARY,-112,-53.06849315068493
147,5 4,2,BOUNDARY,-112,-53.46938775510204
148,5 1,2,STEPS,-15,-53.20945945945946
149,2 6,2,STEPS,-16,-52.95973154362416
150,2 3,2,BOUNDARY,-105,-53.306666666666665
151,1 6,2,BOUNDARY,-113,-53.70198675496689
152,5 5,2,STEPS,-23,-53.5
153,1 4,2,STEPS,-22,-53.294117647058826
154,5 5,2,BOUNDARY,-110,-53.66233766233766
155,5 4,2,BOUNDARY,-100,-53.961290322580645
156,1 6,2,STEPS,-21,-53.75
157,2 2,2,STEPS,-25,-53.56687898089172
158,2 6,2,STEPS,-23,-53.37341772151899
159,6 4,2,BOUNDARY,-100,-53.666666666666664
160,2 3,2,STEPS,-26,-53.49375
161,4 4,2,BOUNDARY,-109,-53.838509316770185
162,4 4,2,STEPS,-24,-53.65432098765432
163,6 1,2,GOAL,100,-52.71165644171779
164,5 1,2,STEPS,-22,-52.52439024390244
165,6 5,2,BOUNDARY,-112,-52.88484848484848
166,1 6,2,STEPS,-23,-52.704819277108435
167,3 1,2,STEPS,-20,-52.50898203592814
168,1 5,2,STEPS,-19,-52.30952380952381
169,1 1,2,BOUNDARY,-122,-52.72189349112426
170,1 3,2,STEPS,-17,-52.51176470588236
171,2 4,2,BOUNDARY,-110,-52.84795321637427
172,6 6,2,STEPS,-23,-52.674418604651166
173,4 3,2,STEPS,-27,-52.52601156069364
174,3 3,2,STEPS,-25,-52.367816091954026
175,2 6,2,BOUNDARY,-102,-52.651428571428575
176,6 3,2,BOUNDARY,-120,-53.03409090909091
177,4 1,2,STEPS,-26,-52.88135593220339
178,3 2,2,STEPS,-25,-52.7247191011236
179,5 3,2,BOUNDARY,-100,-52.98882681564246
180,1 1,2,STEPS,-25,-52.833333333333336
181,2 6,2,BOUNDARY,-117,-53.187845303867405
182,2 1,2,STEPS,-23,-53.02197802197802
183,1 6,2,STEPS,-22,-52.85245901639344
184,6 6,2,BOUNDARY,-100,-53.108695652173914
185,6 6,2,BOUNDARY,-100,-53.362162162162164
186,4 1,2,STEPS,-22,-53.193548387096776
187,5 3,2,BOUNDARY,-108,-53.48663101604278
188,5 4,2,BOUNDARY,-119,-53.83510638297872
189,2 1,2,STEPS,-26,-53.68783068783069
190,5 3,2,BOUNDARY,-106,-53.963157894736845
191,6 2,2,GOAL,100,-53.15706806282723
192,3 2,2,STEPS,-27,-53.020833333333336
193,6 1,2,GOAL,100,-52.2279792746114
194,2 6,2,BOUNDARY,-100,-52.47422680412371
195,3 3,2,STEPS,-22,-52.31794871794872
196,6 2,2,GOAL,100,-51.54081632653061
197,6 4,2,BOUNDARY,-104,-51.807106598984774
198,5 6,2,STEPS,-27,-51.68181818181818
199,5 5,2,STEPS,-25,-51.54773869346734
200,5 4,2,STEPS,-28,-51.43
201,5 4,2,STEPS,-26,-51.30348258706468
202,4 4,2,STEPS,-25,-51.17326732673267
203,3 2,2,STEPS,-25,-51.04433497536946
204,6 1,2,GOAL,100,-50.30392156862745
205,4 1,2,STEPS,-27,-50.19024390243902
206,5 6,2,STEPS,-26,-50.07281553398058
207,5 1,2,STEPS,-23,-49.94202898550725
208,2 2,2,BOUNDARY,-107,-50.21634615384615
209,4 2,2,STEPS,-24,-50.09090909090909
210,6 6,2,GOAL,92,-49.41428571428571
211,3 2,2,STEPS,-25,-49.29857819905213
212,6 6,2,GOAL,100,-48.594339622641506
213,3 4,2,BOUNDARY,-118,-48.92018779342723
214,1 5,2,BOUNDARY,-104,-49.177570093457945
215,2 6,2,STEPS,-23,-49.055813953488375
216,1 5,2,BOUNDARY,-102,-49.300925925925924
217,4 1,2,STEPS,-28,-49.20276497695853
218,5 4,2,GOAL,99,-48.522935779816514
219,6 4,2,GOAL,100,-47.84474885844749
220,3 1,2,BOUNDARY,-100,-48.08181818181818
221,6 5,2,GOAL,100,-47.411764705882355
222,1 3,2,STEPS,-26,-47.31531531531532
223,6 2,2,GOAL,100,-46.65470852017937
224,2 6,2,BOUNDARY,-117,-46.96875
225,1 5,2,BOUNDARY,-111,-47.25333333333333
226,6 1,2,GOAL,100,-46.60176991150443
227,2 6,2,STEPS,-22,-46.49339207048458
228,3 3,2,STEPS,-24,-46.39473684210526
229,2 4,2,BOUNDARY,-102,-46.63755458515284
230,2 3,2,STEPS,-24,-46.53913043478261
231,4 5,2,BOUNDARY,-104,-46.78787878787879
232,2 3,2,STEPS,-25,-46.69396551724138
233,3 2,2,STEPS,-23,-46.592274678111586
234,1 6,2,BOUNDARY,-100,-46.82051282051282
235,6 6,2,GOAL,100,-46.195744680851064
236,2 3,2,BOUNDARY,-112,-46.47457627118644
237,1 6,2,STEPS,-22,-46.371308016877634
238,6 6,2,GOAL,94,-45.78151260504202
239,6 4,2,BOUNDARY,-102,-46.01673640167364
240,5 3,2,STEPS,-26,-45.93333333333333
241,3 6,2,STEPS,-21,-45.829875518672196
242,6 1,2,GOAL,100,-45.22727272727273
243,2 4,2,STEPS,-20,-45.123456790123456
244,1 5,2,STEPS,-19,-45.01639344262295
245,6 5,2,STEPS,-22,-44.922448979591834
246,4 6,2,GOAL,93,-44.36178861788618
247,2 3,2,STEPS,-21,-44.26720647773279
248,4 4,2,GOAL,81,-43.76209677419355
249,1 2,2,BOUNDARY,-107,-44.01606425702811
250,6 6,2,GOAL,96,-43.456
251,1 2,2,STEPS,-20,-43.36254980079681
252,3 2,2,STEPS,-24,-43.285714285714285
253,6 2,2,GOAL,100,-42.719367588932805
254,6 1,2,GOAL,100,-42.15748031496063
255,1 5,2,STEPS,-20,-42.07058823529412
256,2 3,2,STEPS,-21,-41.98828125
257,6 3,2,GOAL,100,-41.43579766536965
258,2 3,2,GOAL,91,-40.92248062015504
259,3 5,2,STEPS,-23,-40.85328185328186
260,1 4,2,BOUNDARY,-100,-41.08076923076923
261,1 2,2,BOUNDARY,-102,-41.31417624521073
262,3 5,2,STEPS,-24,-41.24809160305343
263,5 2,2,STEPS,-22,-41.17490494296578
264,6 3,2,GOAL,100,-40.640151515151516
265,6 6,2,GOAL,100,-40.10943396226415
266,5 6,2,GOAL,85,-39.6390977443609
267,2 6,2,STEPS,-17,-39.554307116104866
268,4 5,2,STEPS,-20,-39.48134328358209
269,5 4,2,GOAL,95,-38.98141263940521
270,4 1,2,GOAL,93,-38.492592592592594
271,4 4,2,GOAL,95,-38.0
272,2 4,2,STEPS,-22,-37.94117647058823
273,2 4,2,GOAL,97,-37.446886446886445
274,6 3,2,GOAL,100,-36.94525547445255
275,6 5,2,BOUNDARY,-100,-37.17454545454545
276,4 4,2,GOAL,96,-36.69202898550725
277,4 4,2,GOAL,97,-36.20938628158845
278,5 3,2,GOAL,94,-35.7410071942446
279,1 3,2,GOAL,90,-35.29032258064516
280,4 5,2,GOAL,99,-34.81071428571428
281,3 5,2,GOAL,97,-34.34163701067616
282,3 3,2,GOAL,98,-33.87234042553192
283,3 2,2,GOAL,91,-33.43109540636043
284,3 2,2,GOAL,97,-32.971830985915496
285,6 1,2,BOUNDARY,-100,-33.20701754385965
286,2 2,2,BOUNDARY,-101,-33.44405594405595
287,1 6,2,GOAL,100,-32.97909407665505
288,3 1,2,GOAL,100,-32.517361111111114
289,5 6,2,BOUNDARY,-100,-32.75086505190311
290,2 3,2,GOAL,100,-32.293103448275865
291,1 1,2,GOAL,99,-31.84192439862543
292,5 2,2,GOAL,100,-31.39041095890411
293,6 3,2,GOAL,100,-30.9419795221843
294,2 3,2,BOUNDARY,-102,-31.183673469387756
295,3 6,2,BOUNDARY,-103,-31.427118644067797
296,2 4,2,GOAL,100,-30.98310810810811
297,3 5,2,BOUNDARY,-101,-31.218855218855218
298,5 6,2,GOAL,99,-30.78187919463087
299,6 3,2,BOUNDARY,-100,-31.013377926421406
300,2 4,2,BOUNDARY,-100,-31.243333333333332
301,4 4,2,GOAL,100,-30.80730897009967
302,2 1,2,GOAL,99,-30.37748344370861
303,5 2,2,GOAL,99,-29.95049504950495
304,6 2,2,GOAL,100,-29.523026315789473
305,4 2,2,GOAL,100,-29.098360655737704
306,5 5,2,BOUNDARY,-100,-29.330065359477125
307,4 1,2,GOAL,100,-28.908794788273617
308,2 5,2,GOAL,100,-28.49025974025974
309,4 2,2,GOAL,100,-28.07443365695793
310,3 6,2,GOAL,100,-27.661290322580644
311,2 5,2,GOAL,91,-27.279742765273312
312,2 3,2,GOAL,98,-26.878205128205128
313,2 6,2,GOAL,100,-26.472843450479232
314,5 3,2,GOAL,97,-26.079617834394906
315,2 5,2,GOAL,96,-25.692063492063493
316,5 2,2,GOAL,99,-25.29746835443038
317,4 5,2,GOAL,99,-24.905362776025235
318,1 2,2,BOUNDARY,-102,-25.147798742138363
319,1 1,2,BOUNDARY,-101,-25.385579937304076
320,2 1,2,GOAL,100,-24.99375
321,4 3,2,GOAL,98,-24.610591900311526
322,2 3,2,GOAL,100,-24.22360248447205
323,5 5,2,GOAL,100,-23.8390092879257
324,2 1,2,GOAL,95,-23.47222222222222
325,2 6,2,GOAL,100,-23.092307692307692
326,2 2,2,GOAL,99,-22.717791411042946
327,3 4,2,GOAL,100,-22.34250764525994
328,5 2,2,GOAL,100,-21.96951219512195
329,3 1,2,GOAL,100,-21.598784194528875
330,1 1,2,GOAL,100,-21.23030303030303
331,5 4,2,BOUNDARY,-102,-21.474320241691842
332,3 2,2,GOAL,100,-21.10843373493976
333,3 5,2,GOAL,100,-20.744744744744743
334,6 1,2,GOAL,100,-20.38323353293413
335,1 6,2,GOAL,100,-20.023880597014927
336,1 2,2,GOAL,99,-19.669642857142858
337,2 4,2,GOAL,100,-19.31454005934718
338,5 6,2,BOUNDARY,-100,-19.55325443786982
339,2 1,2,GOAL,100,-19.200589970501476
340,3 6,2,GOAL,100,-18.85
341,6 4,2,GOAL,100,-18.501466275659823
342,5 3,2,BOUNDARY,-100,-18.739766081871345
343,4 3,2,GOAL,100,-18.393586005830905
344,6 3,2,GOAL,100,-18.049418604651162
345,5 2,2,BOUNDARY,-100,-18.286956521739132
346,3 3,2,GOAL,100,-17.94508670520231
347,6 3,2,GOAL,100,-17.605187319884728
348,1 5,2,BOUNDARY,-107,-17.862068965517242
349,3 5,2,BOUNDARY,-100,-18.097421203438394
350,6 3,2,GOAL,100,-17.76
351,1 3,2,BOUNDARY,-100,-17.994301994301996
352,1 5,2,BOUNDARY,-103,-18.235795454545453
353,3 5,2,GOAL,94,-17.91784702549575
354,6 2,2,GOAL,100,-17.584745762711865
355,4 6,2,GOAL,95,-17.267605633802816
356,4 2,2,BOUNDARY,-109,-17.525280898876403
357,6 6,2,GOAL,100,-17.19607843137255
358,3 5,2,GOAL,87,-16.905027932960895
359,3 2,2,GOAL,97,-16.58774373259053
360,6 2,2,GOAL,100,-16.26388888888889
361,1 4,2,GOAL,97,-15.950138504155124
362,4 2,2,BOUNDARY,-102,-16.1878453038674
363,3 3,2,GOAL,91,-15.892561983471074
364,2 6,2,BOUNDARY,-110,-16.1510989010989
365,4 5,2,GOAL,96,-15.843835616438357
366,6 5,2,GOAL,100,-15.527322404371585
367,3 5,2,GOAL,87,-15.247956403269756
368,2 6,2,GOAL,91,-14.959239130434783
369,5 3,2,GOAL,87,-14.682926829268293
370,1 6,2,GOAL,95,-14.386486486486486
371,3 2,2,GOAL,80,-14.132075471698114
372,4 5,2,GOAL,97,-13.833333333333334
373,4 5,2,GOAL,100,-13.528150134048257
374,4 1,2,GOAL,96,-13.235294117647058
375,6 6,2,GOAL,100,-12.933333333333334
376,5 3,2,GOAL,100,-12.632978723404255
377,2 2,2,GOAL,100,-12.3342175066313
378,2 4,2,GOAL,94,-12.052910052910052
379,1 1,2,GOAL,99,-11.759894459102902
380,2 6,2,GOAL,100,-11.465789473684211
381,3 4,2,GOAL,98,-11.178477690288714
382,2 4,2,GOAL,95,-10.900523560209423
383,6 1,2,GOAL,100,-10.610966057441253
384,2 6,2,GOAL,100,-10.322916666666666
385,6 1,2,GOAL,100,-10.036363636363637
386,2 5,2,GOAL,100,-9.751295336787564
387,2 6,2,GOAL,100,-9.467700258397933
388,5 6,2,GOAL,100,-9.185567010309278
389,5 2,2,GOAL,100,-8.904884318766067
390,5 6,2,GOAL,100,-8.625641025641025
391,3 5,2,GOAL,100,-8.347826086956522
392,1 3,2,GOAL,100,-8.071428571428571
393,4 6,2,GOAL,100,-7.796437659033079
394,4 5,2,BOUNDARY,-100,-8.030456852791879
395,2 4,2,GOAL,100,-7.756962025316455
396,2 3,2,BOUNDARY,-100,-7.98989898989899
397,2 5,2,BOUNDARY,-100,-8.221662468513854
398,3 4,2,GOAL,100,-7.949748743718593
