Episode,Starting Position,Terminal State,Reward,Running Average
1,1 3,GOAL,100000,100000.0
2,11 9,GOAL,99990,99995.0
3,11 12,BOUNDARY,-110,66626.66666666667
4,12 5,BOUNDARY,-100,49945.0
5,13 2,BOUNDARY,-100,39936.0
6,1 5,GOAL,100000,49946.666666666664
7,9 7,BOUNDARY,-101,42797.0
8,11 8,BOUNDARY,-100,37434.875
9,13 12,GOAL,99993,44385.77777777778
10,8 12,GOAL,99997,49946.9
11,12 2,BOUNDARY,-100,45397.181818181816
12,8 13,BOUNDARY,-103,41605.5
13,10 4,BOUNDARY,-101,38397.307692307695
14,5 13,BOUNDARY,-103,35647.28571428572
15,12 9,GOAL,99999,39937.4
16,12 7,GOAL,99999,43691.25
17,4 1,BOUNDARY,-100,41115.294117647056
18,13 8,BOUNDARY,-100,38825.555555555555
19,2 1,BOUNDARY,-100,36776.84210526316
20,4 5,BOUNDARY,-100,34933.0
21,11 10,BOUNDARY,-100,33264.76190476191
22,4 2,GOAL,100000,36298.181818181816
23,4 3,BOUNDARY,-100,34715.65217391304
24,13 9,BOUNDARY,-100,33265.0
25,6 3,BOUNDARY,-100,31930.4
26,2 7,BOUNDARY,-100,30698.46153846154
27,4 9,BOUNDARY,-100,29557.777777777777
28,13 5,BOUNDARY,-101,28498.535714285714
29,12 4,BOUNDARY,-100,27512.379310344826
30,2 3,BOUNDARY,-100,26591.966666666667
31,4 13,BOUNDARY,-100,25730.935483870966
32,13 11,BOUNDARY,-101,24923.6875
33,11 6,BOUNDARY,-100,24165.39393939394
34,5 2,GOAL,100000,26395.823529411766
35,5 4,BOUNDARY,-100,25638.8
36,5 13,BOUNDARY,-100,24923.833333333332
37,2 1,BOUNDARY,-100,24247.513513513513
38,12 4,BOUNDARY,-102,23606.736842105263
39,4 9,BOUNDARY,-100,22998.871794871793
40,7 13,BOUNDARY,-101,22421.375
41,2 12,BOUNDARY,-100,21872.073170731706
42,7 4,BOUNDARY,-100,21348.928571428572
43,5 7,BOUNDARY,-100,20850.116279069767
44,10 3,BOUNDARY,-100,20373.977272727272
45,10 4,BOUNDARY,-100,19919.0
46,9 3,BOUNDARY,-100,19483.804347826088
47,4 6,BOUNDARY,-102,19067.08510638298
48,3 3,BOUNDARY,-100,18667.770833333332
49,12 2,GOAL,99998,20327.571428571428
50,13 5,BOUNDARY,-102,19918.98
51,10 6,GOAL,100000,21489.196078431374
52,11 11,GOAL,99999,22999.0
53,5 11,GOAL,99996,24451.77358490566
54,1 3,BOUNDARY,-100,23997.11111111111
55,8 4,BOUNDARY,-108,23558.836363636365
56,3 10,GOAL,100000,24923.85714285714
57,11 12,GOAL,100000,26240.98245614035
58,9 10,GOAL,100000,27512.689655172413
59,6 4,GOAL,100000,28741.28813559322
60,11 5,BOUNDARY,-100,28260.6
61,4 11,BOUNDARY,-100,27795.67213114754
62,4 2,BOUNDARY,-100,27345.74193548387
63,5 8,BOUNDARY,-100,26910.095238095237
64,9 11,BOUNDARY,-104,26488.0
65,4 2,BOUNDARY,-100,26078.953846153847
66,4 3,BOUNDARY,-100,25682.303030303032
67,1 13,BOUNDARY,-100,25297.492537313432
68,11 10,BOUNDARY,-104,24923.941176470587
69,13 12,BOUNDARY,-100,24561.27536231884
70,7 6,GOAL,99997,25638.928571428572
71,9 7,BOUNDARY,-112,25276.23943661972
72,4 7,GOAL,100000,26314.069444444445
73,9 11,GOAL,99995,27323.397260273974
74,6 12,GOAL,99992,28305.405405405407
75,3 2,BOUNDARY,-107,27926.573333333334
76,3 13,GOAL,99994,28874.82894736842
77,7 1,GOAL,100000,29798.532467532466
78,4 10,GOAL,99990,30698.423076923078
79,1 2,BOUNDARY,-100,30308.569620253165
80,8 3,GOAL,100000,31179.7125
81,10 1,GOAL,99997,32029.30864197531
82,8 11,BOUNDARY,-159,31636.768292682926
83,13 13,BOUNDARY,-102,31254.373493975905
84,6 5,GOAL,99917,32071.785714285714
85,1 6,GOAL,99996,32870.89411764706
86,6 12,GOAL,100000,33651.46511627907
87,13 10,GOAL,99991,34413.988505747126
88,9 8,GOAL,99997,35159.25
89,4 7,BOUNDARY,-104,34763.03370786517
90,5 3,GOAL,99998,35487.86666666667
91,8 13,GOAL,99993,36196.71428571428
92,5 9,BOUNDARY,-100,35802.184782608696
93,13 13,GOAL,99987,36492.344086021505
94,13 8,GOAL,99997,37167.925531914894
95,11 4,GOAL,99996,37829.27368421053
96,1 5,BOUNDARY,-100,37434.177083333336
97,1 2,BOUNDARY,-102,37047.20618556701
98,12 4,GOAL,99999,37689.57142857143
99,9 13,GOAL,99999,38318.9595959596
100,5 9,GOAL,100000,38935.77
101,6 11,GOAL,100000,39540.36633663366
102,6 3,GOAL,100000,40133.10784313725
103,13 5,GOAL,99999,40714.330097087375
104,2 12,GOAL,100000,41284.38461538462
105,8 12,GOAL,99998,41843.561904761904
106,13 6,GOAL,100000,42392.20754716981
107,3 10,BOUNDARY,-100,41995.08411214953
108,4 12,GOAL,99999,42532.15740740741
109,11 11,GOAL,99996,43059.34862385321
110,4 12,GOAL,100000,43576.990909090906
111,5 11,GOAL,100000,44085.30630630631
112,12 8,GOAL,99998,44584.52678571428
113,11 10,GOAL,100000,45074.929203539825
114,4 10,GOAL,99998,45556.71052631579
115,6 13,GOAL,99998,46030.11304347826
116,2 8,GOAL,100000,46495.370689655174
117,5 8,GOAL,100000,46952.67521367521
118,2 3,GOAL,100000,47402.22881355932
119,1 2,BOUNDARY,-102,47003.033613445376
120,8 8,BOUNDARY,-102,46610.49166666667
121,4 13,BOUNDARY,-102,46224.438016528926
122,12 11,BOUNDARY,-100,45844.729508196724
123,7 9,GOAL,99999,46285.0081300813
124,8 3,GOAL,100000,46718.1935483871
125,3 7,GOAL,100000,47144.448
126,10 9,GOAL,100000,47563.93650793651
127,6 4,GOAL,100000,47976.81889763779
128,8 13,GOAL,100000,48383.25
129,4 5,BOUNDARY,-100,48007.410852713176
130,3 10,GOAL,100000,48407.35384615385
131,4 11,GOAL,100000,48801.19083969466
132,8 4,GOAL,100000,49189.06060606061
133,13 1,BOUNDARY,-102,48818.45112781955
134,7 11,GOAL,99997,49200.380597014926
135,9 11,GOAL,100000,49576.67407407407
136,7 8,GOAL,99998,49947.419117647056
137,8 4,GOAL,100000,50312.766423357665
138,2 6,GOAL,100000,50672.81884057971
139,1 5,BOUNDARY,-102,50307.532374100716
140,5 1,BOUNDARY,-100,49947.47857142857
141,2 5,BOUNDARY,-100,49592.53191489362
142,1 3,BOUNDARY,-100,49242.58450704225
143,5 2,GOAL,100000,49597.531468531466
144,9 2,BOUNDARY,-100,49252.40972222222
145,11 11,BOUNDARY,-100,48912.04827586207
146,3 4,GOAL,99999,49261.95890410959
147,13 1,BOUNDARY,-102,48926.14965986394
148,11 7,BOUNDARY,-100,48594.89189189189
149,4 10,BOUNDARY,-100,48268.08053691275
150,10 5,GOAL,100000,48612.96
151,8 10,BOUNDARY,-105,48290.32450331126
152,8 7,GOAL,100000,48630.51973684211
153,11 5,GOAL,100000,48966.26797385621
154,11 10,GOAL,100000,49297.655844155845
155,9 8,GOAL,100000,49624.76774193548
156,7 3,GOAL,100000,49947.6858974359
157,9 4,GOAL,100000,50266.490445859876
158,12 9,GOAL,100000,50581.259493670885
159,9 9,GOAL,100000,50892.06918238994
160,4 10,GOAL,100000,51198.99375
161,8 2,BOUNDARY,-100,50880.36645962733
162,7 1,GOAL,100000,51183.57407407407
163,7 4,GOAL,99999,51483.05521472393
164,4 1,GOAL,100000,51778.89024390244
165,3 3,GOAL,100000,52071.1393939394
166,4 7,BOUNDARY,-100,51756.85542168675
167,13 6,BOUNDARY,-100,51446.33532934132
168,13 5,GOAL,99998,51735.333333333336
169,8 6,GOAL,100000,52020.92307692308
170,7 2,BOUNDARY,-106,51714.294117647056
171,12 3,GOAL,99997,51996.649122807015
172,2 12,GOAL,100000,52275.73837209302
173,13 9,BOUNDARY,-102,51972.97687861272
174,5 11,GOAL,100000,52248.99425287356
175,4 10,GOAL,100000,52521.857142857145
176,1 9,BOUNDARY,-100,52222.869318181816
177,3 12,GOAL,100000,52492.79661016949
178,13 11,GOAL,100000,52759.691011235955
179,13 5,GOAL,99993,53023.564245810056
180,10 3,GOAL,100000,53284.544444444444
181,9 5,GOAL,100000,53542.6408839779
182,4 2,BOUNDARY,-100,53247.9010989011
183,2 6,GOAL,100000,53503.37704918033
184,1 12,BOUNDARY,-100,53212.05434782609
185,13 5,GOAL,99999,53464.95675675676
186,1 2,BOUNDARY,-103,53176.95698924731
187,11 13,GOAL,99999,53427.342245989305
188,12 8,GOAL,99995,53675.04255319149
189,4 5,BOUNDARY,-103,53390.502645502645
190,11 10,GOAL,100000,53635.81578947369
191,4 11,GOAL,100000,53878.56020942408
