Episode,Starting Position,Steps,Terminal State,Reward,Running Average
1,7 6,5,BOUNDARY,-102,-102.0
2,4 4,5,BOUNDARY,-100,-101.0
3,8 6,5,BOUNDARY,-103,-101.66666666666667
4,4 5,5,BOUNDARY,-100,-101.25
5,7 2,5,BOUNDARY,-100,-101.0
6,8 8,5,BOUNDARY,-108,-102.16666666666667
7,8 6,5,BOUNDARY,-110,-103.28571428571429
8,6 7,5,BOUNDARY,-101,-103.0
9,3 1,5,BOUNDARY,-100,-102.66666666666667
10,6 7,5,GOAL,100000,9907.6
11,3 6,5,BOUNDARY,-106,8997.272727272728
12,4 6,5,BOUNDARY,-106,8238.666666666666
13,5 5,5,BOUNDARY,-102,7597.076923076923
14,5 4,5,BOUNDARY,-100,7047.285714285715
15,1 5,5,BOUNDARY,-100,6570.8
16,7 8,5,BOUNDARY,-100,6153.875
17,2 8,5,BOUNDARY,-105,5785.705882352941
18,1 6,5,BOUNDARY,-100,5458.722222222223
19,6 3,5,BOUNDARY,-100,5166.1578947368425
20,1 6,5,BOUNDARY,-100,4902.85
21,7 2,5,BOUNDARY,-100,4664.619047619048
22,2 5,5,BOUNDARY,-100,4448.045454545455
23,5 1,5,BOUNDARY,-100,4250.304347826087
24,3 8,5,BOUNDARY,-100,4069.0416666666665
25,3 8,5,BOUNDARY,-100,3902.28
26,6 2,5,BOUNDARY,-100,3748.346153846154
27,8 1,5,BOUNDARY,-100,3605.814814814815
28,3 6,5,BOUNDARY,-101,3473.4285714285716
29,2 2,5,BOUNDARY,-100,3350.206896551724
30,6 7,5,GOAL,100000,6571.866666666667
31,5 7,5,BOUNDARY,-100,6356.645161290323
32,5 4,5,BOUNDARY,-100,6154.875
33,8 6,5,BOUNDARY,-100,5965.333333333333
34,7 1,5,BOUNDARY,-100,5786.941176470588
35,8 4,5,BOUNDARY,-100,5618.742857142857
36,1 5,5,BOUNDARY,-100,5459.888888888889
37,6 1,5,BOUNDARY,-100,5309.621621621622
38,8 6,5,BOUNDARY,-100,5167.263157894737
39,2 4,5,BOUNDARY,-100,5032.205128205128
40,1 7,5,BOUNDARY,-100,4903.9
41,4 5,5,BOUNDARY,-100,4781.8536585365855
42,6 4,5,BOUNDARY,-101,4665.5952380952385
43,4 3,5,BOUNDARY,-100,4554.767441860465
44,2 1,5,BOUNDARY,-100,4448.977272727273
45,1 4,5,BOUNDARY,-100,4347.888888888889
46,2 6,5,BOUNDARY,-100,4251.195652173913
47,6 7,5,GOAL,100000,6288.404255319149
48,1 6,5,BOUNDARY,-100,6155.3125
49,2 2,5,BOUNDARY,-100,6027.65306122449
50,2 6,5,BOUNDARY,-100,5905.1
51,8 2,5,BOUNDARY,-100,5787.35294117647
52,3 1,5,BOUNDARY,-100,5674.134615384615
53,3 7,5,BOUNDARY,-100,5565.188679245283
54,4 8,5,BOUNDARY,-106,5460.166666666667
55,8 6,5,BOUNDARY,-100,5359.072727272727
56,8 4,5,BOUNDARY,-100,5261.589285714285
57,6 7,5,GOAL,100000,6923.666666666667
58,7 1,5,BOUNDARY,-100,6802.568965517241
59,3 8,5,BOUNDARY,-104,6685.5084745762715
60,7 4,5,BOUNDARY,-106,6572.316666666667
61,3 1,5,BOUNDARY,-100,6462.934426229508
62,6 4,5,GOAL,100000,7971.596774193548
63,8 5,5,BOUNDARY,-105,7843.396825396825
64,5 1,5,BOUNDARY,-100,7719.28125
65,1 6,5,BOUNDARY,-102,7598.953846153846
66,2 4,5,BOUNDARY,-102,7482.272727272727
67,5 2,5,STEPS,-19,7370.313432835821
68,4 1,5,BOUNDARY,-100,7260.455882352941
69,1 4,5,BOUNDARY,-105,7153.710144927536
70,8 7,5,BOUNDARY,-100,7050.085714285714
71,1 6,5,BOUNDARY,-106,6949.295774647887
72,8 1,5,BOUNDARY,-103,6851.347222222223
73,6 8,5,BOUNDARY,-100,6756.123287671233
74,8 3,5,BOUNDARY,-100,6663.472972972973
75,2 8,5,BOUNDARY,-103,6573.253333333333
76,5 5,5,BOUNDARY,-101,6485.434210526316
77,3 8,5,BOUNDARY,-112,6399.7532467532465
78,8 1,5,GOAL,100000,7599.75641025641
79,5 3,5,STEPS,-17,7503.341772151899
80,8 2,5,GOAL,100000,8659.55
81,6 8,5,BOUNDARY,-100,8551.407407407407
82,8 5,5,BOUNDARY,-107,8445.817073170732
83,1 4,5,BOUNDARY,-103,8342.819277108434
84,7 8,5,GOAL,100000,9433.97619047619
85,3 8,5,BOUNDARY,-106,9321.741176470588
86,2 3,5,BOUNDARY,-107,9212.10465116279
87,5 7,5,BOUNDARY,-103,9105.034482758621
88,3 7,5,BOUNDARY,-106,9000.363636363636
89,5 3,5,BOUNDARY,-103,8898.078651685393
90,8 2,5,BOUNDARY,-105,8798.044444444444
91,2 6,5,BOUNDARY,-100,8700.263736263736
92,4 8,5,BOUNDARY,-104,8604.565217391304
93,4 2,5,BOUNDARY,-103,8510.935483870968
94,4 1,5,BOUNDARY,-107,8419.255319148937
95,8 2,5,BOUNDARY,-101,8329.568421052632
96,2 7,5,BOUNDARY,-101,8241.75
97,2 1,5,BOUNDARY,-101,8155.742268041237
98,8 3,5,GOAL,99995,9092.877551020409
99,3 4,5,BOUNDARY,-109,8999.929292929293
100,7 1,5,BOUNDARY,-110,8908.83
101,8 5,5,GOAL,99998,9810.70297029703
102,4 8,5,BOUNDARY,-110,9713.441176470587
103,3 5,5,BOUNDARY,-109,9618.077669902912
104,6 7,5,GOAL,100000,10487.134615384615
105,4 4,5,BOUNDARY,-118,10386.133333333333
106,2 3,5,STEPS,-22,10287.943396226416
107,3 8,5,BOUNDARY,-100,10190.859813084113
108,1 8,5,BOUNDARY,-102,10095.555555555555
109,7 3,5,BOUNDARY,-100,10002.018348623853
110,2 5,5,BOUNDARY,-122,9909.981818181817
111,4 1,5,BOUNDARY,-115,9819.666666666666
112,3 8,5,BOUNDARY,-115,9730.964285714286
113,4 6,5,BOUNDARY,-102,9643.946902654867
114,8 4,5,BOUNDARY,-100,9558.473684210527
115,3 5,5,BOUNDARY,-115,9474.35652173913
116,3 2,5,STEPS,-22,9392.491379310344
117,1 1,5,BOUNDARY,-117,9311.213675213676
118,5 7,5,BOUNDARY,-105,9231.415254237289
119,5 5,5,BOUNDARY,-100,9153.0
120,1 6,5,BOUNDARY,-100,9075.891666666666
121,7 6,5,BOUNDARY,-100,9000.05785123967
122,3 1,5,BOUNDARY,-100,8925.467213114754
123,2 2,5,STEPS,-24,8852.707317073171
124,3 6,5,STEPS,-18,8781.16935483871
125,5 3,5,STEPS,-17,8710.784
126,8 2,5,BOUNDARY,-103,8640.833333333334
127,7 7,5,GOAL,99999,9360.188976377953
128,8 4,5,GOAL,99999,10068.3046875
129,8 5,5,GOAL,99993,10765.39534883721
130,2 7,5,STEPS,-23,10682.407692307692
131,2 1,5,BOUNDARY,-104,10600.068702290077
132,6 4,5,STEPS,-17,10519.636363636364
133,2 7,5,BOUNDARY,-100,10439.78947368421
134,6 3,5,BOUNDARY,-113,10361.037313432837
135,2 5,5,BOUNDARY,-107,10283.496296296296
136,3 5,5,BOUNDARY,-104,10207.117647058823
137,4 5,5,STEPS,-20,10132.467153284671
138,6 2,5,STEPS,-21,10058.891304347826
139,7 4,5,GOAL,100000,10705.94964028777
140,2 8,5,BOUNDARY,-104,10628.735714285714
141,1 5,5,BOUNDARY,-104,10552.617021276596
142,7 2,5,STEPS,-16,10478.19014084507
143,6 6,5,GOAL,100000,11104.216783216783
144,8 2,5,BOUNDARY,-100,11026.409722222223
145,7 8,5,BOUNDARY,-116,10949.565517241379
146,7 5,5,GOAL,99982,11559.376712328767
147,8 6,5,BOUNDARY,-105,11480.027210884355
148,7 2,5,GOAL,100000,12078.135135135135
149,6 5,5,GOAL,99993,12668.167785234898
150,2 3,5,BOUNDARY,-100,12583.046666666667
151,2 6,5,STEPS,-22,12499.569536423842
152,2 7,5,BOUNDARY,-117,12416.565789473685
153,7 5,5,BOUNDARY,-102,12334.745098039215
154,2 7,5,STEPS,-25,12254.487012987012
155,1 8,5,BOUNDARY,-102,12174.767741935484
156,5 1,5,BOUNDARY,-100,12096.083333333334
157,1 8,5,STEPS,-19,12018.917197452229
158,3 4,5,STEPS,-21,11942.715189873417
159,3 3,5,BOUNDARY,-110,11866.911949685535
160,2 4,5,BOUNDARY,-110,11792.05625
161,1 7,5,STEPS,-17,11718.708074534161
162,5 5,5,GOAL,100000,12263.654320987655
163,4 6,5,STEPS,-24,12188.269938650306
164,2 4,5,STEPS,-19,12113.835365853658
165,6 6,5,GOAL,100000,12646.478787878788
166,2 3,5,STEPS,-22,12570.16265060241
167,6 7,5,GOAL,100000,13093.694610778442
168,8 6,5,BOUNDARY,-102,13015.14880952381
169,3 6,5,STEPS,-24,12937.994082840236
170,2 3,5,STEPS,-24,12861.74705882353
171,2 3,5,STEPS,-22,12786.40350877193
172,4 6,5,STEPS,-20,12711.947674418605
173,7 3,5,BOUNDARY,-104,12637.86705202312
174,7 6,5,BOUNDARY,-102,12564.649425287356
175,1 6,5,BOUNDARY,-111,12492.217142857144
176,8 6,5,GOAL,99999,12989.414772727272
177,5 4,5,STEPS,-26,12915.881355932202
178,2 7,5,STEPS,-21,12843.202247191011
179,3 7,5,STEPS,-21,12771.335195530726
180,1 3,5,STEPS,-25,12700.244444444445
181,6 2,5,GOAL,99998,13182.552486187846
182,1 8,5,BOUNDARY,-100,13109.57142857143
183,4 1,5,STEPS,-15,13037.852459016394
184,6 6,5,GOAL,100000,13510.472826086956
185,6 5,5,STEPS,-24,13437.313513513514
186,1 1,5,BOUNDARY,-123,13364.408602150537
187,8 5,5,BOUNDARY,-100,13292.4064171123
188,7 6,5,GOAL,99999,13753.61170212766
189,8 6,5,GOAL,99998,14209.931216931216
190,5 4,5,GOAL,100000,14661.457894736843
191,3 8,5,STEPS,-19,14584.596858638743
192,8 2,5,STEPS,-10,14508.583333333334
193,1 4,5,STEPS,-21,14433.300518134714
194,2 2,5,BOUNDARY,-100,14358.386597938144
195,6 7,5,GOAL,100000,14797.57435897436
196,3 7,5,BOUNDARY,-106,14721.535714285714
197,8 1,5,BOUNDARY,-100,14646.299492385786
198,4 1,5,BOUNDARY,-109,14571.777777777777
199,7 8,5,GOAL,99999,15001.060301507538
200,3 5,5,BOUNDARY,-104,14925.535
201,8 7,5,GOAL,100000,15348.791044776119
202,4 5,5,BOUNDARY,-108,15272.272277227723
203,7 4,5,BOUNDARY,-110,15196.497536945813
204,3 7,5,BOUNDARY,-109,15121.470588235294
205,3 5,5,BOUNDARY,-112,15047.160975609757
206,7 7,5,STEPS,-16,14974.038834951456
207,4 2,5,BOUNDARY,-106,14901.188405797102
208,2 8,5,BOUNDARY,-109,14829.024038461539
209,6 2,5,BOUNDARY,-107,14757.559808612441
210,5 5,5,STEPS,-19,14687.195238095239
211,4 5,5,BOUNDARY,-114,14617.047393364928
212,6 7,5,GOAL,100000,15019.797169811322
213,1 2,5,BOUNDARY,-106,14948.784037558686
214,6 2,5,BOUNDARY,-117,14878.383177570093
215,4 1,5,BOUNDARY,-114,14808.651162790698
216,5 3,5,BOUNDARY,-117,14739.550925925925
217,8 3,5,STEPS,-18,14671.543778801843
218,2 7,5,BOUNDARY,-104,14603.766055045871
219,7 4,5,STEPS,-17,14537.004566210046
220,5 4,5,BOUNDARY,-117,14470.395454545454
221,4 7,5,STEPS,-21,14404.823529411764
222,2 5,5,BOUNDARY,-103,14339.472972972973
223,5 8,5,STEPS,-19,14275.085201793721
224,3 3,5,BOUNDARY,-118,14210.830357142857
225,6 6,5,GOAL,100000,14592.115555555556
226,8 3,5,BOUNDARY,-104,14527.08849557522
227,7 6,5,STEPS,-22,14462.995594713657
228,7 6,5,STEPS,-18,14399.482456140351
229,4 1,5,STEPS,-22,14336.50655021834
230,7 3,5,GOAL,99998,14708.947826086956
231,6 8,5,GOAL,100000,15078.17316017316
232,1 1,5,STEPS,-24,15013.077586206897
233,5 3,5,STEPS,-17,14948.570815450645
234,8 7,5,STEPS,-16,14884.619658119658
235,2 1,5,BOUNDARY,-115,14820.791489361702
236,8 6,5,GOAL,99990,15181.677966101695
237,2 5,5,BOUNDARY,-106,15117.172995780591
238,3 5,5,STEPS,-18,15053.579831932773
239,4 4,5,STEPS,-22,14990.502092050208
240,8 5,5,STEPS,-13,14927.9875
241,1 8,5,BOUNDARY,-100,14865.630705394191
242,3 2,5,BOUNDARY,-101,14803.785123966942
243,3 2,5,BOUNDARY,-103,14742.440329218107
